No.	Gloss	Hussainabad	Murtazabad	Haiderabad	Ganish	Nazimabad	Uyum Nagar	Hoper	Yasin Bala	Thui
152	two	ɑl'tʌ (m.)	ɑl'tʌ (m.)	ɑl'tʌ (m.)	ɑl'tʌ (m.)	ɑl'tʌ (m.)	ɑl'tʌts (m.)	ɑl'tʌts (m.)	ɑɬ'to (f.)	ɑɬ'to (f.)
153	three	us'ko (m.)	us'ko (m.)	us'ko (m.)	us'ko (m.)	us'ko (m.)	us'ko (m.)	us'ko (m.)	ɪs'ki (f.)	ɪs'ki (f.)
154	four	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑlto (m.)	'wɑɑɬte (f.)	'wɑɑɬte (f.)
155	five	tsʰun'do (m.)	tsʰun'do (m.)	tsʰun'do (m.)	tsʰun'do (m.)	tsʰun'do (m.)	tsʰun'do (m.)	tsʰun'do (m.)	tsɪn'di (f.)	tsɪn'di (f.)
156	six	mɪ'ʃindo (m.)	mɪ'ʃindo (m.)	mɪ'ʃindo (m.)	mi'ʃindo (m.)	mi'ʃindo (m.)	mi'ʃindo (m.)	mɪ'ʃɪndo (m.)	mɪ'ʃɪnde (f.)	bɪ'ʃɪnde (f.)
157	seven	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰʌ'lo (m.)	tʰɑɑ'le (f.)	tʰɑɑ'le (f.)
158	eight	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑl'tɑmbo (m.)	ɑɬ'tʌmbe (f.)	ɑɬ'tʌmbe (f.)
159	nine	hun'tʃo (m.)	hun'tʃo (m.)	hun'tʃo (m.)	hun'tʃo (m.)	hun'tʃo (m.)	hun'tʃo (m.)	hun'tʃo (m.)	hu'ʈi (f.)	hu'ʈi (f.)
160	ten	'toorumo	'toorumo	'toorumo	'toorumo	'toorumo	'toorumo	'toorumo	'toorum	'toorum
161	eleven	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn	'turmɑ hʌn
162	twelve	'turmɑ ɑl'tʌ	'turmɑ ɑl'tʌ	'turmɑ ɑl'tʌ	'turmɑ ɑl'tʌ	'turmɑ ɑl'tʌ	'turmɑ ɑl'tʌts	'turmɑ ɑl'tʌts	'turmɑ ɑɬto	'turmɑ ɑɬto
163	twenty	'ɑltʌr	'ɑltʌr	'ɑltʌr	'ɑɪtʌr	'ɑltʌr	'ɑltʰɑr	'ɑltʰɑr	'ɑɬtʌr	'ɑɬtɑr
164	one hundred	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰɑ	tʰʌ	tʰʌ
165	who	'mɛnʌn	'mɛnʌn	'mɛnʌn	'mɛnʌn	'mɛnʌn	—	'mɛnɛn	mɛn	mɛn
166	what	'bɛsʌn	'bɛsʌn	'bɛsʌn	'bɛsʌn	'bɛsʌn	'bɛsʌn	'bɛsʌn	'boo	'boo
167	where	'ɑmulo	'ɑmulo	'ɑmulo	'ɑmulo	'ɑmulo	'ɑmʌli	'ɑmʊli	'ɑne	—
168	when	'bɛʃʌl	'bɛʃʌl	'bɛʃʌl	'bɛʃʌl	'beʃʌl	'bɛʃʌl	'bɛʃʌlɛ	'bʌʃʌ	'bɑʃɛ
169	how much	'beʌrum	'beʊrum	'beʊrum	'beʌrum	'beʌrum	'beerum	'beerum	'beerum	'beerum
