Gloss	Proto-Nivkh	Page
rock (baby)	*bəpə-	189
roll or fold up	*qov-	189
roof	*əlvr	189
roof or ceiling	*tɣəvr	189
root	*oz	189
root (of bush)	*mirləɣ	189
rope for tying sail	*orvukr	189
(dog) rose	*kmirŋ	189
rot	*gruŋz-	189
rot	*wərk-	189
rotten stump	*mruŋzk	189
round	*bulk-	189
rowan	*mezlaŋ	189
rowlock	*miziɣ(a)r	189
rub on or grate	*kedr-	189
rubbish	*bur	189
rudder	*men’	189
run	*tloj-	189
run (animal)	*we-	189
run away	*kit-	189
run away	*pim-	189
rust	*jo-	189
sable	*lumr, *oɣrov	189
sack or bag	*hontq	189
sad	*ŋawzork-	189
sail	*gaj	189
saliva	*aɣri	190
salmon (autumn)	*laɣi	190
(Siberian) salmon	*hiwco, *weck(co)	190
salmon (summer)	*wel	190
(humpback) salmon	*deŋi	190
salmon trout	*n’alɣ	190
salt	*davc(iŋ)	190
same age as	*ŋatu-	190
sand	*maʀ, *qomr	190
sandy spit	*dor	190
sap or juice	*cor	190
saucer	*pləcir	190
save	*ɢon’i-	190
saw	*puv-	190
scabbard	*qalŋ	190
scissors	*χazaŋ	190
scold	*ajru-	190
scoop or ladle	*muɣr(ə)r	190
scoop up	*ɢov-	190
scrape	*dat-	190
scraper (for hides)	*qarpr	190
scratch	*qarp(qav)-	190
scurry or creep (insect)	*gmə-	190
sea	*gerqŋ	190
sea lion	*duŋ	190
seagull	*geʀ	190
seal	*laŋr	190
(speckled) seal	*alʀ	190
(kind of) seal	*ba(w)ɣi	190
(young) seal	*amzp	190
seaweed	*lar, *lər	190
sediment	*oɣŋəj	190
see	*n(ə)tə-	190
semi-subterranean house	*to	190
send	*oɣ(ə)rke-	190
separate	*baɣzu-	190
servant or slave	*weraɣ	190
serve	*krəγrə-	190
set trap	*da-, *ŋarʀo-	190
seven	*ŋamk	190
sew	*ot-	190
shake or tremble	*gurju-	190
shake off	*guku-	190
shallow	*ŋaz-	190
shaman	*sam	190
shape	*durŋ	190
sharp	*akn’u-	190
sharpen	*tu-	190
shavings	*d’aʀ	190
sheep	*χon’	190
shell	*hatʀ	190
(kind of) shellfish	*welɣ	190
shelter	*karvr	190
shin	*cin’ɣ	190
shine or glitter	*plav(la)-	190
shirt or dress	*larq	190
shoot	*qa-	190
shore or bank	*ərkə(r)	190
short	*b(ə)ʀaql-	190
shoulder	*ŋaɣri	190
shoulder blade	*dəvrk	190
side	*qomi	190
side of body	*ŋalt(ə)r	190
side or direction	*herqŋ	190
silent	*dam(a)-	190
silver	*toto	190
sin or crime	*mraŋ	190
sinew	*toŋr	190
sinful	*ujɣ-	190
sing	*lu-	190
sister (of man)	*danr	190
sit	*tiv-	190
six	*ŋaʀ	190
ski	*laq	190
(fur-covered) skis	*en’	190
ski pole (ring)	*cʀopŋ	190
ski tracks	*et	190
skin (of animal)	*ŋaɣr	190
(seal) skin	*ŋamad’	190
skin or body	*hal	190
sky	*dlə	190
slander	*calqa-	190
slave	*alc	190
sled	*tu	190
sleep	*qo-	190
sleep together with	*wajʀo-	190
sleeve	*ujɣir	190
slip	*leʀ(leʀ)-	190
slope	*qoriv	190
slow	*derter-	191
small	*mack(əl)-	191
small of the back	*ŋamd’(i)	191
smear	*k(ə)n-	191
smell	*noʀ-	191
smell	*ŋavrqi	191
smelt	*arqe, *proŋ	191
smirk or smile	*ŋuli-	191
smoke	*tawlaŋ	191
smokehole	*tomr	191
smooth	*laq(laq)-	191
snake	*gələŋa	191
snap	*prarq-	191
snare	*hirkur	191
sneeze	*hac(hac)-	191
snore	*ŋətrjo-	191
snot	*mim	191
snow	*ŋaqr	191
snow	*qavi	191
soft	*ham-	191
son-in-law	*əmɣi	191
(feel) sorry for	*oŋar-	191
sound	*d’iw	191
soup	*ban’ɣ	191
spade	*qar	191
span between fingers	*ma, *ɢovr	191
speak or say	*it-	191
spear	*qaʀ	191
spear(head)	*ormor	191
spend	*daw-	191
spend the night	*huŋgu-	191
spider	*kəvɣəv	191
spill	*huk-	191
spill or overflow	*belvel-	191
spin (thread)	*ce-	191
spirit	*taŋ	191
spit	*tvaj-	191
splash	*pov-	191
split	*pət-	191
spoon	*luvr	191
spotted or colourful	*alʀa-	191
spread	*bur-, *lat-	191
spring	*honv	191
spruce	*twərk	191
squat	*amlukz-	191
squeeze or crush	*mam-	191
squeeze out	*ɢav-	191
squinting	*wozk(t)	191
squirrel	*laqr	191
stab or pierce	*cev-	191
stale or hard	*kavkav-	191
stalk	*kitnəɣ	191
stammer	*jilk-	191
stand	*gəpr-	191
stand in a row	*war(w)i-	191
stand up	*oz-	191
star	*un’(i)ɣr	191
starfish	*cɣajv	191
starve	*urŋu-	191
steal	*n’(ə)qŋar-	191
