No.	Gloss	Proto-Tai
462	withered	*ʰriəw B
463	dried up	*ʰreːŋ C
464	dry	*χaɰ B
465	wet	*dom A
466	mute	*ŋwam C
467	dumb	*ɓɤɰ C
468	easy	*ŋaːj B
469	drunk (1)	*maw A
470	drunk (2)	*mwiː A
471	sterile	*ʰman A
472	entangled	*ɲuŋ B/C
473	blistered	*boːŋ A
474	expensive	*beːŋ A
475	familiar	*gun C
476	asleep	*ɗak D
477	hungry	*ˀjɯǝk D
478	satiated	*ʔiːm B
479	swollen	*gaɰ B
480	stiff and tired	*mɯəj B
481	tired, exhausted	*ʰnɯəj B
482	lazy	*kliːk D
483	tired, bored	*ʰnaːj B
484	idle, free	*ɗwɤːj A
485	disgusted	*ɓɯə B
486	crazy	*ɓaː C
487	hurt (1)	*cep D
488	hurt (2)	*keːt D
489	torn	*qaːt D
490	plugged	*sak A
491	bruised (1)	*ɟam C
492	bruised (2)	*wok D
493	lost	*ʰloŋ A
494	alive	*ɲaŋ A
495	strong, strength	*reːŋ A
496	weave, to (cloth)	*tam B
497	dye, to	*ɲwuːm C
498	sew, to	*ɲep D
499	embroider, to	*seːw B
500	weave, to (baskets, mats)	*saːn
501	sow, to; scatter, to	*C̥.waːl B
502	transplant, to	*t.nam A
503	plant, to	*plwɯːk D
504	sift, to	*qrɤŋ A
505	imprison, to	*k.raŋ A
506	hunt, to	*p.raw B
507	mark, to; aim, to	*ʰmaːj A
508	shoot, to	*ɲɯŋ A
509	poison (fish), to	*C̥.bɯə A
510	tend animal, to	*ɟɯǝŋ C
511	raise, to	*liəŋ C
512	make noise, to	*ɗaŋ A
513	differ, to	*taːŋ B
514	count, to	*nap D
515	heap up, to	*koːŋ A
516	weigh, to	*ɟaŋ B
517	announce, to	*paːw B
518	answer, to	*χaːn A
519	ask, to	*c.raːm A
520	beg, to	*k.roː A
521	order, to; blow the nose, to	*saŋ B
522	scold, to; revile, to	*ɗaː B
523	warn, to	*tɯǝn A
524	weep, to	*t.haj C
525	moan, to	*graːŋ A
526	bark, to	*ʰraw B
527	crow, to	*χal A
528	laugh, to	*krɯəw A
529	recite, to	*ʔaːn B
530	open (the mouth), to	*ʔaː C
531	eat, to	*kɯɲ A
532	chew, to	*giəw C
533	lick, to	*C̬.lwiə A
534	put out of the mouth, to	*ɣaːj A
535	vomit, to	*rwɯək D
536	take a bite, to	*kat D
537	hold in the mouth, to	*ʔɤm A
538	bite, to	*C̬.qɤp D
539	nibble, to; peck, to	*tɔːt D
540	kiss, to	*cuːp D
541	yawn, to	*ʰraːw A
542	blow, to	*pow B
543	snore, to	*klɤl A
544	cough, to	*ʔaj A
545	hold the breath, to	*klan C
546	hug, to; embrace, to	*koːt D
547	build, to	*koː B
548	close (the eyes), to	*ʰlap D
549	lie down, to, sleep, to	*nwɯːn A
550	incubate, to	*wak D
551	hold in the jaws, to	*gaːp D
552	hold in the closed hand, to	*kam A
553	take up in the two cupped hands, to	*koːp D
554	pick up, to	*ˀjip D
555	grasp, to; perch, to	*cap D
556	squeeze, to	*gal C
557	pinch, to	*ʰniːp D
558	raise, to	*ɲɤk D
559	lift, to	*ɲoː A
560	carry in the arms, to	*ʔuːm C
561	carry (a bag), to	*triːw C
562	carry on the back, to	*trwaːm A
563	pull, to; drag, to	*C̬.laːk D
564	bend over, to	*kɤm C
565	turn upside down or inside out, to	*pliːn C
566	lean back, to	*ʔiːŋ A
567	point, to	*ɟiː C
568	stroke, to; caress, to	*C̬.luːp D
569	scratch, to	*kaw A
570	put, to	*s.cɤːl B
571	snap, to	*ɓliːt D
572	stamp (on), to	*dɯːp D
573	step on, to (1)	*ɲam B
574	step on, to (2)	*ˀjiǝp D
575	repeat, to	*zam C
576	tremble, to	*sal B
577	shake, to	*C̥.waj A
578	wrestle, to	*plam C
579	twist, to; wring, to	*ɓit D
580	stretch out, to	*ˀjiət D
581	sit, to	*naŋ B
582	come, to	*ʰmaː A
583	go, to	*paj A
584	arrive, to	*C̬.tɤŋ A
585	go upward, to	*mɯə A
586	ascend to	*χɯn C
587	descend, to	*n̩.loŋ A
588	enter, to	*χaw C
589	exit, to	*ʔoːk D
590	cross, to	*χaːm C
591	cross over, to	*kwaː B
592	drop, to	*tok D
593	fall off, to	*ʰlɤn B
594	fall down, to	*lɤm C
595	slip and fall, to	*blaːt D
596	stand, to	*C̥.ɟɯːn A
597	walk, to	*praːj C
598	fly, to	*ɓil A
599	crawl, to	*g.lwɤːn A
600	crawl over, to	*twaj B
601	climb, to	*piːn A
602	flow, to	*ʰlwaj A
603	flood, to	*C̬.tuǝm B
604	spill, to	*ɓaː B
605	pour, to	*rwaːt D
606	swim, to	*loːj A
607	float, to	*wuː A
608	sink, to	*cɤm A
609	dive, to	*ɗam A
610	close, to	*hap D
611	revolve, to; spin, to	*pan B
612	go hungry, to	*ʔɤt D
613	hate, to	*ɟaŋ A
614	quit, to	*ˀjaː B
615	see, to	*tran A
616	hear, to	*ŋin A
617	taste, to	*ɟim A
618	smell (tr.), to	*ɗɤm A
619	forget, to	*lɯːm A
620	dream, to	*hwan A
621	believe, to	*ɟɯǝ B
622	recognize, to	*cak D
623	know, to	*rɯːw C
624	be, to; b̩ecome, to	*m̩.pel A
625	be (in a place), to	*ˀjuː B
626	fear, to (1)	*ʰlaːw A
627	fear, to (2)	*jaːn C
