Chinese gloss	English gloss	Jiamao	Page no.
直	straight	kuŋ⁵	81
肥	fat	kui¹	81
厚	thick	nou¹	81
薄	thin	kai¹	81
轻	light	kʰɔ⁵	81
重	heavy	kʰɔːn¹	81
深	deep	tʰa²	81
浅	shallow	daŋ¹	81
老	old	tso¹	81
不	no, not	ŋɔ¹	81
和	and	bɛ¹	81
因为	because	in³vi⁴	81
如果	if	na¹	81
