Gloss	Proto-Kam-Sui
to weave	*tam³
to weave, plait	*kjaːn¹
to weed	*ne¹
to weep, cry	*ʔȵe³
well, spring	*ɓun⁵
well, spring	*ɓu⁵
well, pond, pool	*thlam¹
wet	*ʔrak⁷
wind	*hlwum¹
rice wine	*khlaːu³
wing	*pwa⁵
woman, girl	*ɓjaːk⁷
(fire)wood	*trit⁷
worm	*dzan⁴
to wrap, bundle	*tuːk⁷
to wring towel	*ɓjuːt⁷ (?)
to write	*kjaːt⁷
yam	*man²
year	*mpe¹
woman, girl	*ɓjaːk⁷
(fire)wood	*trit⁷
worm	*dzan⁴
to wrap, bundle	*tuːk⁷
to wring towel	*ɓjuːt⁷ (?)
to write	*kjaːt⁷
yam	*man²
year	*mpe¹
