No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
394	東	east	*pʰəjʔ	*pəjʔ		
395	東	east			Run *fʰ[a]ːŋ	
396	東	east	*ʈʂhaː	*ʈaː		
397	東	east			CHl *pʰaːk	
398	東	east	*hŋwən	*ŋwən		
399	東	east			CHl *tʰɯːn	
400	東西	thing			GHl *koŋ	kɔŋ¹
401	東西	thing	*C-muːɦ	*C-muːɦ		maːw¹
402	冬	winter	*C-ɲaːn	*C-ɲaːn		nuən¹
403	冬	winter	*kʰaːjɦ	*kaːjɦ		kʰɯaj¹
404	冬瓜	wax gourd	*Cuɦɯːp	*Cuɣɯːp		huəp⁸
405	冬瓜	wax gourd			NCHl *hm[a]ːŋʔ	
406	懂	understand	*kʰuːŋ	*[k/x]uːŋ		[min⁴taj²]
407	動	move			ECHl *ɦənɦ	han²
408	動	move			NWCHl *ʔuːj	
409	動	move			Run *C-ɲoŋɦ	
410	洞	hole	*tçʰuːŋʔ	*[c/ç]uːŋʔ		tsʰua¹
411	恫嚇	threaten	*ʔɯːŋ	*ʔɯːŋ		
412	都	all	*ɾɯʔ	*C-[d/ɖ]ɯʔ		
413	都	all			GHl *ɗiːʔ	
414	都	all			CHl *ʔjaːʔ	
415	蔸	stump (of rice)	*hwiw	*wiw		vew¹
416	斗笠	bamboo hat	*hlaːŋʔ	*laːŋʔ		[kuən³lɔːj⁵]
417	豆子	bean			GHl *Ciɦəw	[tsʰɯa⁵]
418	豆子	bean			NWCHl *ɗəɲ	
419	獨木凳	bench	*tʰimɦ	*timɦ		ŋuən¹
420	賭	gamble	*C-ŋət	*C-ŋət		ŋət⁷/ŋəːt⁸
421	肚臍	navel	*Cuɾɯː	*Cu[d/ɖ]ɯː		loː²
422	肚子	belly	*hmok	*mok		[lɯj⁴]
423	端	hold with both hands	*kʰit	*[k/x]it		[ʔuŋ¹]
424	端	hold with both hands			NWCHl *ʔɯn	
425	短	short			GHl *tʰəc	[tʰaː¹]
426	斷	break	*kʰɯt	*[k/x]ɯt		ɗuət⁹
427	斷	break			CHl *tʰɯt	
428	斷	break			NWCHl *fʰəc	
429	斷	break	*tçʰaːw	*[c/ç]aːw		[kʰiaw⁵]
430	斷	break			NWCHl *hləɲ	
431	堆	a pile	*pʰəwʔ	*pəwʔ		[ɗuən¹]
432	堆	pile (clf.)	*pʰəwʔ	*pəwʔ		[tsuːn⁵]
433	堆砌	build by piling			GHl *hrəːp	kəp⁷
434	墩子	pier	*tʰunʔ	*tunʔ		[tʰok⁷]
435	炖	to stew			GHl *ʔujʔ	
436	炖	to stew			CHl *ɓaːw	
437	炖	to stew			Meifu *ʔuŋɦ	
438	鈍	dull	*ɾjaːk	*Ci[d/ɖ]aːk		[ŋɔː¹]
439	鈍	dull	*tçʰəːm	*[c/ç]əːm		tsʰiam¹
440	多	many	*hləːj	*ləːj		ɬej⁴
441	多少	how many	*hləːj	*ləːj		ɬej⁴
442	多少	how many	*ɾaː	*C-[d/ɖ]aː		laːj⁴
443	躲	hide (from rain)	*C-ŋəw	*C-ŋəw		[kɔː¹]
444	躲藏	hide (something)	*C-məɲ	*C-məɲ		[miət⁸]
445	躲藏	hide (something)			Run *hljəɲɦ	
446	剁	chop			GHl *h[n/ɲ]ək	tsʰɔp⁷
447	剁	chop			Meifu *[tç/hɲ]əp	
448	鵝	goose	*C-ŋeː	*C-ŋɛː		ŋəːn⁵
449	鵝	goose			CHl *C-ŋaːnɦ	
450	鵝	goose			CHl *ɓunɦ	
451	額頭	forehead	*m-laːʔ	*m-laːʔ		
452	額頭	forehead	*ɗaːw	*Cəʔdaːw		tuː¹
453	惡毒	vicious			GHl *ɾjaːk	
454	惡毒	vicious			GHl *fʰən	
455	餓	hungry	*ɾən	*C-[d/ɖ]ən		len⁴
456	鱷魚	crocodile	*kəjʔ	*Cəʔgəjʔ		kaj¹
457	兒女	offspring	*hlɯːk	*lɯːk		ɬiək⁸
458	兒女	offspring			Qi *ɗiʔ	
459	兒媳	daughter-in-law	*hlɯːk	*lɯːk		ɬiək⁸
460	兒媳	daughter-in-law			Qi *ɗiʔ	
461	兒媳	daughter-in-law	*C-liw	*C-liw		[naːw⁵]
462	耳朵	ear	*hljəj	*Ciləj		[kɔː¹]
463	耳環	earring	*C-miŋ	*C-miŋ		[tsʰiaw¹]
464	耳環	earring			GHl *hwiːŋɦ	
465	二	two	*hluːʔ	*luːʔ		ɬiaw⁴
466	發抖	tremble	*C-ɲən	*C-ɲən		[tan²]
467	發誓	swear	*C-maːn	*C-maːn		[miːn⁵]
468	發芽	to sprout	*ʔuːt	*ʔuːt		[tɔk⁷]
469	發芽	to sprout			Run *ʔɯt	
470	發芽	to bud (tree)	*tʰunɦ	*tunɦ		
471	發芽	to bud (tree)	*ʈʂhaː	*ʈaː		[ʔaː¹]
472	番石榴	guava			CHl *kəwʔ	[tʰum¹]
473	翻身	turn over	*hjɯːɦ	*jɯːɦ		[tsaːm⁴]
474	煩亂	upset	*ʋɯː	*C-bɯː		[luːj⁴]
475	繁殖	reproduce	*tʰ[e]ːŋ	*t[ɛ]ːŋ		tʰeːŋ¹
476	反當	instead of	*hlɯnɦ	*lɯnɦ		[ʔeːk⁹]
477	反面	opposite	*m-lɯt	*m-lɯt		[pʰaːj¹tuːt⁹]
478	反面	opposite			NCHl *m-lɯːnɦ	
479	反面	opposite			Run *m-lɯːnʔ	
480	飯	cooked rice	*tʰaːɦ	*taːɦ		tʰow¹
481	方法	way			GHl *pʰaːjʔ	pʰat⁷
482	方法	way			CHl *pʰət	
483	方向	direction	*pʰəjʔ	*pəjʔ		pʰaːj⁵
484	方向	direction			Run *fʰ[a]ːŋ	
485	房子	house			GHl *m-loŋʔ	[ɬɯː²]
486	紡	weave (fabric)	*hwiː	*wiː		[tsʰup⁷]
487	放置	put (down)	*ʈʂhəːnɦ	*ʈəːnɦ		
488	放置	put (down)			NECHl *[ʈʂ/tç]hɯːʔ	
489	放	put (on)	*sʰaːn	*saːn		[ʔuŋ¹]
490	放	put (in)			GHl *fʰuːŋ	pɔːŋ¹
491	放	put (down in)			GHl *fʰət	
492	放走	let go	*pʰɯːŋʔ	*pɯːŋʔ		ɓɔŋ⁵
493	放蠱	to poison	*C-miːn	*C-miːn		miːn⁵
494	放牧	graze	*tʰuːʔ	*tuːʔ		
495	飛	to fly	*ɓin	*Cəʔbin		fin⁴
496	肥胖	fat	*hruːjʔ	*ruːjʔ		kuj¹
497	吠	to bark			GHl *ʋunʔ	[kiːw¹]
498	吠	to bark			GHl *hrəc	[tsuːt⁹]
499	沸騰	boil (intr.)	*ɗaːn	*Cəʔdaːn		[puət⁸]
500	肺	lung	*kəwɦ	*Cəʔgəwɦ		[vuəŋ⁴]
501	分配	distribute	*kuːɦ	*Cəʔguːɦ		kɔː¹
502	分贈	give a gift			GHl *hriːmʔ	
503	吩咐	instruct	*C-ŋənʔ	*C-ŋənʔ		ŋaːn¹
504	墳墓	grave	*ʔinʔ	*ʔinʔ		
505	墳墓	grave			Meifu *jinʔ	
506	焚燒	to burn	*ɓəŋ	*Cəʔbəŋ		ɓɔŋ⁵
507	粉刺	pimple	*Cuɾut	*Cu[d/ɖ]ut		lup⁸
508	粉刺	pimple			Qi *ɾwup	
509	粉刺	pimple			NCHl *[tç]ɯːn	
510	風	the wind	*hwiw	*wiw		
511	風	the wind			CHl *hŋwəːt	vɯat⁷
512	封住	sealed	*hlun	*lun		[puːk⁷]
513	鋒利	sharp	*hlin	*lin		
514	鋒利	sharp	*tçʰəːm	*[c/ç]əːm		tsʰiam¹
515	蜂蜜	honey	*C-nəmʔ	*C-nəmʔ		naːm¹
516	蜂蜜	honey			GHl *kəːj	[tej¹]
517	縫	sew	*C-ɲəp	*C-ɲəp		ɲɔːp⁹
518	孵	incubate	*pʰəːk	*pəːk		mɔːk⁹
519	孵	incubate			CHl *C-mok	
520	伏	to prostrate			GHl *C-mok	[pʰak⁷]
521	伏	to prostrate			Run *Cuɦəːmʔ	
522	伏擊	ambush	*tʰɯmʔ	*tɯmʔ		tʰam¹
523	伏擊	ambush			GHl *tʰomʔ	
524	浮	float	*ɓəw	*Cəʔbəw		
525	斧子	axe	*ɓuəɦ	[*Cəʔbuəɦ]		
526	斧子	axe			NWCHl *Cuɦaːɲ	
527	腐爛	rotten	*tʰuj	*tuj		tʰɯj⁵
528	腐朽	decay	*tʰɯːm	*tɯːm		ɗɔm¹
529	父親	father	*pʰaːʔ	*paːʔ		poː⁵
530	父親	father			Run *ɓaːɦ	
531	富	rich	*ʋ[e]ːŋ	*C-b[ɛ]ːŋ		[ɬaj⁴hɯa²]
532	富	rich			CHl *C-mun	
533	覆蓋	cover up	*pʰɯt	*pɯt		[kʰɔp⁷]
534	覆蓋	cover up			CHl *m-lom	
535	蓋	to cover	*sʰunʔ	*sunʔ		
536	蓋	to cover			CHl *kʰop	kʰɔp⁷
537	蓋	to cover (blanket)	*sʰom	*som		tsam²
538	蓋	to cover (blanket)			CHl *kɯːŋɦ	
539	蓋子	lid			GHl *hŋəːt	ŋɯt⁸
540	乾	dry (clothes)			GHl *ɗaːw	
541	乾涸	dry	*kʰɯːɦ	*[k/x]ɯːɦ		kʰaː¹
542	乾飯	dry rice	*tʰaːɦ	*taːɦ		tʰow¹
543	乾飯	dry rice	*C-m[e]ːk	*C-m[ɛ]ːk		
544	乾淨	clean	*tçʰiːŋɦ	*[c/ç]iːŋɦ		tsʰiəŋ⁵
545	乾淨	clean			CHl *C-liːŋɦ	
546	甘薯	yam	*hŋwəːj	*ŋwəːj		mɔːn¹
547	甘薯	yam			GHl *C-mən	
548	甘薯	yam			Qi *C-muːŋ	
