Chinese gloss	Language	Word	Source	Page no.
灯	Yao (Lianmin)	tei³³	Suining County Gazetteer (1997)	675
烟煤	Cao Miao (Tanghua)	ŋiŋ⁵⁵	Shi (2012)	
烟煤	Cao Miao (Tanghua)	ŋiŋ⁵⁵	Shi (2012)	
烤	Yao (Lianmin)	sou²⁵	Suining County Gazetteer (1997)	675
烧（烧火）	Yao (Naxi)	pʰjeŋ²¹³ (pʰjeŋ1)	Long (1984)	246
热	Dong (Duolong)	tun⁴⁵	Suining County Gazetteer (1997)	672
热	Yao (Naxi)	tu²¹³ (tu1)	Long (1984)	248
热	Yao (Naxi)	tu²¹³ (tu1)	Long (1984)	252
熟	Dong (Duolong)	ɕok¹¹	Suining County Gazetteer (1997)	672
爱	Dong (Duolong)	ei⁵³	Suining County Gazetteer (1997)	672
爱	Cao Miao (Tongdao)	əː⁵³	Tongdao Ethnic Gazetteer	232
父亲	Cao Miao (Tanghua)		Shi (2012)	
父亲	Yao (Lianmin)	to⁵²	Suining County Gazetteer (1997)	675
父亲	Dong (Duolong)	pu³⁵	Suining County Gazetteer (1997)	670
父亲	Yao (Naxi)	pø³¹ (pø4)	Long (1984)	251
牙齿	Dong (Duolong)	ŋə¹¹	Suining County Gazetteer (1997)	671
牛	Yao (Lianmin)	y²¹³	Suining County Gazetteer (1997)	675
牛	Dong (Duolong)	tu¹¹	Suining County Gazetteer (1997)	671
犁	Yao (Lianmin)	tsʰui³³	Suining County Gazetteer (1997)	675
狗	Yao (Lianmin)	lo³³mo³³	Suining County Gazetteer (1997)	675
狗	Dong (Duolong)	kwa³⁵	Suining County Gazetteer (1997)	671
猪	Yao (Lianmin)	mu⁴²⁵	Suining County Gazetteer (1997)	675
猪	Dong (Duolong)	u⁴⁵³	Suining County Gazetteer (1997)	671
猪	Yao (Naxi)	ŋ̩³⁵ (ŋ̩5)	Long (1984)	246
猪	Yao (Naxi)	ŋ̩²¹³ (ŋ̩1)	Long (1984)	251
猫	Yao (Lianmin)	moup⁵²	Suining County Gazetteer (1997)	675
猫	Dong (Duolong)	meu³¹	Suining County Gazetteer (1997)	671
猴	Cao Miao (Tanghua)	ləi⁵⁵	Shi (2012)	
猴	Cao Miao (Tanghua)	ləi⁵⁵	Shi (2012)	
玩	Dong (Duolong)	pjaːn³³	Suining County Gazetteer (1997)	672
现在	Yao (Lianmin)	iao⁵³	Suining County Gazetteer (1997)	675
瓜	Dong (Duolong)	ȶeu³³	Suining County Gazetteer (1997)	671
瓦	Dong (Duolong)	ŋwe³¹	Suining County Gazetteer (1997)	672
瓦	Yao (Naxi)	ŋɑi³¹ (ŋɑi4)	Long (1984)	246
甜	Dong (Duolong)	kwaːn³⁵	Suining County Gazetteer (1997)	672
生（生日）	Yao (Naxi)	heŋ²¹³ (heŋ1)	Long (1984)	246
田	Cao Miao (Tanghua)	jha⁵³	Shi (2012)	
田	Cao Miao (Tanghua)	ja⁵³	Shi (2012)	
田	Yao (Lianmin)	io²¹³	Suining County Gazetteer (1997)	675
田	Dong (Duolong)	ja⁵³	Suining County Gazetteer (1997)	670
田垅	Dong (Duolong)	pjaːn⁵³	Suining County Gazetteer (1997)	670
男人	Yao (Lianmin)	naŋ²¹³	Suining County Gazetteer (1997)	675
男人	Dong (Duolong)	paːn⁴⁵	Suining County Gazetteer (1997)	670
