Chinese gloss	Language	Word	Source	Page no.
蜻蜓	Yao (Lianmin)	toŋ⁵²tʰẽ³³	Suining County Gazetteer (1997)	675
蜻蜓	Dong (Duolong)	teŋ¹¹	Suining County Gazetteer (1997)	671
蜻蜓	Cao Miao (Tongdao)	xoŋ³³pʰau³⁵	Tongdao Ethnic Gazetteer	231
蝴蝶	Cao Miao (Tanghua)	mat⁵⁵	Shi (2012)	
蝴蝶	Cao Miao (Tanghua)	mit³³	Shi (2012)	
螃蟹	Cao Miao (Tanghua)	qaŋ²qəi⁵	Shi (2012)	
螃蟹	Yao (Naxi)	tɕø³³ (tɕø6)	Long (1984)	247
蟹	Yao (Lianmin)	tɕye⁴²⁵	Suining County Gazetteer (1997)	675
血	Dong (Duolong)	paːt³³	Suining County Gazetteer (1997)	671
血	Cao Miao (Tongdao)	gʰat³³	Tongdao Ethnic Gazetteer	231
血	Yao (Naxi)	pʰjo⁵³ (pʰjo3)	Long (1984)	246
血	Yao (Naxi)	pʰjo⁵³ (pʰjo3)	Long (1984)	251
衣	Dong (Duolong)	uk³³	Suining County Gazetteer (1997)	672
衣服	Yao (Lianmin)	kiao²⁵	Suining County Gazetteer (1997)	675
被子	Cao Miao (Tanghua)	jaŋ⁴²	Shi (2012)	
被子	Cao Miao (Tanghua)	jaŋ⁴²	Shi (2012)	
被子	Yao (Lianmin)	iaŋ²¹³	Suining County Gazetteer (1997)	675
被子	Yao (Naxi)	jeŋ³³ (jeŋ6)	Long (1984)	246
被子	Yao (Naxi)	peŋ³³ (peŋ6)	Long (1984)	248
裙	Cao Miao (Tanghua)	fən³³	Shi (2012)	
裙	Cao Miao (Tanghua)	wən³³	Shi (2012)	
解(便)	Cao Miao (Tanghua)	we³¹	Shi (2012)	
解(便)	Cao Miao (Tanghua)	we³¹	Shi (2012)	
讲	Yao (Naxi)	tɕɑŋ⁵³ (tɕɑŋ3)	Long (1984)	252
话	Cao Miao (Tanghua)	li³¹	Shi (2012)	
说	Yao (Naxi)	wɑ³ (wɑ³)	Long (1984)	245
说	Yao (Naxi)	wɐ³³ (wɐ6)	Long (1984)	251
谁	Dong (Duolong)	nəu¹¹	Suining County Gazetteer (1997)	673
贼	Yao (Lianmin)	tsɿ³³	Suining County Gazetteer (1997)	675
赎	Yao (Lianmin)	sei³³	Suining County Gazetteer (1997)	676
走	Yao (Lianmin)	pʰaŋ⁵⁵	Suining County Gazetteer (1997)	676
赶	Yao (Lianmin)	pʰaŋ⁵⁵	Suining County Gazetteer (1997)	676
赶	Dong (Duolong)	ȶəu⁴⁵	Suining County Gazetteer (1997)	672
赶	Dong (Duolong)	ȶəu⁴⁵	Suining County Gazetteer (1997)	672
跑	Cao Miao (Tanghua)	pjeu⁵³	Shi (2012)	
跑	Cao Miao (Tanghua)	wi³⁵	Shi (2012)	
跪	Cao Miao (Tanghua)	ȶhok¹³	Shi (2012)	
跪	Yao (Naxi)	tɕy³¹ (tɕy4)	Long (1984)	248
跳蚤	Dong (Duolong)	kwat⁴⁵	Suining County Gazetteer (1997)	671
踢	Dong (Duolong)	tap⁵³	Suining County Gazetteer (1997)	672
轻	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	250
辛（地支）	Yao (Naxi)	ɕiŋ²¹³ (ɕiŋ1)	Long (1984)	246
辣	Dong (Duolong)	ljaːn³³	Suining County Gazetteer (1997)	672
辣	Yao (Naxi)	lje³³ (lje6)	Long (1984)	247
辣	Yao (Naxi)	lje³³ (lje6)	Long (1984)	248
辣椒	Yao (Naxi)	lje³³ (lje6)	Long (1984)	251
近	Yao (Lianmin)	tʰɤ⁴²⁵	Suining County Gazetteer (1997)	676
近	Dong (Duolong)	ȶan³¹	Suining County Gazetteer (1997)	672
这个人	Yao (Naxi)	mu³¹ wõn¹¹ nɑ³³ (mu4 wõn2 nɑ6)	Long (1984)	253
这里	Dong (Duolong)	kie⁴⁵nai³³	Suining County Gazetteer (1997)	672
这里	Cao Miao (Tongdao)	ke⁵⁵nai⁴²	Tongdao Ethnic Gazetteer	231
远	Yao (Lianmin)	tɕia³³	Suining County Gazetteer (1997)	676
远	Dong (Duolong)	ljaːi⁴⁵	Suining County Gazetteer (1997)	672
追	Dong (Duolong)	laːm⁴⁵	Suining County Gazetteer (1997)	672
追	Dong (Duolong)	lam⁴⁵	Suining County Gazetteer (1997)	672
追赶	Yao (Naxi)	lɑ³¹ (lɑ4)	Long (1984)	245
退	Yao (Naxi)	to¹³ (to¹³)	Long (1984)	245
送走	Yao (Naxi)	tsoŋ³⁵ (tsoŋ5)	Long (1984)	252
遇见	Dong (Duolong)	tuŋ³³	Suining County Gazetteer (1997)	672
那里	Cao Miao (Tongdao)	ke⁵⁵ta⁵³	Tongdao Ethnic Gazetteer	232
酒	Dong (Duolong)	kwau³³	Suining County Gazetteer (1997)	672
酒	Yao (Naxi)	kʰõu³⁵ (kʰõu5)	Long (1984)	246
酸	Yao (Lianmin)	set³³	Suining County Gazetteer (1997)	676
酸	Dong (Duolong)	səm³³	Suining County Gazetteer (1997)	672
酸	Yao (Naxi)	sõn²¹³ (sõn1)	Long (1984)	245
酸	Yao (Naxi)	sõŋ⁵³ (sõŋ3)	Long (1984)	248
里边	Dong (Duolong)	au³¹	Suining County Gazetteer (1997)	672
里面	Yao (Naxi)	kɑu³¹ (kɑu4)	Long (1984)	248
野猪	Dong (Duolong)	laːi⁵³	Suining County Gazetteer (1997)	671
金	Dong (Duolong)	təm⁴⁵	Suining County Gazetteer (1997)	670
针	Yao (Naxi)	tʰin²¹³ (tʰin1)	Long (1984)	245
铁	Yao (Lianmin)	kʰɤ³³	Suining County Gazetteer (1997)	675
铁	Yao (Naxi)	kʰje²¹³ (kʰje1)	Long (1984)	247
铜	Cao Miao (Tanghua)	təŋ²²	Shi (2012)	
铜	Cao Miao (Tanghua)	təŋ²²	Shi (2012)	
铜	Dong (Duolong)	toŋ¹¹	Suining County Gazetteer (1997)	670
锄头	Yao (Lianmin)	ɣiao³¹	Suining County Gazetteer (1997)	675
锄头	Cao Miao (Tongdao)	pak³³tak³³	Tongdao Ethnic Gazetteer	231
锄头	Yao (Naxi)	heu¹¹ (heu2)	Long (1984)	246
长	Yao (Naxi)	jɑ⁵³ (jɑ3)	Long (1984)	246
门	Dong (Duolong)	to⁴⁵	Suining County Gazetteer (1997)	672
闪电	Yao (Lianmin)	fa⁵²ɕen³³	Suining County Gazetteer (1997)	675
问	Dong (Duolong)	ȶaːi³³	Suining County Gazetteer (1997)	672
阴	Dong (Duolong)	um⁵³	Suining County Gazetteer (1997)	672
雨	Yao (Lianmin)	men³³	Suining County Gazetteer (1997)	675
雨	Dong (Duolong)	pjən⁴⁵	Suining County Gazetteer (1997)	670
雪	Cao Miao (Tanghua)	nui⁵⁵	Shi (2012)	
雪	Cao Miao (Tanghua)	ni⁵⁵	Shi (2012)	
雪	Yao (Lianmin)	kou²⁵	Suining County Gazetteer (1997)	675
雪	Dong (Duolong)	lei⁴⁵	Suining County Gazetteer (1997)	670
雷	Yao (Lianmin)	luei³¹koŋ³³	Suining County Gazetteer (1997)	675
雷	Dong (Duolong)	pja³³	Suining County Gazetteer (1997)	670
霜	Dong (Duolong)	me⁴⁵	Suining County Gazetteer (1997)	670
青菜	Yao (Lianmin)	mo³³la³³	Suining County Gazetteer (1997)	675
青菜	Yao (Lianmin)	mo³³la³³	Suining County Gazetteer (1997)	675
风	Yao (Lianmin)	len³¹	Suining County Gazetteer (1997)	675
风	Dong (Duolong)	ləm¹¹	Suining County Gazetteer (1997)	670
饭、稻、米	Dong (Duolong)	əu³¹	Suining County Gazetteer (1997)	671
饱	Yao (Lianmin)	tɕam²¹³	Suining County Gazetteer (1997)	676
饱	Yao (Naxi)	tjeŋ³⁵ (tjeŋ5)	Long (1984)	247
饱	Yao (Naxi)	tjeŋ³⁵ (tjeŋ5)	Long (1984)	248
馋	Cao Miao (Tanghua)	pje⁴²	Shi (2012)	
馋	Cao Miao (Tanghua)	ŋa⁴²	Shi (2012)	
香	Dong (Duolong)	taːŋ⁴⁵	Suining County Gazetteer (1997)	672
香（祭品）	Yao (Naxi)	ɕiu¹¹ (ɕiu2)	Long (1984)	246
马	Yao (Lianmin)	mok³³	Suining County Gazetteer (1997)	675
马	Yao (Naxi)	mo³¹ (mo4)	Long (1984)	247
骂	Dong (Duolong)	kwa⁵³	Suining County Gazetteer (1997)	672
骨头	Dong (Duolong)	laːk³³	Suining County Gazetteer (1997)	671
高	Yao (Lianmin)	pʰaŋ³³	Suining County Gazetteer (1997)	676
高	Dong (Duolong)	paːŋ⁴⁵	Suining County Gazetteer (1997)	672
高	Yao (Naxi)	pʰɑn²¹³ (pʰɑn1)	Long (1984)	244
鬼	Yao (Lianmin)	tɕuk⁵³	Suining County Gazetteer (1997)	675
鬼	Dong (Duolong)	ȶy³³	Suining County Gazetteer (1997)	671
鬼	Yao (Naxi)	sõŋ⁵³ (sõŋ3)	Long (1984)	245
鬼	Yao (Naxi)	tɕy⁵³ (tɕy3)	Long (1984)	248
鱼	Dong (Duolong)	pa⁴⁵	Suining County Gazetteer (1997)	671
鱼	Cao Miao (Tongdao)	ga⁵⁵	Tongdao Ethnic Gazetteer	231
鱼	Yao (Naxi)	pjɑ²¹³ (pjɑ1)	Long (1984)	246
鱼	Yao (Naxi)	pjɑ²¹³ (pjɑ1)	Long (1984)	251
鳖	Dong (Duolong)	pjin⁴⁵	Suining County Gazetteer (1997)	671
鸟	Dong (Duolong)	not³¹	Suining County Gazetteer (1997)	671
鸡	Yao (Lianmin)	ka⁴²⁵	Suining County Gazetteer (1997)	675
鸡	Dong (Duolong)	aːi⁵³	Suining County Gazetteer (1997)	671
鸡胗	Cao Miao (Tanghua)	tap⁵⁵	Shi (2012)	
鸭	Yao (Lianmin)	pou⁵⁵	Suining County Gazetteer (1997)	675
鸭	Dong (Duolong)	pət⁴⁵	Suining County Gazetteer (1997)	671
鹅	Yao (Naxi)	poŋ⁵⁵ (poŋ⁵⁵)	Long (1984)	248
鹞	Dong (Duolong)	iu¹¹	Suining County Gazetteer (1997)	671
鹰	Dong (Duolong)	am⁴⁵	Suining County Gazetteer (1997)	671
黄	Yao (Lianmin)	man⁵²	Suining County Gazetteer (1997)	676
黄	Yao (Naxi)	mɑ⁵³ (mɑ3)	Long (1984)	244
黄	Yao (Naxi)	mɑi⁵³ (mɑi3)	Long (1984)	248
黄	Yao (Naxi)	mɑi⁵³ (mɑi3)	Long (1984)	248
黄	Yao (Naxi)	mɑi⁵³ (mɑi3)	Long (1984)	252
黄牛	Cao Miao (Tanghua)	tu¹³	Shi (2012)	
黄牛	Cao Miao (Tanghua)	tu¹³	Shi (2012)	
黄牛	Dong (Duolong)	tu¹¹maːn³³	Suining County Gazetteer (1997)	671
黄蜂	Dong (Duolong)	lin⁴⁵	Suining County Gazetteer (1997)	671
黄鳝	Yao (Naxi)	ȵi¹¹ (ȵi2)	Long (1984)	245
黄鳝	Yao (Naxi)	ȵõu³³ (ȵõu6)	Long (1984)	248
黑	Yao (Lianmin)	nen³³	Suining County Gazetteer (1997)	676
黑	Yao (Naxi)	nõn²¹³ (nõn1)	Long (1984)	251
鼻子	Dong (Duolong)	naŋ⁴⁵	Suining County Gazetteer (1997)	671
鼻子	Dong (Duolong)	naŋ⁴⁵	Suining County Gazetteer (1997)	671
鼻子	Yao (Naxi)	nɑu²¹³ (nɑu1)	Long (1984)	252
龙	Cao Miao (Tanghua)	ljəŋ²²	Shi (2012)	
龙	Cao Miao (Tanghua)	ljəŋ²²	Shi (2012)	
龙	Yao (Naxi)	ljoŋ¹¹ (ljoŋ2)	Long (1984)	247
