English gloss	Chinese gloss	Proto-Miao
to have one’s hair shaved	剃	*tɕhei D
to have some (dishes) to go with (the rice)	就菜下飯	*mbdzɑ C
he	他	*ni B
head	頭	*foi B
head louse	頭蝨	*ɳtʂhoi B
to hear	聽見	*n̥ɔn B
heart	心臓	*pɭeu B
heaven	天	*ɴɢlwon A
heavy	重	*ȵ̥aŋ B
hedgehog	剌猬	*dʐoi C
hemp	麻	*ndɔu C
to hide	藏東西	*vʐei D
high	高	*fʂin A
hill	山	*bæ B
to hit	打中	*ɖɔ C
to hold	握手	*tɑ B
to hold	持槍	*ʈho C
hole	洞	*qhɔn B
home	家	*ptʂæ B
honey	蜂蜜	*vʐa A
hoof	蹄	*ʈoi C
to hook	鉤	*ɴqæ C
hoop	箍兒	*the C
to hoop	箍	*the C
hot	辣	*mbdʐa D
horn	牛角	*kon A
horse	馬	*mnen B
house	家	*ptʂæ B
house	房子	*ptʂæ B
hundred	百	*pɑ C
to husk (rice)	舂米	*tɔu B
I	我	*con B
ice	冰	*qɭou D
ill	病	*ʔmɔŋ A
in front of	面前	*ɴɢlin A
to increase	增加	*ɕeŋ C
indigo	藍靛草	*ɲɟeŋ A
to inquire	問	*non C
insect	蟲	*keŋ A
to insert	插	*ʈhei D
interior	裏面	*ɳdɭɔn C
intestines	腸子	*ȵ̥ən B
iron	鐵	*l̥ə C
it	他	*ni B
itch	癢	*chu D
to join (two ropes) together	接繩子	*tsɑ D
to keep (in mouth)	含一口水	*mpɑ B
to kill (a person)	殺人	*tɑu C
knee	膝蓋	*dʑou C
to know	知道	*pou A
lacquer	漆	*tshei D
to ladle out	舀水	*hei D
land	地	*tæ A
large	大	*ɭ̥o A
large bowl	海碗	*dei B
lark	畫眉鳥	*tɕuŋ A
late	遲	*li C
to laugh	笑	*tɭ̥o D
to lay (egg)	下蛋	*ndæ C
to lead	引導	*xi D
to lead (the ox)	牽牛	*tɕoŋ A
to lead (the ox)	拉牛	*ʈho C
leaf	葉子	*mbluŋ A
lean	痩	*ndzoi C
to lean on (a stick)	拄拐棍	*ɳdɭe C
leather	皮	*teu B
leg	大腿	*pɑ A
to lend (the cow) to	借牛	*qa B
to lend (the money) to	借錢	*tsei D
level	平	*din A
li, a Chinese unit of length (= 1/2 kilometre)	一里路	*ɭe B
