English gloss	Proto-Mjuenic	Pre-Mjuenic
tooth	*ɲaː A2	*ɲa A
tortoise	*to C2	*do C
tree, wood	*djaŋ C1	*ʔdjəŋ C
trousers	*kʰwaː C1	*kʰwa C
turn (one’s head)	*hwin A1	*hwin A
two	*ʔui A1	*ʔui A
under	*-diə B1	*-ʔdiə B
urine	*wjaː B2	*wja B
use	*nloŋ C2	*nloŋ C
vagina	*tiət D1	*tiət D
vegetable	*ɣai A1	*ʔrəi A
village	*ɣaːŋ B2	*raŋ B
vomit	*ʔo B1	*ʔo B
wait	*tsuə B1	*tsuə B
warm (v.)	*hɲut D1	*hɲut D
wash	*dʐaːu C1	*ʔdʐzu C
wash (clothes)	*dʐʰo C1	*dʐʰo C
water	*ʔwam A1	*ʔwəm A
weave (basket)	*tʂjaʔ D1	*tʂjək D
weave (cloth)	*dat D1	*ʔdət D
wet	*dɔn A1	*ʔdɔn A
white	*pɛʔ D2	*bɛk D
wide	*kjwaŋ B1	*kjʔwəŋ B
wife	*ʔau B1	*ʔəu B
win	*hiŋ A2	*ɦiŋ A
wind	*dzjaːu C1	*ʔdzjau C
wing	*daːt D1	*ʔdat D
wipe off	*swɔt D1	*swɔt D
write	*fiə B1	*fiə B
year	*hɲaŋ C1	*hɲəŋ C
yellow	*wjaŋ A2	*wjəŋ A
you	*mwei A2	*mwei A
young	*ɣun C1	*ʔrun C
