Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
芋头	taro	hou¹³	əu¹¹	hou²²	hɔu³²	hau²²	hou¹¹	vu²²tau⁵³	i²⁴dəu²⁴	heu¹³	kwai⁵³ɕwei³⁵
芝蔴	sesame	sa⁵⁵doŋ³¹	sa⁵⁴	tθa³¹	θa¹²	dziu³¹ma³¹pje³¹	ɕa⁴³	a⁴⁴tsa⁴⁴	ȶəu⁴²ma³¹	jɔu⁵⁵ma⁵⁵	jəu⁵³ma⁵³
豆子	bean	top¹²	təu²¹	tap²¹bei⁵⁴⁵	ʔtɔp³²bei⁵⁵	təp²¹	top³²	a⁴⁴tup²²	ȶʰən⁴²	tə²²	tʰwa⁵³
白薯	sweet potato	doːi³¹	dwa³¹	dɔi³³dun³⁵	dɔːi³³dun³⁵	dwai³¹	dɔi³¹	fan⁴²dai⁵³	dwai³¹	twei⁵⁵	kwai⁵³
烟叶	tobacco	in³³	iŋ³³	jin³⁵nɔm³³	jin³⁵nɔːm³³	in³³noːm³¹	in³³nɔm³¹	ɛn⁴⁴pi⁵³	jɛn³³	jen³³	jən³³
果子	fruit	pjou⁵²	pjəu⁵³	pjou⁵⁴⁵	ʔpjɔu⁵⁵	pjəu⁵³	pjəu⁵³	a⁴⁴bɛu²⁴	pjau³⁵	bjɔu³⁵	pjəu³⁵
柿子	persimmon	pjou⁵²tsai²³¹	pu³¹tsai²³²	tuŋ³³ȶau³²		bə³¹tsai¹²¹pjəu⁵³	pjeu⁵³tɕai²¹³	bɛu²⁴tui⁴⁴	kjau⁵³pəi³³	bjɔu³⁵kjɔu³³	pjəu³⁵tɕʰai⁴³³
李子	plum	pjou⁵²ɬjaŋ⁵²	pu³¹ɬjaŋ⁵³	pjou⁵⁴⁵gjaŋ⁵⁴⁵	ʔpjɔu⁵⁵gjaŋ⁵⁵	kwaŋ³¹ðaŋ⁵³pjəu⁵³	pjeu⁵³gaŋ⁵³	bɛu²⁴ȵɔŋ²⁴	ka⁴²ɬaŋ³⁵	bjɔu³³vən³³	pɣɯ⁵³ɣaŋ³⁵
桃子	peach	pjou⁵²tɕaːu³¹	pu³¹ka³¹	pjou⁵⁴⁵tlau³³	ʔpjɔu⁵⁵klaːu³³	bə³¹kjam³¹pjəu⁵³	pjəu⁵³klaːu³¹	bɛu²⁴kɔu⁵³	kla⁴²kla³¹	bjɔu³³klɔ³⁵	pɣɯ⁵³kɣan⁵³
梨	pear	lai³¹toːŋ¹³	pu³¹tɔŋ³¹	ta³³gei³²pjou⁵⁴⁵	gɛi³¹ʔpjɔu⁵⁵	θei³¹ðei³¹pjəu⁵³	ɕa²²gei³¹	beu²⁴dzai⁵³	kɔ³¹lai³¹	bju³³lwei⁵⁵	pɣɯ⁵³ɣai⁵³
葡萄	grape	pjou⁵²tʰau³¹	pʰu³¹tʰau³¹		lau³³bak³²	kʰju³¹pjəu⁵³	kou³¹pjeu⁵³	vu⁵³vɔt⁴⁴bɛu²⁴	ma⁴²an⁵³m̥əi³³pjau³⁵	bu³³klu⁵⁵	tu⁵⁵kɣən⁵³
菜	vegetable	lai³³	lai³³	gjai³⁵	gjai³⁵	ðai³³	gai³³	ɛi⁴⁴	lai³³	lai³³	ɣai³³
韭菜	chives (Allium tuberosum)	tɕiu²³¹tsʰɔːi²⁴	tɕi³¹tsʰwa³⁵	tɔŋ³¹kaːt²⁴	tʰɔŋ¹³bɛi¹³	kju³¹ȵon³¹	lep³²	ku⁴⁴hɔi⁴²	ȶau⁵³tsʰɛ²⁴	tɕɔu³³tsʰai⁴⁴	tɕəu³³tsʰje³³
胡芦瓜	calabash	ȵom⁵²ȵɛːŋ³³	bu³¹ləu³¹	kwa³⁵tθai³⁵	ka³³lu³¹	ȵom⁵³	ȵ̥um⁵³	ka⁴⁴pa²²	bu³¹	kloŋ³³hjɔu⁵⁵bu⁵⁵	pʰje⁵³kwa³³
蒜	garlic	fun²⁴	tsʰuŋ³⁵	tun²¹	tʰun³³¹	θun⁵⁵	θun⁵⁵	a⁴⁴hɔn²⁴	kʰəu³³	sɔŋ⁴⁴	tsʰuŋ⁴⁴
晶头	scallion (Allium chinense)	tɕiu²³¹	tɕəu²³²	ȡiu⁴³	tʰɔŋ³³θɛi³⁵	kiu¹²¹dəŋ³¹pjəu⁵³	θoŋ³³	kiu⁴⁴pɛi²⁴	dʑau²⁴dəu⁴²	tɕiu³¹pli³⁵	
茄子	eggplant	tɕe³¹	ka³¹tsaŋ⁵³	ka³³daŋ⁵⁴⁵	ka³³ʔtɔŋ⁵⁵	kwa³³ðaŋ⁵³	ka¹¹dʑaŋ⁵³	a⁴⁴kjɛ⁵³	ȶa³¹	ka³³tsaŋ³⁵	ka⁵³tsaŋ³⁵
辣椒	chili	fan³¹tsiːu³³	ba²¹tsiu³³	duŋ³³man²²	duŋ³³maːt³²	blaːt²¹θiu³³	lok¹¹maːn¹¹	lat²²ljau⁴⁴	hai⁵³tɕiu³³	plæ⁵⁵dən³³	la⁵³tɕəu³³
姜	ginger	suŋ³³	suŋ³³	tθuŋ³¹	θuŋ¹³	θoŋ³³	ɕuŋ³³	a⁴⁴kɔŋ⁴⁴	sɛ³³ȶwə⁴²	tɕɔŋ³³	cɯ³³
