Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
毛	tə⁰²pləu³¹	tə⁰²pləu³¹	plou⁴³	plo²⁴	pɭɔ³²	tɬau⁵⁵	qo³⁵pji³⁵	fei⁵³	qa³³ɬju³³	ɬjo²⁴	tɬjɔ¹³	pjɔ⁴⁴	ti³⁵	pi³⁵	pla³³	tɕa³³	kjo³³	pjo¹³pjo¹³	pja⁴⁴	pi²²	ple⁴⁴	pei³³	pjei³⁵	pli³³	pe⁴⁴
尾巴	ʔa⁰²ty⁵⁵	tə⁰²tu⁵⁵	ko⁴⁴tu⁵⁵	qə⁰²tɯ¹³	təu⁴²	ʔa⁵⁵ndzɦaɯ¹¹	pji⁴⁴tə⁴⁴	ti⁰³ta⁵⁵	qa³³tɛ³⁵	qa³³tue³³	tɔ⁵³	qa³³tua¹³	tai³¹	tei³¹³	ʔa⁰²tə⁵³	ko³⁵təu³⁵	to¹³	la⁰⁴tje⁴⁴	kə⁰³te³³	ka⁰³tɔ⁵⁵	ðau⁵³	tui⁵³	ʔtei⁵¹	kɔ⁴²dɔi³⁵	dui²⁴
马	qo⁰⁵ma⁵⁵	mɑ⁵⁵	nen²¹	mĩ³¹	men¹¹	nɯ³³	tɑ³⁵me²²	mi⁵⁵	ma¹¹	ma²¹²	mi²⁴¹	ma²¹	mei¹¹	me¹¹	mɔ²³¹	mo⁴⁴	mu⁵³	ma⁵³	mo³²	me⁵³	me³¹	ma²³¹	ma³¹	ma⁴²	ma⁴⁴
羊	qo⁰⁵ʑuŋ³¹	ʔə⁰²ʑoŋ³¹	ʑaŋ³¹	ʑã⁵⁵	sei¹³	ʑaɯ³⁵	tɑ³⁵ʑoŋ³¹	ʑaŋ³¹	lji³⁵	lje³³	lji⁵³	ʑuŋ⁵⁵	hi³⁵hi³⁵	ʑuŋ¹¹	ʑəŋ¹³	ʑuəŋ⁴²	lje⁵⁵lje³¹	ʑon³¹³	jaŋ¹³	jɔŋ³¹	jaŋ³³	ʑuŋ³¹	zuːŋ³³	ʑuə³¹	ʑiŋ⁵³
猪	qo⁰⁵mpzi²⁴	mpi³⁵	mpua⁴⁴	mpa⁴²	mpa⁵⁵	mpa³³	tɑ³⁵mpa⁵³	bei¹³	pa⁴⁴	pɛ⁴⁴	pe⁴⁴	pæ³³	mei⁵⁵	mpe⁵⁵	mpi⁴²	pei¹³	mpai⁴⁴	bai³⁵	mai⁵⁴	pi³³	mpai³⁵	tuŋ²³¹	ʔtoːŋ³¹	tuə⁴²	tiŋ⁴⁴
狗	qo⁰⁵qlei⁵⁵	ʔə⁰²qlei⁵⁵	tɬe⁵⁵	tɬɛ¹³	ɬæ⁴²	tɬi⁵⁵	tɑ³⁵qwɯ⁴⁴	qo⁵⁵	ɬa³⁵	sɛ³³	tɬai⁵³	ɬue¹³	qa⁰³ljaŋ⁴²	ljaŋ⁵³	tɬe⁵³	tɕe³⁵	kja¹³	tɬa⁴⁴	kau³³	kja⁵⁵	kla⁵³	ku⁵³	klu⁵¹	klu³⁵	ku²⁴
猫	ʔa⁰²ȵo³³	ʔə⁰²ȵo⁵⁵	tʂʰu³³	qə⁰²nõ²⁴	mɔ⁴⁴	ʔa⁵⁵tʂʰu¹¹	tɑ³⁵maŋ³⁵	ta⁰³mjau¹³	pɛ³¹; mo³³	mau³⁵	miau¹³	pe²¹	qa⁰³mɔ³⁵	mpau³⁵	mjɔ²¹	mieu²²	mjau⁵³	ȵau⁴⁴	mjɒ⁴⁴ku⁴⁴	ta⁰³mɔ³⁵	mjau⁵³	pə³¹lom³¹	maːu³³	ma⁴²ȵu³⁵	meu⁵³
兔子	ʔa⁰²ʔla⁵⁵	ʔə⁰²ʔlɑ⁵⁵	lua⁵⁵	lu¹³	ɭa⁴²	la⁵⁵	tɑ³⁵lɑ⁴⁴	tʰəɯ³¹tsɿ³³	lo⁵³	tʰeu³⁵tsɿ³³	tjan¹³	la¹¹	tʰu⁵⁵	tʰu⁵⁵	ʔa⁰²tu¹³	tu¹³	tʰu⁵⁵	tʰu⁵⁵tsɿ⁰³	tʰu⁵⁵teu⁴⁴	tʰu⁵³taŋ²²	tu³⁵	tʰəu²⁴	tʰu³¹	tʰəu⁵³tsaŋ³⁵	tu²²te⁴²
鸡	qo⁰⁵qɛ³¹	ʔə⁰²qe³¹	qai⁴³	qe²⁴	he³²	qai⁵⁵	tɑ³⁵qa³⁵	qa⁵³	qei³³	qa²⁴	qa¹³	qæ⁴⁴	qe³⁵	qai³⁵	ka³³	ka³³	ka³³	ke¹³	ke⁴⁴	kue²²	kai⁴⁴	tɕai³³	tʃai³⁵	tɕi³³	kui⁴⁴
公鸡	tə⁰²lo⁵⁵qɛ³¹	tə⁰²lo⁵⁵qe³¹	lou⁴⁴qai⁴³	lu¹³qu⁴²qe²⁴	lu⁴²he³²	ʔa³³lau³³qai⁵⁵	pɑ⁴⁴qo⁵³qa³⁵	pa⁵⁵qo³⁵qa⁵³	pa³⁵qei³³	pa³³qa²⁴	pa⁵³qa¹³	pa¹³qæ⁴⁴	pa⁴²qe³⁵	pa⁵³qai³⁵	po³⁵ka³³	lo⁵³ka³³	lo⁵³ka³³	pa⁴⁴ke¹³	pa¹³ke⁴⁴	kue²²kuŋ⁵⁵	kai⁴⁴kɒŋ³⁵	tɕai³³koːŋ³³	tʃai³⁵koːŋ³³	tɕi³³koŋ³³	kui⁴⁴bja²⁴
母鸡	tə⁰²men²⁴qɛ³¹	tə⁰²mei³⁵qe³¹	po³¹qai⁴³	qə⁰²mɛ⁵⁵qe²⁴	mi²¹he³²	ʔa³³ȵe⁵⁵qai⁵⁵	ne⁴⁴qa³⁵	nai³⁵qa⁵³	mi³¹qei³³	me¹³qa²⁴	ma²⁴qa¹³	me⁵³qæ⁴⁴	me⁴²qe³⁵	mai⁵³qai³⁵	mi²¹ka³³	mei²²ka³³	mai⁴²ka³³	mi⁵⁵ke¹³	ma⁵⁵ke⁴⁴	kue²²ki³¹	kai⁴⁴wo⁵⁵	tɕai³³ȵei²³¹	tʃai³⁵ȵei³¹	tɕi³³kau³⁵	kui⁴⁴pja⁵³
鸡冠	tə⁰²ʔwɛ³³qɛ³¹	tə⁰²ʔwæ³¹	qai⁴³ʔi⁴³	vi²⁴qe²⁴	ʔei³²he³²	qai⁵⁵zɦa¹¹	kwɛ⁴⁴ɳʈɑ³⁵qa³⁵	kwan⁵³tsa⁵³	n̥ji³³qei³³	nje²⁴qa²⁴	qa¹³ɣe²²	ve⁴⁴qæ⁴⁴	qa⁰³ji³⁵qe³⁵	tʰo³⁵ʑi³⁵	vi³³ka³³	zu³⁵ka³³	vai³³ka³³	vje¹³ke¹³	ke⁴⁴ɬjeu⁴⁴	kue²²kɔ³¹tsu³⁵	kai⁴⁴ntʃuŋ³³	tɕai³³gun²⁴	tʃai³⁵kwan³⁵	tɕi³³gwan³³	kui⁴⁴von⁴⁴
爪子	tə⁰²ku²⁴	tə⁰²ku³⁵	ʈou⁴⁴	ko⁴²	ʈɔ⁴⁴	ki³³ʈau³³	qo³⁵ʈa⁵³	tsau⁵³tsɿ³³	ken⁴⁴	kɛ⁵³kɛ⁵³	lɔ¹³qa¹³	quŋ³³	qa⁰³lu³⁵		ʔa⁰²kwa⁴²	ŋua¹³li⁴²		tu³⁵	ke⁴⁴tsɒ³³	kue²²kʰa³¹	kai⁴⁴tʃo⁴⁴	ȵu⁵³	ȵaːu⁵¹	tɕau³⁵	tau²⁴
翅膀	ʔa⁰²ta³³	tə⁰²tɑ⁵⁵	ti³³	qə⁰²ta⁴²	tɪ⁴⁴	ʔa⁵⁵ti¹¹	qo³⁵tei⁴⁴	ki⁰³ten³⁵	qa³³ta⁵³	qa³³ta³⁵	tei³⁵ʑan⁴⁴	qa³³ta¹¹	qa⁰³tei⁵³	qa⁰³te⁵³	ʔa⁰²tu³¹	ka³³tu²²	to⁴⁴ʑan⁴⁴	dla⁵⁵	kə⁰³ta⁵⁵	ka⁰³te³⁵	ka⁴⁴ðe⁵⁵	daːt⁵⁵	daːt⁵⁵	tɕi²⁴	dot⁴⁴
鸭子	ʔa⁰²ʁɹɛ²⁴	ʔə⁰²va³⁵	ʔo³³	ʔə⁴²	ʔo⁴⁴	ʔo¹¹	nu⁴²ʂo⁴⁴	qa³⁵qa³⁵	ka¹³	ʔou³⁵	ʔau³⁵	ʔeɯ¹¹	ʔa⁵³	ʔa⁵³	ʔɔ³¹	ʔo²²	ʔau⁴⁴	ʔai⁵⁵	ʔai⁵⁵	ʔue³⁵	ʔai⁵⁵	ʔap⁵⁵	ʔaːp⁵⁵	ʔat⁵³	ʔap⁴⁴
鹅	ʔa⁰²ŋɢo³³	ʔə⁰²ŋɢo⁵⁵	ŋo²¹	ʔə⁴²qẽ³¹	ʔo⁴⁴ȵi⁵³	ŋɦu¹¹	nu⁴²ŋoŋ³¹	ŋo³¹	ŋaŋ¹³	ŋan⁵³	qɔ²⁴¹	ŋe²²	ŋo³³	ŋko³³	han⁴²	xan¹³	ŋan³¹	ŋo³¹³	ŋeu³²	ŋu³¹	han³⁵	ŋe³¹	ŋa³³	ŋɔ³¹	ŋo⁵³
鸽子	ʔa⁰²ŋqa³³	ʔə⁰²ŋqɑ³³	ŋqua⁴³	nõ²²ŋqu²⁴	ŋkæ³²soŋ²²	ŋqa⁵⁵	tɑ³⁵ŋqo³⁵	ko³¹tsɿ³³	qo³³	ho¹³tsɿ³³	qau¹³	qɔ⁴⁴	ʔa⁰³qʰei³¹	ko⁵⁵tsɿ⁰³	ŋkɯ³³		ŋkɯ³³	ko³⁵tsɿ⁰³	ko¹³tsɿ³³	pʰa⁵⁵ka³¹taŋ²²	ŋku⁴⁴	pe²¹kop⁵⁵	pa³³koːp⁵⁵	kɔ⁴²tɕi³³	pa²²ko⁴⁴
老虎	qo⁰⁵tsəu⁵⁵	tsu⁵⁵	tʂo⁵⁵	sʰo¹³lo³¹	so⁴²	tʂo⁵⁵	tɑ³⁵tɕo⁴⁴	tsəɯ⁵⁵	ɕə³⁵	tsou³³	tsau⁵³	ɕeu¹³	qa⁰³pu⁵³	pau⁵⁵ŋqai³³	tsɔ⁵³	so³⁵	tɕou¹³	la⁰⁴tɕu⁴⁴	pa³³tsu³³	nɔ⁵⁵	tʃu⁵³	tom³¹sjen³¹	ʔtom⁵⁵gjaŋ³³	ʑɛn³¹	tɕan⁵³
猴子	qo⁰⁵tɕa³¹	ʔə⁰²ten³¹tɕɑ³¹	la⁴³	tɕu⁵⁵lẽ²⁴	læn³²	lie⁵⁵	tɑ³⁵mʐɛ³⁵	həɯ³¹tsɿ³³	lei³³	le²⁴	tjeu¹³la¹³	læ⁴⁴	tɕo³⁵	ŋ̩⁰³tɕo³⁵	ʔa⁰²tɕu³³	ləŋ⁴²	lan³³	la⁰⁴lje¹³	ŋe⁴⁴tjeu⁴⁴	nɔ²²ku²²tʰi⁵³	tʃu⁴⁴lai⁴⁴	biŋ³³	biːŋ³⁵	xəu⁴²sun³³	bjaŋ⁴⁴
熊	ʔa⁰²qle³³		tɬai³³	tɬe⁴²	ɬe⁴⁴	tɬai¹¹	kɯ⁵³ɕoŋ²²	qo⁵⁵ɕuŋ³¹	ɬji⁵³		tɬja³⁵	ɬje¹¹	ŋe³³kwaŋ⁴⁴	ɕuŋ³⁵	po⁵³tɬa³¹	mi³³	kjei⁴⁴	ɕuŋ³¹³	xjoŋ¹³	juŋ³¹ka³⁵ma³¹	ko¹²kle⁵⁵	tɕep⁵⁵	kjap⁵⁵	məu⁴²ȵu³⁵pa⁴²	
野猪	ʔa⁰²mpzi²⁴te³¹	ʔə⁰²mpji³⁵ti³⁵	mpua⁴⁴te⁴³	mpa⁴²m̥ã²⁴	mpa⁵⁵tæ⁵²	mpa³³zau⁵⁵	mpa⁵³tɯ³⁵	ʑe⁵⁵tsu³³	ŋa⁵⁵pa⁴⁴ta³³		to³¹m̥an¹³	pæ³³heu⁴⁴	to³⁵	to³⁵	po⁵³toŋ³³m̥e³³	pei¹³va³⁵pʰe⁴⁴	m̥an³³	tɬa¹³	pa³³tau⁴⁴	hɔ³³kwe³¹	ŋkai³³	ɕe³¹tuŋ²³¹	tʃi³⁵ʔtoːŋ³¹	ʑa⁵³tuə⁴²	ʑa⁵³tiŋ⁴⁴
穿山甲	qo⁰⁵ŋɢɛ³¹tsʰe³¹li²⁴vei⁵⁵	jøŋ³¹ȵdʑe³⁵	ʐou¹³	ʐo²²	ʐo¹³	zɦau³¹	tɑ³⁵ʐɔ⁴²	tsʰuan⁵³sen⁵³ka³¹	ɣo¹³	ʑou⁵³	ɣo²²	ɣɔ²²	jei⁴⁴	ŋ̩⁰³kwei³¹	po⁵³ɣa²²		ȵtɕan¹³	liŋ³¹³ka⁴⁴	ki⁴⁴lin⁴⁴	ŋu⁵³taŋ²²	liŋ⁴⁴ka³⁵	lai²¹	gjai⁴²	ljɔŋ³¹gat⁵³	len⁵³
老鼠	ʔa⁰²vjɛ⁵⁵	ʔə⁰²va⁵⁵	naŋ²¹; tʂua¹³	qə⁰²plu³¹	pʐə¹³	naɯ³³	tɑ³⁵nen²²	nai⁵⁵	naŋ¹¹	nan²¹²	nan²⁴¹	nẽ²¹	taŋ³⁵neŋ¹¹	taŋ³⁵neŋ¹¹	po⁵³nəŋ²³¹	neŋ⁴⁴	nan⁵³	naŋ³¹	ŋji³²kjo³³	ni⁵³taŋ²²	nen³¹	naːu²³¹	du³⁵	kla²⁴	tɕaŋ⁵³tɕaŋ⁴⁴
黄鼠狼	ʔa⁰²vjɛ⁵⁵ʁwen³¹	qo⁰⁵lɑ³¹ʁwen³¹	lo³¹tɬaŋ³¹	qə⁰²tɬa⁴²lã⁵⁵	toŋ¹¹nen⁵⁵	hi³³lɦu³⁵	pɑ⁴⁴tɕɛ⁴⁴	waŋ³¹zau⁵³su¹³	ɬjə³³lja⁵⁵		so¹³	qa³³lja⁵⁵	qa⁰³lja³⁵kwe³⁵	qa⁰³lja³⁵	po⁵³pla³³li³³		nan⁵³ɣou¹³	vaŋ³¹³lau⁵³ɕu⁵³		nɔ⁵⁵kwe²²	nen³¹ɬi⁵³	faːm³¹ba³¹	leu³³ŋau³³	waŋ⁴²ɕiu⁵³laŋ⁴²	vo⁵³
狐狸		qo⁰⁵plæ³⁵	ʐua³¹qʰua⁵⁵	ɬa²⁴pa⁵⁵	pa²¹ʐa⁵³	ʔa⁵⁵dɦy¹¹	tɑ³⁵ɬə⁴⁴		nɛ⁴⁴	ho³³tuan⁵³	tɬai⁵³ɣu⁵³			ʑa³¹³ke³¹³	po⁵³hu³¹li³¹	xu³¹li⁴²	mjau⁵³ɣou¹³	fu³¹³li⁴⁴	le³³	fu⁵⁵tju⁵³nɔ⁵⁵kwe²²	ken³³nei³⁵	dzjan³¹mau³¹	tau⁵⁵koːŋ³⁵kja³⁵		
鸟	qo⁰⁵no²⁴	no³⁵	noŋ¹³	tə⁰²nõ²²	nəŋ¹³	nau⁵³	tɑ³⁵nu⁴²	naŋ¹³	nə¹³	neu⁵³	neu²²	neu²²	taŋ³⁵moŋ⁵⁵	taŋ³⁵nuŋ³¹	nau²²	naŋ²²	nou³¹	nu²²	noŋ³²	nɔ⁵³taŋ²²	nɒŋ¹¹	no²²	no⁴²	n̥ɔ²¹	no²²
鸟窝	ʔa⁰²ji⁵⁵no²⁴	ji⁵⁵no³⁵	ʐe²¹		ʐe¹¹	ve³³	qo³⁵ʐɯ²²	ki⁰³ʑəɯ⁵⁵naŋ¹³	ɣi¹¹		ɣei²⁴¹neu²²	ɣei²¹neu²²	ʔa⁰³ȵ̥o³¹taŋ³⁵moŋ⁵⁵	ʑo¹¹taŋ³⁵nuŋ³¹	ɣe²³¹nau²²	zoŋ¹³naŋ²²	ɣei⁵³nou³¹	ʑa³¹nu²²	noŋ³²vji³²	nɔ⁵³tɑŋ²²ja⁵³	nɒŋ¹¹ŋkja³¹	lau²³¹	no⁴²gjau³¹	la⁴²	no²²fja⁴⁴
老鹰	qo⁰⁵len³¹	ʔə⁰²qɑŋ³¹len³¹	tɬaŋ⁵⁵	plõ¹³	ɬua⁴²	tɬaɯ⁵⁵	tɑ³⁵qwei⁴⁴	qwai⁵⁵	ɬaŋ³⁵	ʑin²⁴	tɬan⁵³	ɬẽ¹³	ŋ̩¹¹kwe³¹	ŋ̩⁰³kwei³¹³	po⁵³tɬəŋ⁵³	tɕeŋ³⁵	kjan¹³	la⁰⁴tɬaŋ⁴⁴	pa³³kwan³³	ji³⁵pʰu⁵³	klən⁵³	tom³¹kaːŋ⁵³	klaːŋ⁵¹	ŋa⁴²ʑɛn³³	tam⁵³tɕaŋ²⁴
猫头鹰	qo⁰⁵no²⁴ʔa⁰²ȵo³³	ʔə⁰²χu³¹χu³¹	plaŋ³³	qɛ¹³	lu¹¹si¹¹	lau¹¹ɬy¹¹	tɑ³⁵qɯ⁴⁴	wa⁵⁵ko³³tɕʰo³¹	ɬjoŋ⁴⁴	mau²⁴tjeu²⁴	tɬjoŋ⁴⁴	kue¹¹pʰɔ³³	kwe³¹	pu⁵⁵ʑuŋ³¹³	po⁵³ke⁵³ʔu⁵³	tɕe³⁵koŋ³³	kjan¹³ɣou¹³	ku⁴⁴tɬeŋ³¹³	ku⁴⁴ko⁴⁴noŋ³²	nɔ⁵³taŋ²²mɔ³⁵kɔ⁵⁵	kai⁴⁴ku⁵³	no²²ku⁵³	no⁴²ku⁵¹mau³³		toi⁵³tsuŋ⁴⁴no²²
燕子	qo⁰⁵lɛ²⁴tsʰəu⁵⁵	ʔə⁰²qo⁰⁵lɑŋ⁵⁵qo⁰⁵læ³⁵	noŋ¹³lo⁵⁵	qə⁰²mpi¹³li¹³	ɭa²¹ɭæn³²	kʰi³³lu³³	pɔ⁵³kɯ³⁵mɑŋ²²	ʑan³³tsɿ³³	pa³⁵ljin³⁵qɛ³¹	ʑen⁴⁴tsɿ³³	tɕi⁵³qei³¹	neu²²pa¹³lje¹³	qa⁰³ljaŋ³¹kʰwe³⁵	ʑe³⁵tsɿ⁰³	nau²²ta⁵³laŋ²¹təŋ²²		liŋ⁵³ljuŋ¹³	ʔa⁰⁴tɬjon⁴⁴	ŋjin⁵⁵tai⁵⁵	ta⁰³ʔɔn³⁵taŋ²²	nɒŋ¹¹tʃau⁵³	pə³¹ɕin²⁴	ʔoŋ⁵⁵ʔiːn⁵⁵	ɕi⁵³ʔin³⁵	ʔaŋ⁴⁴ʔen²⁴
麻雀	qo⁰⁵no²⁴	ʔə⁰²ndzɑŋ³¹lɑŋ³⁵	ȵtɕou⁴³ʐi¹³	qə⁰²nzẽ⁴²lo⁵⁵	pʐei²¹	pi³³tɕʰo⁵⁵	nu⁴²tsei³⁵	naŋ¹³tsu³⁵	nə¹³tsei¹¹	neu⁵³tse²¹²	ta³⁵tɕan¹³	neu²²tja⁴⁴	qa⁰³ljaŋ³⁵	taŋ³⁵tɕu⁵³	nau²²ʔa³¹pjəŋ²³¹	naŋ²²pi⁴⁴	pi⁵³ljau⁵³	nu²²ljon³¹³	ma¹³tsʰjo¹³	ma³¹tsjuk³⁵taŋ²²	nɒŋ¹¹ntʃei³⁵	ma³¹tso³¹	no⁴²kei⁴²vaŋ³³	tɕɔ⁵³tsaŋ³⁵	ʔu⁴²li⁵³
乌鸦	ʔa⁰²ʁo⁵⁵	qɑ³⁵wu⁵⁵	ʔua⁴³		ʔa⁴⁴	li⁵⁵ʔa⁵⁵	pɑ⁴⁴ʔɔ⁵³	pa³⁵ʔa⁵³	ʔa⁵³vo¹¹		ʔe⁴⁴	ʔa³³	la³¹ʔa⁵⁵	qa⁰³la⁵⁵	ʔi⁴²	ʔa²²	ʔo⁵⁵	ʔi¹³ʔo¹³	lo²¹ʔo⁵⁵	nu⁵⁵ʔa³³	nɒŋ¹¹ka¹¹	no²²ʔa³³	ʔu⁵⁵ʔa⁴²	tin⁴²klaŋ³⁵	ʔa⁴⁴lop²²po²²
野鸡	qo⁰⁵zuŋ⁵⁵	ʔə⁰²zoŋ⁵⁵	tʂeu⁴⁴	ŋkə¹³sə⁴²	se⁵⁵	ʔa⁵⁵tʂey¹¹	nu⁴²nu³¹	qəɯ⁵⁵qəɯ⁵⁵	njoŋ⁵⁵	qa²⁴ʑa²²	ɕiŋ³⁵	njuŋ⁵⁵	qa⁰³tɕeu⁵⁵	ŋ̩⁰³tɕeu⁵⁵	ɳʈəŋ¹³	ka³³ʔle³³	ko¹³	ke¹³kau⁴⁴	ljo⁴⁴ke⁴⁴	san⁵⁵ke⁵⁵	ʃe¹²kai⁴⁴	no²²gui³¹tɕai³³		gli⁴²	
斑鸠	ʔa⁰²ŋqa³³ʑa⁵⁵	ʔə⁰²ŋqɑ³¹	ŋqua⁴³	ŋkɯ¹³tʂɯ¹³	ŋkæ³²tu²¹	ŋqa⁵⁵	ŋqo³⁵wei³⁵tɕɑŋ⁵³	pan⁵³tɕi⁵³	qo³³tə¹¹	qou²⁴	qau¹³	qɔ⁴⁴ɣu¹³	qa⁰³ŋo³⁵	taŋ³⁵ŋqo³⁵	ŋku³³pe²³¹	naŋ²²ku²²	ŋkɯ³³ɣou¹³	ko⁵³gau¹³	pan⁴⁴kjɒ⁴⁴	pan²²kjeu²²kɔ²²	ŋku⁴⁴	no²²gu³³	pa¹¹ko³⁵	pan³³tɕu³³	
啄木鸟	qo⁰⁵no²⁴ȵtɕo³³ntuŋ²⁴	qo⁰⁵ȵdʑo³¹ȵtɕo³¹ntoŋ³⁵	ko³³ȵtɕeu³³ntoŋ⁴⁴	nõ²²kə̃⁴²	nəŋ¹³ȵtɕə⁴⁴wa²²	nau⁵³kə⁵⁵	nu⁴²tsɑ³¹mu²²kwɛ⁴⁴	tsʰua³¹mu³¹kwan³³	tjo³³	tsa¹³mu¹³kuan²⁴	nou²²qa³³tɕan⁵³	neu²²tjɔ⁵⁵teu³³	taŋ³⁵moŋ⁵⁵tɕo³⁵tja³⁵	qa⁰³le³⁵	nau²²ŋkwa⁴²ʈə¹³	naŋ²²səu¹³taŋ¹³	nou³¹mpei¹³to⁵³	tsa¹³mo³⁵kwaŋ³³	tʰeu²¹fo⁴⁴noŋ³²		nɒŋ¹¹ntjau⁵⁵ntaŋ³⁵	no²²dzo²²djaŋ²⁴	ʔaŋ³³ŋjaŋ⁵¹	tɔ²⁴djaŋ²⁴n̥ɔ²¹	
蛇	qo⁰⁵ʔnen³¹	ʔə⁰²ʔnen³¹	naŋ⁴³	nã²⁴	na³²	pi⁵⁵naɯ⁵⁵	tɑ³⁵nen³⁵	nai⁵³	naŋ³³	nan²⁴	nan¹³	nẽ⁴⁴	neŋ³⁵	heu³⁵neŋ³⁵	nəŋ³³	ʔtəŋ³³	nan³³	gaŋ¹³	ni⁴⁴	tɔ²²ʔɔn³¹	nen⁴⁴	naŋ³³	naŋ³⁵	naŋ³³	noŋ⁴⁴
青蛙	qei⁵⁵tə⁰²mpjɛ³¹	ʔə⁰²qei⁵⁵tɑŋ⁵⁵	qua⁵⁵	qõ¹³	hua⁴²	ta³³qa³¹	tɑ³⁵ku⁴⁴	qa⁵⁵	qaŋ³⁵	qan³³	qan⁵³qa⁴⁴	qæ̃¹³	keu³¹	keu⁵³	po⁵³ke⁵³	kut³⁵	ke¹³	kaŋ⁴⁴bu¹³	kan³³lo¹³	lin³¹kwan⁵⁵	ken⁵³	kɛŋ⁵³	tʃaŋ⁵¹koːm³¹	ma⁴²kwai³⁵	kup⁴⁴; tjan⁵³tuŋ²²kaŋ²⁴
鱼	qo⁰⁵mbji⁵⁵	ʔə⁰²mbji⁵⁵	ntʂe²¹	mplɛ³¹	mpʐe¹¹	mbə³³	tɑ³⁵mʐɯ²²	mɯ⁵⁵	zɛ¹¹	njei²¹²	ȵei²⁴¹	mei²¹	njo¹¹	mpjo¹¹	mpje²³¹	pja⁴⁴	mpjei⁵³	bja³¹	mui³²	pja⁵³	mpja³¹	bau²³¹	bjau³¹	bla⁴²	bju⁴⁴
鳞	ʔa⁰²to⁵⁵mbji⁵⁵	tə⁰²plæ³⁵	mplai⁴⁴		ɬei⁴⁴mpʐe¹¹	ʔa⁵⁵ti¹¹mbɦə¹¹	qo³⁵ɳei⁴²mʐɯ²²	y³¹lin³¹ka³¹	qa³³ɬo⁴⁴		ɬɔ⁴⁴ȵei²⁴¹	ɬjun³³mei²¹	qa⁰³kwi⁵⁵njo¹¹	kʰeu³³kwei⁵⁵	ʔa⁰²pʰlu³¹mpje²³¹		kju⁵³	liŋ³¹³	lin¹³	lin³¹pja⁵³	mpja³¹lin³³	kwje²⁴	ki⁵⁵	bla⁴²ljaŋ³¹	bju⁴⁴ki⁴²
黄鳝	tɕin³¹ʔnen³¹	tɕin³¹nti⁵⁵	ntʂe²¹naŋ⁴³		mpʐe¹¹na³²	nɦaɯ³⁵	wɑŋ³¹ɕɛ³⁵	waŋ³¹san³¹	zɛ¹¹ljə¹³		ljeu²²	pe³³lju²²	toŋ³⁵seŋ⁴²	wuŋ³³ɕe³¹³	mpje²³¹kʰa⁵³te³³		lju³¹	ɕen⁵³ȵu³¹³	mui³²ni⁴⁴	lin³¹tsʰi³⁵	tə³¹lin³³	tsin²³¹wjaːŋ³¹		bla⁴²naŋ³³	bju⁴⁴noŋ⁴⁴
泥鳅	tɕin³¹tsʰo³¹	tɕi³¹tsʰo³¹	ntʂe²¹tʂʰu³³		mpʐe¹¹tɕəu²²	nɦaɯ³⁵tɕaŋ⁵⁵	mʐɯ²²coŋ³⁵	mɯ⁵⁵tɕaŋ⁵³	zɛ¹¹ta³³		ljua²⁴¹	pe³³tue⁴⁴	lin³³tɕʰu⁵⁵	mpjo¹¹liŋ³³	mpje²³¹ʔa⁰²te³³	ni²²sieu³³	kai³³	bja³¹tɬʰi⁵⁵	mui³²tʰjeu⁴⁴	ne³¹tsʰiu⁵⁵	mpja³¹nuŋ³⁵	bau²³¹tsun²⁴	bjau³¹tʃet⁵⁵	ljɛn⁴²djau³³	ŋe⁴⁴let⁵³bju⁴⁴
虾	tɕin³¹tsy²⁴	tɕin³¹ȵɑ³⁵tsʰe³¹	kaŋ⁴³tɕu³³		kua³²tɕəu⁴⁴	tɬau⁵⁵mbə³¹	tɑ³⁵ʂoŋ³⁵	kʰaŋ⁵³	kaŋ³³kʰoŋ³³		kan¹³qʰoŋ¹³	kæ̃⁴⁴tɕi²²	qai³⁵koŋ⁵⁵	miŋ³³ha⁵⁵	ȵɔ²²	san³³	kjan³³ki³³	ha¹³kuŋ¹³	fo⁴⁴kaŋ⁴⁴	ka⁰³kʰuŋ²²	ŋjau³³	tɕʰa³³	tʃʰa³³koːŋ³⁵	kʰa³³kɔŋ³³	ha⁵³kuŋ⁴⁴
螃蟹	tɕin³¹ʈu³¹	tɕin³¹ʈu³¹	ʈou⁴³	ŋko⁵⁵tʂo²⁴	ʈei⁴⁴	tsɿ³³ɢɦey³⁵xu³³	tɑ³⁵ʈei³⁵	pa⁵⁵tei⁵³	tjo³³	kan²⁴tjou²⁴		kæ̃⁴⁴tjɔ⁴⁴	ȵi³⁵	ŋ̩⁰³ti³⁵	po⁵³ve⁵³ʈa³³		kjan³³ki³³	keŋ¹³kje⁵⁵	poŋ¹³hai³³	ʔɔŋ²²ki³⁵	kwei⁴⁴	kɛŋ³³gwai²³¹	kom⁵⁵ȵai³⁵	ɕi⁵³djai³³	kuŋ⁵³tɕa⁴⁴tau²⁴
