Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
认识	tɕe²⁴ty²⁴	tɕe³⁵tu³⁵	ȵtɕo⁴⁴	ȵtɕə⁴²	ʐen³³sɿ²¹	pau⁵⁵	ȵtɕo⁵³	ʑe³⁵ȵaŋ⁵³djau¹³	ɕaŋ³¹	tɕou⁴⁴	tjeu⁴⁴	ɕaŋ¹¹	pei³⁵	pi³⁵	pa³³	zo²²na³⁵	pu³³	dʑu³⁵	ta⁴⁴njeu⁵⁴	jin⁵³tu³³	pei⁴⁴	tsje⁵⁵	ȵim⁴²	tja⁵³	ȵan²²tsa⁴⁴
融化	ʑin³¹	ʑo⁵⁵	ʑaŋ³¹	ʑõ⁵⁵	ʑua⁵³	ʑɦaɯ³⁵	tɕi⁴⁴ʑin³¹	ʑuŋ³¹	ʑaŋ⁵⁵	ʑan²²	mo²²; lɔ³¹	ʑin⁵⁵	je³³	ʑe³³	ʑau¹³	ȵon²²	ʑou⁴⁴	ʑuŋ³¹³	joŋ¹³	kjiŋ³³	jo³³	ʑu²²	zu⁴²	ʑuə³¹	ʑiŋ⁵³
撒尿	tsəu³¹	tsoŋ³⁵	tʂau⁴⁴	sʰa¹³	ɭæ³⁵ʐɪ¹¹	vɦɯ¹¹	qei²²	tsaŋ³³	ɕu³⁵	ʔen³³	tɕi⁵³	ɕo¹³	ŋ̩⁵³wei¹¹	ŋ̩⁵³	plo²¹	tʰo⁴²	lu³¹	ʔin⁵⁵	ʔaŋ⁴⁴	ʔu³⁵	ʔei³⁵	puŋ²⁴	ʔi⁵¹	ȵɛ⁵³	ʔeŋ⁴²
扫	tɕʰi³¹	tɕʰi³¹	tɕʰe⁴³	tɕʰɛ²⁴	tɕæ²²	tɕʰi⁵⁵	kɯ⁴⁴	kɯ⁵⁵	tɕʰi³³	tɕʰei²⁴	ɕi¹³	tɕʰi⁴⁴	ko³¹	ko³¹³	tɕʰe³³	pʰət³⁵	tɕʰei³³	tsʰa⁴⁴	ɬau⁵⁴	kja⁵⁵	ntʃa⁵³	pʰut⁵⁵	dʒeu⁵⁵	su³⁵	sau²⁴
杀（人）	ɬe³³	ɬe³¹	tua⁴⁴	ntə⁴²	ta⁵⁵	n̥o³³	tɑ⁵³	ta³³	ta⁴⁴	ta⁴⁴	to⁴⁴	ma⁵³	ta⁵⁵	ta⁵⁵	tɔ⁴²	to¹³	tau⁴⁴	ta³⁵	to⁵⁴	ta³³	ta³⁵	tai²⁴	ʔtai⁵⁵	tai²⁴	dai⁴²
筛	ʂe³¹	se³¹	ʐi²¹	ʂã⁴²	ʐaŋ¹³	tʂʰau³³	ɕɔ⁵³	so³³	ɕʰa³³	ɕɛ²⁴	ɕaŋ¹³	ɕʰæ⁴⁴	he³¹	ʔhei³¹³	ʂaŋ³³	zaŋ³³	xe⁴⁴	ɕi¹³	sa⁴⁴	hi⁵⁵	θai⁴⁴	lo³¹	gwan⁵⁵	sɛ³³	he⁴⁴
晒	ntei²⁴; pi³¹	pʰen³¹	ʐa⁴³	ʐẽ²⁴	ʐæn³²	zie⁵⁵	ʂo⁴⁴	xəɯ⁵⁵	tsa³³	pue²⁴	pai¹³	ɕʰæ³³	ha⁵⁵	ha⁵⁵	nte⁴²; pe³³	te¹³	pa⁵³	ɕa⁵⁵	sa⁵⁴	hi³⁵	pʰoi³³		faːi¹¹	pʰəi³³	fai⁴⁴
上（楼）	ȵtɕi²⁴	ȵtɕin³⁵	ȵtɕe⁴⁴	ȵtɕɛ⁴²		ȵtɕi³³	ȵtɕɯ⁵³	djɯ¹³	tɕi⁴⁴	tɕei⁴⁴	ti⁴⁴	tɕi³³	ȵo⁵⁵	ȵtɕo⁵⁵	ȵtɕe⁴²	tɕe¹³	ȵtɕei⁴⁴	dʑa³⁵	ly⁵⁵	tja³³	ntʰja³⁵	faːu²⁴	tau⁵⁵	sa²⁴	ho⁴²
烧（山）	pʰzi⁵⁵	pʰji⁵⁵	ɬeu⁵⁵	ɬə¹³; pʰɛ¹³	pæ²³²; lə²³²	ɬey⁵⁵	tei⁴⁴; ʔɔ³⁵	ti⁵⁵; ʔo⁵³	pʰi³⁵	pʰɛ³³	pʰai⁵³	kʰi³³	pʰo³¹	qaŋ³⁵	pʰe⁵³	pʰe³⁵	pʰa¹³	kʰwa⁴⁴	neu⁵⁵	fa⁵⁵	ʍa⁵³	po⁵³	ʔpu⁵¹	pau³⁵	bu²⁴
射	puŋ⁵⁵	ɳʈu³¹	pau⁵⁵	põ¹³	poŋ⁴²	po⁵⁵	pɑŋ⁴⁴	ba³¹	paŋ³⁵		pam⁵³	paŋ¹³	poŋ³¹	mpo⁵³	pɛ⁵³	pei³⁵	pei¹³	do⁵⁵	sje¹³	sja⁵³	puŋ⁵³	poːn⁵³	fan⁵¹	tɛ³⁵	bun²⁴
