Gloss	Proto-Hmong-Mien	Proto-Hmongic	Proto-Mienic
owl		*ploŋD	
pack/wrap		*qʰʉB	
pair		*ŋgjowD	*suŋA; *reŋC
pangolin	*rɔiH		
paper		*ntowB	*tjejB
peach	*ɢlæw		
pear	*rəj		
peck/dig		*ɲcowD	
peel off/escape			*ʔdutD
peel/shave		*cʰeD	
perilla		*ʰnaŋB	
persimmon		*minB	*djəiB
person		*nænA	*mjænA
petal			*ʰlemC
pheasant		*tsjowD	
pick up		*kʰowD	*ʔɟəpD
pick up/clamp		*teD	
pig		*mpæC	*duŋB
pigeon		*ɴquA	*kɔpD
pillar	*ɲɟæu		
pillow	*ɲcu̯əmH		
plain (level ground)		*ndroŋB	
plant, to		*ɟəŋC	
play	*N-dzæwH		
play (flute)		*pʰroB	*pʰlu̯əmB
plum	*ʰli̯əŋX	*kʰowA	
poplar tree		*ji̯aŋA	
porcupine	*N-dzjeiH		
porridge			*tju̯okD
POSSESSIVE			*ʔɲi̯əŋA
pour		*praC; *ʔlju̯eiA	
price		*ɴqaC	
pull out		*tʰroC	
pullet/hen			*klanC
pus		*bu̯eiC	*nɔŋC
push earth aside		*pʰʉA	
put on/wear (cap)	*ntɔŋH		
put on/wear (clothes)	*(h)naŋX		*dəŋA
put on/wear (shoes)	*dap	*trɔC	
puttees		*ntʰrɔŋA	
quick	*cu̯ɛp	*ʰreC	
quilt			*su̯ɛŋC
rabbit		*ʔljuB	
ragged/shabby		*ɴɢluC	
rain		*m-noŋC	*mbluŋC
raise (chickens)		*jɛŋC	*juŋB
rake, to			*baA
ramie/hemp	*nduH		
rat		*bru̯aC	
raw/unripe	*ɲu̯emX		
reach/arrive at		*dzoC	
receive/borrow	*tsep		
receive/gather in		*sjuwA	
RECIPROCAL		*sjɨA-D	
red		*ʔlinA	*sekD
remember		*ɲcoC	*kji̯əŋC
repair/mend	*mpjaX		
repay		*bu̯eiA	*qlauB
resemble			*ʰnəŋB
rest, to		*sjoC	
return		*trəŋB	
return home			*muB
rib	*tamX		
rice cake	*ŋkju̯əX		
rice plant/paddy	*mbləu		
rice steamer	*tsjɛŋH		
rice, cooked	*ʰnrəaŋH		
rice, husked		*ntsuwC	*ʰmeiC
rice/millet, husked		*tsʰɛŋB	
ride	*ɟej		
river		*ɢlæwA	*ndaiA
river deer		*ŋgu̯eiB	
road/way	*kləuX		
rob		*hæD	
rock			*ʔbeŋC
roll down		*qləŋB	
root		*ɟoŋA	*ndzuŋA
rope		*ʰlæC	
rot		*lʉA	
rough/coarse		*ntsʰaA	
round	*ɢlun		
salt	*ntsjəuX		
salty		*qrowC	*ndzaiA
sandals, straw			*səukD
sash/cord/rope	*ʰljaŋ		
scald		*ʰlaŋA	
scatter/sprinkle	*mpʰu̯ənH		
scissors			*ʔglji̯euB
scold/curse		*qeC	*hi̯emC
see	*bu̯ət		
seed	*ʰnru̯em		
seedling		*ʔjɛŋA	*ʔjaŋA
seek shelter		*ŋgreD	
sell	*mɛjH		
send/deliver	*suŋH		
seven	*djuŋH		*ŋjiC
sew			*lju̯ɛnA
shallow	*ŋkli̯əŋX	*ɲenB	
sharp	*-rajH	*ntsjæwC	
sharpen/grind		*hoB	*dʰjæuC
shed leaves/drop			*mblu̯eiC
sheep/goat	*juŋ		
shell/covering	*pʰlei		
shoes		*kʰjɔC	
shoot	*pənX		
short		*ʔlɛŋB	*ʔnəŋB
shoulder		*bʉC	
shrink	*ʰjuk		
shut (door)		*sowD	
shuttle		*ɴɢəŋB	*ɴɢlowB
shy			*ʔɲæiA/B
sickle	*ljim		
sieve, to		*tsʰjɔC	
silver	*ɲʷi̯ən		
sinew		*sju̯eiB	*kʷjanA
sing/cry out	*ɢæw		
sink		*dəŋA	
sister-in-law	*ʔɲam		
sit			*dzu̯eiB
six	*kruk		
skin	*N-top		
skirt		*tinA	*gjunA
sky/heaven	*wɛŋ; *ndɛuŋ; *ɴɢɛuŋ		
slant/slanting		*ɢeA	
sleep/lie down	*pu̯eiH		
slice	*ʰlep		
small/fine			*sæiC
small/young		*ʔjuwC	
smooth/glossy	*mbli̯əŋH		
smooth/slippery	*ɴɢu̯at		
snail		*gʉA	*klu̯eiA/B; *kʷlejA
snake	*ʔnaŋ		
snap	*tɛŋH		
sniff at	*ʰmji̯əmH		
snore			*ŋgjanA
soak	*dzeiH	*ntsjæwC	*doA
sober up			*siŋB
soft	*mlu̯ɛjH		
son/boy	*tu̯ɛn		
son-in-law	*ʔweiX		
soot		*ŋkʰowA	
sore/boil/blister	*tsʰaŋ		*kʷjejA
sorghum		*ntsjuC	
soul/spirit		*bljaA	
sound			*siŋA
sound/noise		*-ʰruA	
sour	*suj		
to sow		*præwA	
soybean	*N-peiX		
span, arm		*ɢraŋA	*ju̯amA
span, finger		*qroC	
spicy	*mbrat		
spill			*(ʔ)jamC
spinning wheel		*tsʰju̯aA	
spirit/ghost		*qraŋA	*ʰmjænB
split/chop	*pʰek		
sprinkle/spill		*ɲcʰuB	
squeeze/pinch		*ʔlɨC	*ʰɲaiC
stand/get up	*sjouX		
star		*qɛŋA	
steal	*ɲemH		
steel		*tsʰæwA	
steep		*ntsʰoŋA	*gjujB
step		*droA	
step on/tread		*dæD	
stick	*praX		
stomach		*plaŋA	*siA
stone	*-ʔrəu		
stool/bench			*təŋC
stop up/plug	*ntsjot		
stove	*N-tsoH		
straight		*ɲci̯aŋA	
strength	*-rək		*kʰləkD
stretch	*ɕoŋ		
strip leaves		*ndru̯eiC	
stroke		*pʰlʉC	*pʰlunA
stumble		*ndzjowD	
suck		*ntseD	
sun/day		*ʰnɛŋA	*ʰnu̯ɔiA
swallow, to		*ɴɢəŋB; *ɴqowC	*ʔnəkD
sweep		*cʰæwA	*pʰu̯ətD; *ʔɟæuC
sweet	*Kam		
sweet potato	*ndu̯əj		
swell	*ʔəumH		
sword			*ɲɟəukD
sword, long		*ndaŋA	
table			*ndɔuA
table/bench		*drɔŋA	
tael (40 grams)		*li̯aŋB	*lji̯oŋB
tail	*tu̯eiX		
take			*tjɔkD
taro	*wouH		
taste/try	*ʰmeiH		
tea		*gjiB	*ɟaA
tear, to		*qru̯aC	
tell			*ʔboC
temple			*miuC
ten	*gju̯ɛp		
ten thousand		*wi̯aŋC	
tender	*ʔrəunH		
that			*ʔweB
that/the former		*ʔɨB	
thick		*tæA	*ɦɔuB
thick (liquid)		*ŋgjɔŋC	
thick (porridge)			*gətD
thick/dense			*makD
thigh		*pæA	*djujA
thin		*sjɔŋA; *ɲenB	*bi̯ɛkD; *glæiC
thin (person)		*ndzu̯eiC	
think of			*h[n/l]əmB
thirsty	*NKʰat		
this	*ʔneinX		
thorn		*-boB	*ʔɟimB
thousand	*tsʰi̯en		
thread		*S-pʰoB	*sujC
thread, to	*cʰu̯en		
three	*pjɔu		
throw on (clothes)		*mpu̯aC	
thrush (hua mei niao 画眉鸟, Garrulax canorus)		*cɔŋA	
thunder	*mpu̯ə	*S-pʰoA	
tie/cross (legs)		*qʰeA	
tiger		*tsjɔB	*ŋgljænA; *kjənB
tile	*ŋʷæX		
tilt-hammer/pestle			*tu̯ɔiC
tin		*tsʰæD	
tongue	*mblet		
tooth	*ʰmjinX		
tortoise	*duH		
track, to		*ndroC	
trap/ensnare		*cuA	
tree	*ntju̯əŋH	*S-pʰruA	
tree of heaven		*jɛŋA	
trough		*qroŋA	*dzuA
turbid		*ŋkroB/ŋgroB	*ŋglokD
twin		*mpljeA	
twist/rub		*S-pʰu̯aA	*ɕætD
two	*ʔu̯i		
uncle	*jæuX		
urine	*-raX		
use			*[n/l]oŋC
used to		*lju̯aC	
vegetable	*ʔræi		
vertical/upright		*ndzjæwC	
village	*rəŋX		
vine	*ʰmein		
waist	*qlajX		
wait		*dəŋB	*tjɔuB
wake		*dzjaD	
walk			*jəŋA
walnut		*qlowC	
warm	*sji̯ouX		
warm self by fire	*ntauH		
wash (hands)	*ntsæwX		
water	*ʔu̯əm		
water buffalo/cow	*ŋiuŋ		
water, to			*rəmA; *ɲɟunA
weave	*ntət		*tsi̯ɛkD
weave/plait		*hinA	
wedged in		*ntrinC	
weed/hoe		*ntʰuC	
weep	*ʔɲæmX		
wet	*ntu̯ɛn		
what		*tsjɨB	
wheat		*muŋC	
which		*dʉC	*[hl]aiC
whip		*mblowD	*pinA
white		*qlowA	*bækD
whorl at top of head		*jɨB	
wide	*Kʷi̯aŋX		
wife of mother’s brother			*mjəŋA
wife/elder sister		*ʔwæwB	
wild dog		*ʰmaŋC	
wildcat		*pljɨD	
wind	*N-cæwH		
wing	*N-tat		
wink	*ntsjep		
winnow		*prɔŋB	*ʰɲumC
winnowing fan		*ʔwaŋA	*ɕi̯əŋA
wipe		*sjəŋC	*sotD
wooden basin			*pjatD
word/character			*ndzaŋC
wring		*proC	
write		*ʰru̯eiC	*xjaB
year	*ʰɲu̯əŋH	*ɕɔŋC	
yellow		*ɢʷaŋA	*wi̯əŋA
young		*ʰljæD	
young man		*ndru̯eiC	*mbjauA
younger brother	*ku̯eiX		
