Gloss	Pa Hng (Tân Trịnh) [tone values]	Pa Hng (Tân Trịnh) [tone categories]	Page no.
son-in-law	ʔa³³vji³¹	ʔa1vji3	15
spirit	ŋʔ³¹kʷɤ³³	ŋʔ3kʷɤ1	15
splash, to (water)	to⁵⁵	to5	15
stalk	kĩʔ³¹	kĩʔ3	15
star	ʔa³³kɔ̃³³	ʔa1kɔ̃1	15
stomach	ko⁵⁵tɕĩ³³	ko5tɕĩ1	15
stone	ʔa³³jo³³	ʔa1jo1	15
street	tɤ³³koʔ³¹	tɤ1koʔ3	15
strength	ʝa²⁴	ʝa6	15
stumble, to	pʰɛ̃⁵⁵	pʰɛ̃5	15
suck, to	ȵdʑɯ³³	ȵdʑɯ1/2	15
sun	ʔa³³nɣẽ³³	ʔa1nɣẽ1	15
swell, to	ʔũ⁵⁵	ʔũ5	15
swim, to	pah³³	pah1/2	15
Ta-pan Yao (大板瑶)	pẽ²⁴pẽh³¹	pẽ6pẽh3	15
tail	tɤ³³tɤʔ³¹	tɤ1tɤʔ3	15
taro	ʔa³³vɔh²⁴	ʔa1vɔh6	15
tell, to	kɔʔ³¹	kɔʔ3	15
ten	kɯh³¹	kɯh8	15
thatch grass	ka³³ŋɛ³³	ka1ŋɛ1	15
thick	te³³	te1	15
this	ʔŋ³¹	ʔŋ1	15
thorn	tɤ³³ȵiʔ³¹	tɤ1ȵiʔ3	15
thousand	sɛ̃⁵⁵	sɛ̃5	15
thread	mbɔʔ³¹	mbɔʔ3	15
thread	mboʔ³¹	mboʔ3	15
thunder	tɤ²⁴mbo³³	tɤ6mbo2	15
tick, (dog’s)	ʔŋ³³ȴɔ̃ʔ⁵²	ʔŋ1ȴɔ̃ʔ7	15
tiger	ŋgɛ³³po⁵⁵	ŋgɛ2po5	15
to close (the door)	kʰʷɛ̃⁵⁵(tɕɔ̃h³³)	kʰʷɛ̃5(tɕɔ̃h2)	16
to light, (a fire)	tɕɔ̃h³³tɤh³¹	tɕɔ̃h2tɤh4	16
to sow, broadcast	pjɤ³³	pjɤ1	16
tongue	tɤ³³mbɤh³¹	tɤ1mbɤh4	16
tooth	m̥ẽʔ³¹	m̥ẽʔ3	16
top of mountain (顶)	ʔa³³tẽʔ³¹tõ³³	ʔa1tẽʔ3tõ1	16
tree	ʔa³³pah³³	ʔa1pah2	16
trousers	ʔa³³kʰɔʔ³¹	ʔa1kʰɔʔ3	16
tuber	nde³³	nde1	16
turpid (of water)	ʔõ³³ȵɔʔ³¹	ʔõ1ȵɔʔ3	16
turtle	ta³³ŋgo³³	ta1ŋgo1	16
urine	ʔɔ̃³³ŋɢweh³¹	ʔɔ̃1ŋɢweh4	16
vat, laundry	pa³³	pa1	16
vegetable	vi³³	vi1	16
