English gloss	Part of speech	Guiqiong	Chinese loanword
hastily	adv.	bɐ̃bɐ̃dz’ɐndz’ɐn	
hat	n.	’mɐu	cf. Chinese mào 帽
haughty	adj.	mɐndʐĩdʐiɲi	
have a daze	v.	wɐn’jɐn suɐnmu	
have a fever	v.	pʰu	
have a headache	v.	wɐn’jɐnʨʰimu	
have a heart attack	v.	dɐŋ’jɐŋʨʰi	
have a rest	vpinfl.	gɐjisɐŋdi	
have a snowball fight	v.	kʰu’wugəu’mɐtsʰɐi’wu	
have a sore throat	v.	ŋuɐ; sɐŋŋuɐ	
have a stomach ache	v.	pɐʨʰi	
have a stuffy nose	adj.	d’ɐŋ	
have a stuffy nose	v.	nyɔgũd’ɐŋ	
have a think	v.	jĩdɛigidi	
have breath	v.	wuŋɐnjɐn	
have decayed teeth	vpr.	χuiβuʐunɐŋgo	
have fallen asleep	v.	wũʥytsʰu	
have fun	v.	gulubɛi; guʐubɛi	
have loose bowels	v.	pɐɕi	
have nerve-wracking problems	v.	zə̃guʨʰi	
have nocturnal emission	vpr.	wuməŋgəuʁɐ̃tʂʰuɛ	
have one’s hair cut	v.	wɐn’jɐng’uɐi	
have retention of food in the stomach	v.	dɐŋ’jɐŋguʥ’iu	
have sex	v.	bubutsʰɛ; bubutsʰɐi	
have signs of life	v.	wuŋɐnjɐn	
have something done	v. vpr.	bɛitsʰuku	
have temple ache	v.	zə̃guʨʰi	
have the time to do something	v.	ʂɔ	
have thrown up	vpinfl.	ʁ’ɐmu	
haven’t expected	vpr.	dɛigilumɛ̃’wu	
having a large family with many children	adj.	mũmindəɖəu	
having an honest character	adj.	sɐnnitʂʰiʂu	
having some signs of disaster, ominous	vpr. adj.	bəʨʰiɛʨijɐn	
he	pron.	zo	
head	n.	wɐn’jɐn	
backside of head	n.	ŋu’lɔ; wu’lɔ	
head of a field	n.	tʂʰɛikiɛ	
head towel	n.	pɐʐɛi	
headman (lower than chieftain, who in charge of 4-5 headmen)	n.	tʂʰulu; tʂʰuʐu	
health	n.	libu	
hear the voice	v.	sɐʨiɐ	
hear	v.	ʨiɐ	
hearsay	v.	tsi	
heart	n.	dɐŋ’jɐŋ; kʰo	
heat (v.)	v.	tə	
heat	v.	pɐŋ; pɔ̃	
hedgehog	n.	wuitsi; dziwui	cf. Chinese Cìwèi 刺猬; Wèizi 猬子
heighten	v.	tʰutʰəuku	
help each other	v.	ʐɔʐɔbɛi	
help	n. v.	ʐɔ’wu; ʐɔ	
helper	n.	ʐɔ’wu	
helpless, at the end of one’s rope	adv.	lumɛ̃sɐŋ	
hemlock	n.	tʰɐŋ’nɐ	
her, his	pron.	zomɛ	
herb medicine	n.	bɔ’mɛ	
Houttuynia herb	n.	niɔtʂʰɐbɔ	
here	adv.	də; dəkɐn, dəkɛ̃; dələ; dɛiniɛ	
hide in different places	v.	nɐnɐgigibɛi	
hide	n.	nɐ; nɐgi; pɛ	
hide up	v.	jipɛ; wunɐ	
high adj.	v.	tʰəu; ʈhəu	
highly intelligent, with green fingers	adj.	’lədzɐŋpʰu	
hillside	n.	bəlibətɐ	
Hindus	n.	ʥiɔgəmũ	
his	pron.	zomɛ	
hit the target	v.	ʐ’u	
hit, beat, strike	v.	ʨʰiɔ	
hoe	n.	wui	
hold (baby)	v.	ʂuɐŋ	
hold (objects) in the arms	v.	ɕiɐn	
hold a wedding ceremony	v.	ɕiɔʨʰiɐŋbɛi	
hold, contain	v.	tʂʰuɐŋ	
hold with two hands	v.	koɳipʰɐnɐŋjĩŋuɐ	
hole	n.	bətuŋ; dʐɐbɔ; kʰɔkʰɔ; tuŋpu	
holiday	n.	diŋʨʰiɐn	
hollow (of kernels)	adj.	mɐ’wɐŋ	
hollow	adj.	bətuŋtsɛ	
hollow, empty, zero	n.	tuŋpu	
home	n.	ʥ’iɐnmɛ	
honest	adj.	ʁ’ɔlubu	
honest	adj.	ʂu	
honey	n.	wui	
hoof (ox, horse, yak)	n.	dʐitu	
horizontal thwartwise	adj.	gɐŋgɐŋ	
horn	n.	’mɐnu; ’wui	
horse (lit.)	n.	ʈə	
horse	n.	βu	
horse food	n.	βuz’ɛi	
horse-ride road	n.	βukʰuɐi’jimɛφuʨiɐ	
horseshit	n.	βu’nɐŋ	
hospital	n.	jijuɐn	cf. Chinese Yīyuàn 医院
hospital	n.	’mɛ̃kʰuɐŋ	
hospitality	n.	dɐibə; dʐuɐn; dʐuɐnbu	
host, hostess	n.	jɐŋdɐ	
hot	adj.	bɐŋ; bɐŋʐɐtsɛi	
hot and spicy like wine or chili pepper	adj.	ɕiu	
hot days	n.	dɐnkʰu	
hot things	n.	ɕiu’wu	
hot water	n.	tʂipʰu	
hotel inn	n.	’lipukʰuɐŋ	
house	n.	ʥ’iɐŋ	
a house	npr.	ʥ’iɐŋdɐʨiɐ	
back of the house	adv.	ʥ’iɐŋŋɐ’li	
housekeeping	n.	dɐnɕiu	
housewife	n.	ʥ’iɐŋnɐmũ	
housework	n.	dɐnɕiu	
how	adv.	ɛ’li’wu; gɐŋ	
how many, how much	adv.	dʐ’i	
however	adv.	ɛ’lu	
human flesh	n.	mũɕi	
humpback	n.	ʐogɔʐɔ	
hunch	n.	sɐŋʐuŋ	
hundred, a hundred	num.	dʑiə	
a hundred million	num.	duŋtʂʰi	
a hundred thousand	num.	mɐŋ; mɐŋtsɛiʨiɐ	
a thousand	num.	tuŋtsʰuʥiɐŋ	
hungry	adj.	pʰɔɲyŋ	
hunter	n.	ŋuɐnpu	
hunting dog	n.	ŋuɐntʂʰi	
husband	n.	jɐʥ’y	
hwamei, Garrulax canorus	n.	z’iliko	
I	pron.	ŋə	
ice	n.	pɐɲi	
idiot	n.	ɖɐtsʰɔ	
idle	v.	suɐn	
idle away	v.	gulubɛi’wu; gulubɛi; guʐubɛi	
idler	n.	gulubɛi’wu; tʂʰiʨʰiupʰɔ’wu	
if	conj.	jɐgi; lə; ləli	
ignite the firewood	vpr.	sɐn’lɔku	
immediately	adv.	ʥiɐŋzu	
immortals	n.	sɐŋʥi	
imperative ending of hɛ ‘come’		-’wɛ	
(impolite) hello	int.	’wɛ	
important	adj.	ʥiɐn	
imprint	v.	dʐəu	
improve	v.	wugɛku	
imprudent	adj.	dʐuɐnɕiɐntsəmɛ̃	
in a good manner	adv.	gɛgɛtsɛi	
in a waist-bending position	adv.	bəbətsɛi	
in a while	adv.	dɐʂɔtsɛi	
in front of the house	adv.	mɛiʨʰiɔ	
in good faith	adj.	ʁ’ɔlubu	
in good order	adj.	dʐɛidʐɛi	
inside	n.	ɕiugu	
in the ear	n.	nɔgu	
in the evening	adv.	mɐŋɲi’wɐtsʰɐi	
in the front	adv.	ʂikɐniɛ	
in the future	adv.	’ji’ji	
in the heart	npr.	səŋsɐŋmu	
in the middle	adv.	ʐuŋgəu	
in the opposite	adv.	ʂɔmuniɛ; ʂumuɲiɔniɛ	
in the sky	adv.	bənɐŋ	
inappropriate things	n.	mɛdʐi’wumɛligə	
inauspicious	adj.	dzɐŋmɛ	
incense burning	n.	ʂɔpɐŋ	
incisor	n.	tuŋχui	
incomplete	adj.	mɐ̃ɬɐŋ	
increase	v.	kʰɐn; g’ɐn	
indeed	conj.	lɛdʐi	
India	n.	ʥiɔgə	
indistinct	adj.	ʥ’ilimɛ̃; ʨʰilimɛ̃	
infect	v.	ʥiʥibɛi	
inject	v.	’mɛdɐgu	
inner heart	n. adv.	sɐŋmugu	
innermost of the underground floor of a Guìqióng building	n.	pʰɐʂu	
ins and outs	n.	dʐolu	
innocent	n.	kʰymɛ’wu	
insect	n.	βuʐu	
inside	n.	ɕiugu	
insight	n.	dʐə̃tʰəuʐə̃tʰəu	
instep	n.	ŋəʥiə	
instruments	n.	ʨiɐʂi	
insufficient	adj.	məgə; niɐn	
insufficient in weight (of entity)	adj.	kuɐnməgə	
insufficient to eat	adj.	goməgə	
insult	n.	niɐŋtsʰɐi	
integrated	adj.	ʂu	
intelligent	adj.	dʐɐ; dʐuɐnɕiɐnjɐn	
interest	n.	ʨikʰəu	
interlock	v.	wutʂʰɔtʂʰɔ	
intricate	adj.	dʐəmindʐə	
iron	n.	ʂɐŋ	
iron or steel chain	n.	ʂɐŋdʐuɐn	
the tripod props with an iron circle beneath a wok	n.	sɐntʂuɐŋ	
strike iron	v.	sɐŋʨʰiuŋ; sɐŋʥ’iuŋ	
irrigate	v.	tʂiɬɐŋ	
irritable	adj.	səŋɖɐ	
Istanbul	name.	jɐnbu	
it is late for sth.	pder.	məʂɔsɐŋ	
it is my pleasure (used to reply to people’s thanks)	vpr.	ʐuɐnmɛ̃	
it	pron.	zo	
itch	v.	dzi	
its	pron.	zomɛ	
jak	n.	’jɐ	
janitor	n.	ʥ’iɐŋʥiɔ; ʥ’iɐŋsuŋ	
January 15	n.	dɐŋbusɛi’ŋɐ	
January	n.	dɐŋbu	
January	n.	dɐŋbu’li	
jar	n.	mɐŋ35	
jaw	n.	nɐnki	
Jiă Líng 甲铃, a wind instrument	n.	lhɐŋ	
Jiāróng girls	npr.	ʐu’mɛimɛdz’imɛiɲiɐ	
jīn	n.clfr.	kuɐn	cf. Chinese jīn 斤
Jīntāng 金汤	name.	tʰɐŋmu	
join the army	v.	’mɐmibɛi	
joint	n.	tsʰo	
joint	n.	tsʰotsɛi	
joke	v.	guʐuɕiɛ	
July	n.	dɐnbu	
jump	v.	dʐuɐi; dʐuɐidʐuɐibɛi	
jump from the tree	v.	sɐnpunimidʐuɐi	
June	n.	dʐubu	
just a bit	adv.	gɔsulə	
just	adv.	dzə	
just now	adj.	’mɛtɔ; ’mɛ’lɛtsikiɐn; dɐjɐ	
jute	n.	kʰuʂi	
Kāngdìng	name.	ɖo	
keck	v.	ʁ’ɐbubumu	
keep (an animal)	v.	ʑi	
keep company	vpr.	nyɐŋ’ mɔhɛ	
kerosene	n.	mɛijo	cf. Chinese Méiyóu 煤油
kettle	n.	ʥ’iɐhu; tʰuŋguɐn	
kick	v.	ʨiɔdi	
kidney beans	n.	ʨiɐŋtəu; kɐnkɐntəu	cf. Chinese Jiāngdòu 豇豆
kidney	n.	kʰimu	
kill	v.	sɛ;sɐi	
kind-hearted	adj.	kʰogɛ; sɐntʂʰigɛ’wu	
kindling material	n.	mintʂʰu	
kindness	n.	dɐibə; dʐuɐn; dʐuɐnbu	
kitchen knife	n.	tsʰɐitsɛi	
kitchen	n.	z’ ɛibɛi’wukɐn	
kite	n.	muhikʰu’lu	
knee	n.	bo’mu	
kneel down	vpr.	bo’mu mitsu	
knife	n.	ʦhɐi	
knit	v.	tʰɐ̃	
knock down by striking	vpr.	dɐ̃lɛwu’lɔ	
knot	n.	kuɐtɐ	cf. Chinese gēda 疙瘩
know	v.	’mɐsi; si	
knuckle	n.	tsʰo; tsʰotsɛi	
kowtow	v.	kʰiɐbɛi	
labour	n.	ligə	
ladle made from dried gourd	n.	tʂʰɔ	
lake	n.	tsʰo	
lama	n.	’lomu	
lamb	n.	tɕʰitsɛi	
lame	adj.	kuɐ’jɛ	
lamp	n.	tə̃ʨiɐ	
land around the house	n.	gɔli; gɔʐɛi	
land in the valley near water	n.	tʂʰidzo	
land	n.	ʥiɐ̃	
landlord	n.	sɐdɐ	
landslide	v.	dʐɐʨʰiɛ	
language	n.	kɛʨʰiɛ	
lantern	n.	təŋluŋ	
lard	n.	pʰɐdʑ’iu’wu	
lard obtained from the soft caul fat	n.	lhɐlhɐsi	
lard rendered from fatback	n.	ɕipʰɐ	
large in diameter	adj.	niɛ	
lash	v.	ʂuɐi	cf. Chinese Shuǎi 甩
last night	n. adv.	siʐɐŋmɐŋgɛitsɛi	
last night	npr. adv.	ʨʰiɐŋ’numɐŋɲitsɛi	
last year	adv.	mɐŋ’ɳɛ	
late	adj. adv.	dɐŋ	
late afternoon, late in the evening, in the afternoon	adv.	tʂʰəŋtʂəugɔtsɛi; tʂʰə̃tʂəugutsɛi	
later	adv.	’ji’ji	
latrine	n.	ʨiɐkʰuɐŋ	
laudable	adj.	dzɐn	
laugh	v.	ʁi	
laugh and laugh	v.	ʁiʁibɛi	
lavatory	n.	mɔsu	
law	n.	kətʂʰi	
lay across	v.	ɬɐŋ	
lay aside	v.	wuʨʰiudi	
lay between two objects	v.	ɬɐŋ	
lay	v.	tɕʰy	
lazy	adj.	lhɐ̃	
lazy people	n.	lhɐ̃’wũ	
leach	v.	tʂʰɐ	
lead (metal)	n.	silhɐ	
lead a leisurely life	v.	zibuɕiɔ	
lead	v.	ʂi	
leaf lard	n.	tsʰidʐəu	
leafy, shady places	n.	ʁoʁotsɛipʰə	
leak	v.	yo	
lean against	v.	guigɔtɐn	
lean meat	n.	ɕiu’mu	
learn from books	v.	dʑ’itsɐn	
learn	v.	tsɐn	
having learnt to distinguish one taste from another (of infant)	adj.	guɳyjɐn	
leather clothing	n.	pʰiŋə	
leather	n.	pɐpɐ	
leather shoes	npr.	pɐpɐdʐi	
leather smith	n.	gũkʰɐn	
leave a print	v.	dʐəu	
leave	v.	bɐ	
lecture	v.	didziʥiɔ	
leech	n.	mɐχɐŋ	cf. Chinese mǎhuáng 蚂蟥
left side	n.	wuilhɐ	
leftovers	n.	dzəɬɐ	
leg wrappings	n.	duŋbɛ	
leisurely	v.	zibuɕiɔ	
lend money for interest	v.	dʐĩdʐĩɬɐŋ	
lend money	v.	dzɔ’ni	
lend	v.	wu’ni	
lend, rent, borrow, loan	v.	’ni	
leopard	n.	zi’nɐ	
leper	n.	lɐitsi	cf. Chinese Làizi 癞子
Lèshù 勒树 the village	name.	lɛiʂu	
less	adv.	niɐnniɐntsɛi	
lessen	vpinfl.	dɐmiɳiɐn	
lessen	vpinfl.	dɐniɐn	
lessor	n.	ʐɐntʂubɛi’wu	
let out (of fume)	v.	ɕiu	
let somebody come	v.	wuhɛku	
let	v.	ku	
letter	n.	dɐndə; dɐŋdə	
leucorrhoea	n.	ʁɐn	
Lhasa	n.	ɬəsə	
Liǎng 两 an ancient Chinese measurement units of weight, 16 Liǎng make a Jīn 斤	n. clfr.	lhɐŋ	
liar	n.	dzɐŋbɛi’wu	
lick	v.	lhɐ	
lid	n.	kʰəkʰə	
lie down	v.	ju; miju	
lie on one’s back	v.	gigiju	
lie on the side	v.	gɐŋgɐŋkʰutsɛiju	
lie prone	vpr.	bəbəju	
lie, tell lies, liar	v. n.	dzɐŋbɛi’wu	
life	n.	sɔ	
lifetime, life	n.	tsʰɛitʰɔ	
a lifetime	n.	mintsʰɛiʨiɐŋ; mintsʰuiʨiɐŋ	
light a cigarette	v.	dz’ɐnχɐntsɔ	
light	adj.	jɐŋ	
light	n.	sɐŋʨʰyɛ	
light (weight)	adj.	jɐŋtsɐitsɛi	
lightning	n.	mɐŋɬə’wu; mɐŋɬə	
like that	adv.	jiki’wu	
like this	adv.	du’wu	
like	v.	tʂʰɐgi	
lion	n.	si’ɲi	
listen to	v.	tsi	
Lǐtáng 理塘	n.	litʰɐŋ	
little crow	n.	gɐ’litsɛitsɛi	
little chicken, little ducks, little geese	n.	nɐtsɛi	
little horse	n.	βutsɛi	
little jug	n.	mɐŋtsɛi	
little magpie	n.	gɐsɐtsɛitsɛi	
little mouse	n.	tsʰuitsʰuitsɛi	
little pron.	adj.	niɐn’wu	
a little	adj. adv.	dɛʨi	
little tree	n.	sɐnpu ’ɐn’ɐntsɛi	
live	v.	nɐŋ	
liver	n.	pʰu’wu	
livestock including donkey, mule, horse, goat, sheep, pig, excluding dog and chicken, farm animals	n.	sɔʨʰiɐ	
livestock	n.	sɔʨʰiɐɲiɐ	
living room	n.	ʥ’iɐnmɛ	
loaf on the job	v.	jɐnmubɛi’wu	
loafer	n.	tʂʰiʨʰiupʰɔ’wu	
location	n.	ʨʰyoʐitsʰɐŋʨiɛ	
location	pron.	niɛ	
long	adj.	χĩ; χin	
look	v.	dʑiɔ	
look about for	v.	luʂulubɔ	
look after	v.	ɳiɐnʥiɔ; ʁ’ɐ	
look around	v.	wuludi	
look down	vpr.	wɐn’jɐnmiŋui; tʂʰibɛiʥiɔ	
look for	v.	lu	
look sideways	v.	wujujutsɛibɛilɛʥiɔ	
look up	vpr.	wɐn’jɐntʰupɐ; wɐn’jɐnwũŋɐ	
loop around the neck of draught animals	n.	’jɐnguɐn	
loop of a cow rope	n.	ə’lũ	
loop or arch (fingerprint)	n.	ʐi	
loose	adj.	ɬoɬotsɛi	
loosely	adv.	ɬoɬotsɛi	
loosen	v.	g’uə	
lose (battle, contest etc.)	v.	b’ɐŋ	
lose a battle	v.	’mɐlɛmɐkɔ	
lose one’s voice	v.	ŋuɐ; sɐŋŋuɐ	
loud noise	n.	ɐʐiʐi	
louse	n.	ʂi	
love	v.	tʂʰɐgi	
low	adj.	’mu	
lower	v.	mi’mu; mi’muku; ŋui; dɐŋui; dɐmiŋui	
Lúchéng 炉城	name.	ʨʰiɐnɐŋpʰɐ	
lucky	adj.	lɛgɛ	
Lúdìng 泸定	name.	ʥiɐzɐŋkʰə; ʥiɐzɐŋkʰə	
Lúhuò 炉霍	name.	dʐɐnku	
lunatic	n.	βɔpʰu	
lunch	n.	tsɐŋ	
lung	n.	lo’wu	
lush	adj.	ɖəu	
mad money	n.	z’ə	
maggot arises	vpr.	βuʐubɛi	
magpie	n.	gɐsɐ	
magpie	n.	guɐsɐ; gɐsɐ	
Màibēng 麦崩 the village	name.	mɛbu; mɐibu	
maize flour	n.	yu’mɛpʰɛ	
major bone	n.	guituŋ	
make a fortune	v.	dzɔlu	
make a great effort to do something	v.	gudʐubɛi	
make a lot of loud noise	v.	wuʐuʐu	
make charcoal	v.	g’ɐmɐ pɐŋ	
make dirty	v.	ɳɛku	
make fire	v.	kʰuɐn	
make noise	v.	wuʁɐku	
make room for	v.	dɐwutʰəŋ	
make topical application of drug	v.	’mɛmisi	
make topical application of medicine	v.	misisi	
make	v.	bɛi	
make, let, cause	v.	ku	
making one’s mouth water	adj.	kʰətʂʰinətʂʰi	
male	adj.	pi	
male ancestors	n.	səjidɐpu	
male dog	n.	kʰupi	
man, people, human	n.	mũ	
manage to do	v.	bɛikud’ɐn	
mane	n.	dzi’luŋ	
manure	n.	ʁ’ɐn	
many	adj.	pron ’mɛi’wu	
March	n.	sɐŋbu	
Marmota himalayensis	n.	ɕuɛtʂutsi	cf. Chinese Xuězhūzi 雪猪子
mass	n.	min’mɐŋ	
a whole piece or chunk	n.	dɐʨʰiɐ	
matrimony vine (Lycium barbarum)	n.	kəutijɐ	cf. Chinese gǒuqǐzi 枸杞子
May	n.	’ŋəbu	
measles	n.	tʂʰitɐb’ɛb’ɛtsi	
meat	n.	ɕi	
a whole piece of bacon with the size about half a pig	n.	ɕikʰɐ	
meat of goat	n.	ʨʰiɕi	
meat of sheep	n.	ʨʰiɐŋɕi	
medicine	n.	’mɛ	
medicinal liquor	n.	’mɛ̃ɐʐɐ	
medicine-giver	n.	’mɛ̃kʰɐŋ’wu	
mediocre	adj. npr.	bə’litsɛi	
meet	v.	dɔ	
meet with, appoint with	v.	dɔdɔbɛi	
melt	v.	gu	
men	n.	tsɛiɲ’iɐ	
mend by sewing	vpinfl.	dɐjikʰui	
mend in the wall	vpr.	tsipəpɐʨiɐ	
mend one’s dress	vpr.	dz’ɛwɛdɐjisɛitɐ	
mend	v.	ʨiɐ	
mend	vpr.	pɐʨiɛʨiɐ	
mend, repair (dress, shoes etc.)	vpinfl.	dɐjisɛitɐ	
menstruate	v.	libuɳɛ	
mess	n.	tsʰələ’mələ	
messenger	n.	gɛitsʰə	
messy	adj.	tsʰɔbɛitsʰɔʐɔ	
metamorphose	v.	ʥiu	
mid-air	adv.	bənɐŋ	
middle	n.	ʐuŋ	
middle finger	n.	ʐuŋguny	
middle of the road	n.	gɛti	
middle-sized river	n.	niɐntʂi	
midnight	n.	tsʰɛʐuŋ	
midway	n. adv.	dɐdɐŋʐɐŋ	
midwife	n.	bɔ’jɔbɛi’wu	
mighty person	n.	kʰɐnmu; kʰɐŋβu; kʰɐnbu	
mild	adj.	ʥiɐŋmɛijɐŋtsɛi	
mildly	adj.	ʥiɐŋmɛijɐŋtsɛi	
mileage	n.	lhi’wu	
milk	n.	’ɳi’ɳi	
mill	n.	dʐi	
milled glutinous broomcorn millet	n.	ɳi’mi	
millenium, a thousand years	npr.	lotuŋtsʰuʥiɐŋ	
millet	n.	tʂitsɛi	
million	num.	ʨi’wuo	
millstone	n.	dʐi	
mince	v.	dzə	
mirror	n.	min’nu; pɐŋli	
miserly	adj.	z’əʨiɐ	
misgivings	n.	dulu; ʑosi	
miss	v.	’nikɐʨʰi	
missive	n.	dɐndə; dɐŋdə	
mistake	v. n.	dʐu	
mix	v.	kʰuitʂʰɐ; tsʰə	
molar	n.	jɐχui	
mole	n.	ŋɐtsi	
momentaneous aspect marker		-di	
moments	n.	ʐɐ	
money	n.	dzɔ	
Mongolian	name.	sɔpumũ	
monkey (lit.)	n.	tʂɛi	
monkey	n.	ɲiɔ	
monster	n.	tʂʰisidʐɐsi	
monstrous	adj.	b’uʥiɐŋʥiɐŋ	
month	n:qual.	də’wə	
monthly rose	n.	dɐŋʨʰymintɔ	
moon	n.	lɛi’mɐŋ	
morning glory	n.	’mɐnumintɔ	
more	adv.	tukutsi	
morning	n.	ʑiɛtsɛi	
in the morning	adv.	ʑiɛtsɛi	
mortar	n.	g’ɔpu; ʨiɐŋtʰuŋ	
Moschus moschiferus (Siberian musk deer)	n.	dʐugulu	
mosquito	n.	βusi	
moss	n.	dʐɐbu	
moth	n.	g’əɬəhɐŋko; kʰəɬə	
mother	adj.	’ɳi	
motionlessly	adv.	tʂʰotʂʰomətʂʰotʂʰolɛ	
mountain	n.	ʐi	
at the foot of the mountain	adv.	ʐiχɔpɛi	
back of a mountain	n.	ʐiŋɐli	
mountain side	n.	ʐĩkɛi	
mouse (lit.)	n.	ʥiuwuə	
mouse	n.	tsʰui	
little mouse	n.	tsʰuitsʰuitsɛi	
mouth	n.	kʰɐpɐ; nyŋbu; ɲyŋpu	
move by squatting down	v.	ɐgogo	
move	v.	bu; ʂuɐi; tʂʰotʂʰomu; wutʂʰotʂʰo	
much	adj.	pron ’mɛi’wu; ’mɛi	
mud	npr.	’ɳɔpɐtʰɐŋtʰɐŋ	
mud brick	n.	topɐɳyɐŋ	
muddy	adj.	tʰɐŋtʰɐŋ; tʰɐŋtʰɐŋtsɛi	
muddily	adv.	tʰɐŋtʰɐŋ; tʰɐŋtʰɐŋtsɛi	
muddy water	adj.	tʂitʰɐŋtʰɐŋ	
Mùyǎ person	name.	min’jɐmũ	
mule	n.	lhuotsi	cf. Chinese Luózi 骡子
mung bean	n.	ʥiubutsɛi	
muntjac	n.	nɐ’wuŋ; nɐ’wũ	
mushroom	n.	zutsɛi; ʑ’iɔmu	
a kind of mushroom	npr.	ʑ’iɔmudɐʐɐŋ	
a mushroom	npr.	ʑ’iɔmudɐ’niɐ	
musk	n.	lhudzi	
Muslim	n.	pʰɐɕiməgo’wu	
mutually intelligible	adj.	hu	
name	n.	’miŋtsʰɔ	
narrow	adj.	dɔ; dɔdʐitsɛi	
narrowly	adv.	dɔdʐitsɛi	
nasal mucus	n.	’ɲiə	
nature	n.	kʰo	
navel	n.	pʰɐhɐ	
nearby	adv.	nɐŋpʰɐ	
nearly	adv.	dɐwuχui	
neck	n.	’jɐn	
necklace	n.	dʐɔ’wu	
need	v.	ʥiɐn	
needle	n.	kʰə	
needle and thread	n.	kʰəʂi	
negative existential verb		mɛ̃	
negative prefix		mɐ	
negative prefix		mə	
negative prefix		mɛ	
niece	n.	tsʰəmu	
neighbour	n.	ʥ’iɐŋtsɛi	
the neighbouring house	n.	ʥ’iɐŋtsɛigəu	
neither hot nor cold	adj.	bɐŋmɐbɐŋkʰuɐŋmɐkʰuɐŋ	
Nepalese	npr.	pɐ’jimũ	
nephew	n.	tsʰə’wu	
nest	n.	hɐŋko	
nestle up to	v.	ʨiɐ	
new	adj.	subu	
next month	adv.	’ji’ji’li	
next year	adv.	nihi	
nice people, nice things	n.	gɛ’wu	
night	n.	si’lu	
dark nights	n.	nigɔʐɔmɛmɐŋgɛitsɛi	
at night	adj.	mɐŋɲilɛ	
nine hundred	num.	gɛidʑiə	
nine	n.	giu	
nine thousand	num.	tuŋtsʰuguiʥiɐŋ	
nine Yuán	num.	guipɐ	
nineteen	num.	dʑiugɛi	
nineteenth day of a month	num.	giugɛi	
ninety	num.	gɛitʂi	
ninety-eight	num.	gɛitʂizədʑiɛ	
ninety-five	num.	gɛitʂizə’ŋə	
ninety-four	num.	gɛitʂizəʐi	
ninety-nine	num.	gɛitʂizəgɛi	
ninety-one	num.	gɛitʂizɐdzi	
ninety-seven	num.	gɛitʂizədɐn	
ninety-six	num.	gɛitʂizədʐu	
ninety-three	num.	gɛitʂizəsɐŋ	
ninety-two	num.	gɛitʂizɐɳi	
ninth day of a month	num.	guidʐuɐŋ	
Nippon Hawthorn Fruit	n.	pɐŋtɐŋsi	
nit	n.	’oɐ	
nonsensical	adj.	b’uʥiɐŋʥiɐŋ	
noodle	n.	pɛitɐ	
north	n.	ʥiɐŋ; ʥiɐŋtsʰikʰɐŋ	
the north side of the mountain	n.	dʐilɔ	
the north side or direction	n.	ʥiɐŋniɛ	
nose	n.	nyɔgu; niɔgu	
nostril	n.	dʐɐbɔ	
not clear at all	adj.	ʨʰilidɛʨimɛ̃	
not only	conj.	mɛtsʰɛ	
note money	n.	ʂo’wu	
a 100-Yuán note	npr.	ʂo’wuʥiə	
a 50-Yuán note	n.	ʂo’wuŋətʂi	
notebook	n.	pɛntsi	cf. Chinese běnzi 本子
Notopterygium root	n.	ʥ’iɐnχɐŋ (compare tʰe Chinese loan Qiānghuó 羌活)	
November	n.	sɐntʂi	
now	adv.	’mɛ’lɛ	
nuisance	n.	niɐŋdʐɔdʐɔ	
numb	adj.	dziʐidə; βuʐidə	
o’clock	npr.	tʂʰitsʰəukʰulu	
oats	n.	pʰɛi’wu	
obedient	adj.	nyŋbudʐi	
obey	v.	dʐitsi	
object, stuff	n. pron.	dɐn; kʰɐ’wu; bəʐi; bɛi’libəʐi	
objects within the same category	n.	dɐtɕiɐ’wu	
oblique nominaliser		-’ji	
obsession	n.	ŋɐnɬə; ʑɐnɬə	
occur	v.	bɐ; ʥ’y	
ocean	n.	ʥiɐŋtsʰo	
October	n.	tʂibu	
offense	n.	niɐŋtsʰɐi	
officer	n.	pɐ̃	
offspring	n.	buʐi	
offspring of a common ancestor	n.	tsʰə; butsʰə	
often	adv.	niɐŋtsi; ʨʰiɐŋsi	
oil lamp	n.	ʥ’ymɛi; ʥ’ymi	
oily	adj.	ʨiɐ	
OK	adj.	dʐuɐŋ	
old (said of age)	adj.	lodɐ; ləji	
old	adj.	lobɐ	
old	adj.	ŋɐnbu	
old man	n.	gɐipu; gɛpu	
old people	n.	gɐnsɐŋ; ləji’wu	
old woman	n.	gɐi’mu; gɛmu	
on the left	adv.	wuilhɐpʰɐ	
on the opposite site from which the wind blows	adv.	ʂɔmuniɛ; ʂumuɲiɔniɛ	
on the right hand	n. adv.	dʐuɐŋlhɐ; dʐuɐŋlhɐpʰɐ	
once	n. adv. n:qual.	dɐpʰɔ; dɛtʰɐn; dɛtʰɛ̃	
one child, only child	npr.	ɛ’lɛtsɛidɛpɛi	
one fifth	num.	’ŋɐnʂɔgəudɐʂɔ	
one fourth	num.	ziʂɔgəudɐʂɔ	
one	n.	dzi; dɛ ~ dɐ ~ də	
one third	num.	sɐŋʂɔtsidɐʂɔ	
one Yuán (of Chinese currency)	n.	dɐpɐ	
only	adv.	dzə; lɛdʐi	
ooze	v.	’jũ; tʂʰuɐi; tʂʰuɛ	
open	adj.	tʰɐn	
open	v.	ki; pʰɛ	
open country, wild, outdoors	n. adj. adv.	nɐŋgəu	
open market	n.	kʰiɐ; kʰiɐʐə	
