English gloss	Part of speech	Guiqiong	Chinese loanword
bury	v.	min’nu	
business	n.	dɐnɖɐ	
businessman	n.	tsʰuŋbɛi’wu	
bustle about	v.	kʰiɐkʰiɐku	
busy	adj.	bɐ̃	
but	conj.	dɛigɐŋ	
butler	n.	gɛigu	
butt	v.	gɛigɛitsʰɐi	
butter	n.	mi	
butter lamp	n.	ʥ’ymɛi; ʥ’ymi	
butter tea	n.	minʥ’iu	
butter tea barrel	n.	ʥiɐŋtʰuŋ	
butterfly	n.	kʰəɬə	
buttocks	n.	bɔbɔ, bəbə	
button	n.	dʐə’wu	
button hole	n.	dʐəpɐn	
buy	v.	’ɲyɐŋ	
buyer	n.	dzɔ’ɲiɐŋ’wu	
by all means	adv.	ɛ’li’wubɛibɛi	
by oneself	adv.	dɛpɛitsɛi	
by the way	adv.	ʂɔjo	
cactus	n.	silhɐlhɐbə	
calf	n.	mɐŋpɐ	
calf, small ox	n.	nĩtsɛi	
calf of the leg	n.	bu’luŋ	
call, yell	v.	sɐʨʰyɐn	
calm	adj.	ʥiɐŋmɛijɐŋtsɛi	
camp	n.	’jə	
can	v.	’ɲyɐŋ	
can’t go	pder.	jilumɛʨi	
can’t help laughing	v.	ʁisibubu	
cannon	n.	pʰɔ	cf. Chinese Pào 炮
cannot appreciate kindness, act, ungratefully	vpr.	dʐuɐnbumɐ’ɲyɐŋ	
careful	adj.	dzɐndʐu	
carefully	adv.	dɐntɔkulɛ; gɛgɛtsɛi	
careless	adj.	dʐilumɛ̃	
caress	v.	ʂiʂuɐi	
carpenter	n.	sɐngo’wu; ɕiɐntsu	
carry on the shoulder	v.	tʂʰɐkʰopɐ	
carry on the back	pder.	jibu	
case used to hold clothing	n.	dz’ɛwɛkʰuʂɐŋ	
case used to hold clothing	n.	dz’ɛwɛ hɐsɐŋ	
casserole	n.	ʂɐkuɐntsi	cf. Chinese 沙罐子 shāguànzi
cat	n.	ŋɐ’wũ; ŋɐŋ’wu	
catapult	n.	wutɔ	
catch a cold	vpr.	g’utsɛipʰɛpʰɛtsɛiʨʰimu	
catch	v.	χɔ	
catch up	v.	ʨiɐŋʨʰiɔ	
catch with hands	v.	ŋuɐ	
caterpillar	n.	βukɛi	
cattle keeper	n.	niʑi’wu	
cattle	n.	dʐo’jɐ	
cattle	n.	ni	
caul fat	n.	tsʰidʐəu	
causative marker		-ku	
cause and consequences	n.	ʂikɐŋɐ’li	
cause and effect	n.	dʐolu	
cause, source	n.	jiluhɛlu	
cave	n.	dʐɐbɔ	
cave	n.	kʰɔkʰɔ	
cecum	n.	pɐtu	
celebrate birthday	v.	səŋbɛi	
celebrate the Spring Festival	vpr.	lisɛibɛi	
celebrate	v.	bɛi	
centipede	n.	βudziʐɐ	
centre	n.	wui	
century, a hundred years	npr.	lodʑiə	
certainly	int.	o’jɐ	
chaff blower	n.	tʂɛi	
chaff	v.	si	
chang	n.	χɐn	
change back and forth	v.	tʂʰɐtʂʰɐʂutʂʰɐtʂʰɐbɔbɛi	
change	v.	tʂʰɐtʂʰɐ	
change, give change to	v.	tʂʰɐ	
chant	v.	’lo; χi	
chant words	vpr.	ʥ’iχi	
char	v.	g’ɐmɐ pɐŋ	
characteristics	n.	səŋ	
charcoal	n.	g’ɐmɐ	
chase	v.	χɔ	
chat	v.	dzɐŋɕiɛbɛi	
cheap	adj.	tsʰĩ	
cheap	adj.	tsʰĩ’wu	
cheap things	n.	tsʰĩ’wu	
cheek	n.	nɔtsʰo	
cheer on	v.	sɐnʨiɛ	
chef	n.	ʈhəŋki	
Chéngdū 成都	name.	tʂʰəŋdu	
chest	n.	’wɐŋʨiɐ	
chest or case used to hold clothing or grains	n.	kʰuʂɐŋ	
chew into fine particles	v.	migogo; midʐiku	
chicken (lit.)	n.	ʥiə	
chicken coop	n.	ʥiɔtɐŋ	
chicken egg	n.	nɐsi; nɐʂi	
an egg	npr.	nɐsidɐ’jɐŋ	
chicken keeper	n.	nɐʑi’wu	
chicken	n.	nɐ	
chieftain	n.	ʥiɔpu	
child	n.	buʐi; ɛ’lɛtsɛi; bəbuʐi	
a group of children	npr.	ɛ’lɛtsɛiɲiɐdəʨʰiɔ	
bad children	n.	niɛtʂʰu	cf. Chinese nièchù 孽畜
childish/childlike man	npr.	ɛ’lɛtsɛi’wudɛpɛi	
chilli pepper	n.	g’utsə	
chin	n.	nɐnki; nɛgi	
Chinese characters	n.	dʑ’i	
