salt	suruwa	surəja	suruwa	suɹe	suruwa	huŋ	hu	huŋ	huŋ	huŋ	hɨ̃	ha	ha
onion	mũak; tʃoŋ	dʒon	tʃoŋ	pjas; tʃoŋ	pias; tʃoŋ	tʃoŋ	tʃoŋ	–	moŋtʃi	maŋtʃhy	maʃiŋ	tʃoŋ	tʃoŋ
garlic	tʃuŋ	muaŋ	muaŋ	muaŋ	muaŋ	moŋsiŋ	moŋsiŋ	məsiŋ	moŋ; moŋtʃu	maŋtʃhy	maʃiŋ	ɾə̆ʃu	maŋ
red pepper	tʃalijau	tʃalau; tʃalem	tʃalijau	dʒalim	tʃalem	moŋ	moŋ	mu	moŋ	moŋ	moŋ	solu	solo
elephant	ɲijathoŋ	ɲijathoŋ	ɲijathoŋ	nathoŋ	ɲijathoŋ	stoŋ	stoŋ	susanthou	susant̪hoŋ	susan̪t̪hoŋ	susant̪hoŋ	lamputʃhe	satʃila
tiger	matʃuwa	mətʃua	matʃuwa	mətʃua	batʃaeŋ; matʃuwa	phõ	phuŋ	phuŋ	phuŋ	phuŋ	phuŋ	laptʃa	phujam
bear	stəm	stəm	stəm	stəm	sə̆thum	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	st̪uŋ	ʃijathum	sathom
deer	dətʃhai	dətʃhai	dətʃhai	dətʃhai	dətʃhai	ski	ski	ski	sə̆ki	sikiʔ	ski	dʒaʃiki	dʒaʃiki
monkey	stuŋ	stuŋ	stuŋ	stuŋ	ʃəduŋ	dʒuduŋ	dʒuduŋ	zuduŋ	zuduŋ	dʒutuŋ	dʒuduŋ	ʃedom	hiŋtʃaŋdakpu
rabbit	truk	kaɾgos	truk	kaɾgos	səli	stoptʃaŋkha	khoha	–	–	kaɾgos	–	–	–
snake	phau	pam	phau	pam	pam	bə̆tʃam	patʃam	pĕtʃam	pə̆tʃam	batʃham	batʃham	phŭlu	phŭlu
crocodile	khawai	khawai	khavoi	khawai	khawai	khodei	khodei	khuwa	–	–	khuwa	khudon	–
house lizard (gecko)	səkimatʃoŋ	səkimatʃoŋ	baphijaŋ	pharbuwaŋ	–	tʃamtʃi	tʃamtʃi	tʃikpaphi	–	–	–	dontʃiktʃikpa	–
turtle	otʃero	adʒero; otʃero	fudərai	hadʒira	adʒora	hudrik	hudrigambu	katʃu	kătʃːu	koiʔ	adʒiro	tʃadaŋ	duli
frog	rap	rak; rap	rak	rutʃua	ɹusua	paipu	ɾikə̆tu	ɾiktu	ɾĭtːu	ɾiktu	rutu	duŋdaʔ	duŋta
dog	tʃai	tʃoi	tʃi	tʃoi	tʃoi	betha	batha	pə̆the	pə̆the	bithɛ	batha	wathi	wathi
cat	ɲijam	ɲem	ɲem	ɲem	ɲem	ɲəmbi	ɲəmbi	namby	namby	namby	namby	jaŋmu	ɲaŋbu
cow	səuwa	suvəə	səbəvə	suvəə	ʃhua; suvəva	spu	spu	hu	hu	khu	ʃhu	ʃoi	ʃama
buffalo	ʃitʃik	sigik	sədʒik	ʃitʃik	sədʒik	zəge	zəge	dʒei	ze	ze	dʒei	bruŋ	bhuŋ
horn (of buffalo)	erijok	erijaŋ	erijaŋ	erijaŋ	erijaŋ	kheŋ	kheŋ	tʃaŋ	tʃeŋ	tʃeŋ	tʃaŋ	khiaŋ	kheŋ
tail	eɲoi	eɲoi	eɲoi	eɲoi	eɲoi	aɲa	aɲa	ane	ăne	ane	ana	nui	ɲuj
goat	spin	spin	spin	spin	spin	ze	zyi	ziŋ	zyi	dʒy	sətʃe	ʃeɾa	sala
pig	wok	ʋo	evoʔ	vok	vok	swaʔ	swaʔ	swaʔ	sŭwaʔ; suwak	suwak	suwak	ʃiabaʔ	ʃaba
rat	thuŋ	thuŋ	thuŋ	thuŋ	thuŋ	stop	stop	stop	stăp	sə̆top	sə̆thə	sămtu	sămtu
chicken	khe	khe	khe	kheiduə	kheiʔ	petʃha	petʃha	pə̆tʃe	pə̆tʃe	batʃe	batʃe	huki	wakhi
egg	khere	eri	khere	khere	khere	petʃhakhalum	ăjuŋ	pə̆tʃeuŋ	ăjuŋ	juŋ	ăjuŋ	hudʒoŋ	ʔogoŋ
fish	ũa	uŋa	ũa	ũa	uŋə̃	ɲiu	ɲu	nuŋ	nuŋ	nuŋ	nuŋ	ŋa	ŋa
duck	oso	ŋuso	oso	ŋuso	ũso	gelendi	hõ	gilendi	huhã; huhõ	huhõ	osa	gilendi	aŋso
