English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
itchy	癢	*tsio4̃	tsiũ4	tsiɔ̃6	tsiŋ4	tsio4̃	tsio4̃	tsiɔ4
jade-stone	玉	*gɯk8	giak8	giɔk8	goʔ8	gek8	gek8	ziak8
jellyfish	䖳	*tʰe6	tʰe5	tʰɛ6	tʰe5	tʰe6	tʰe6	tʰɛ1
jest at	□	*ŋiat8	giat8	giat8			ŋiak8	
join	合	*hap8	hap8	hap8	haʔ8	hap8	hap8	hap8
joy	樂	*luok8	lɔk8	lɔk8	lɤ4	lak8	lak8	lɔk7
juice	汁	*tsiap7 ~ *tsap7	tsap7	tsiap7	tsiaʔ7	tsap7	tsap7	tsiap7
jump	□	*tio2	tio2	tio2				tiɔ2
keep	守	*tsiu3	tsiu3	tsiu3	tsu3	siu3	siu3	tsiɔ3
keep mouth shut	默	*mhik8 (?)	hmʔ8	hmʔ8	baʔ8	mek8	mek8	mek8
kick	踢	*tʰat7	tʰat7	tʰat7	tʰiaʔ7	tʰak7	tʰak7	tʰak7
kill (1)	治	*tʰai2	tʰai2	tʰai2	tʰɛ2	tʰai2	tʰai2	tʰai2
kill (2)	殺	*suaʔ7	suaʔ7	suaʔ7	saʔ7	suaʔ7	suaʔ7	sua7
kiss (v.)	斟	*tsim1	tsim1	tsim1		tsim1	tsim1	
knife	刀	*to1	to1	to1	tɤ1	to1	to1	tɔ1
knock	□	*kʰa5	kʰa5	kʰa5	kʰɤ5			kʰa5
know	知	*tsai1	tsai1	tsai1	tsɛ1	tsai1	tsai1	tsai1
ladle	桸	*hia1	hia1	hia1	hia1	hia1	hia1	
lady	娘	*niõ2	niũ2	liɔ̃2	niŋ2	nio2	nio2	niɔ2
lake	湖	*ou2	ɔ2	ɔ2	hu2	ou2	ou2	ɛu2
lame	瘸	*kʰuø2	kʰə2		kʰɤ2	kʰue2	kʰue2	kʰuɛ2
lamp	燈	*tiŋ1	tiŋ1	tiŋ1	teŋ1	teŋ1	teŋ1	teŋ1
language; speech	話	*ue6	ue5	ua6	bua1	ue6	ue6	uɛ1
late	晏	*uã5	uã5	uã5	mua5̃	uã5		ua5
laugh	笑	*tsʰio5	tsʰio5	tsʰio5	tsʰɤ5	tsʰio5	tsʰio5	tsʰiɔ5
law	法	*huap7	huat7	huat7	huaʔ7	huak7	huap7	bak7
lazy	□	*tuã4	tuã4	tuã6	tuã4	tuã4	tuã4	tua4
leaf	箬	*nhioʔ8	hioʔ8	hioʔ8	liɤ4	hioʔ8	hioʔ8	hiɔ4
lean upon	倚	*ua3	ua3	ua3	ua3	ua3	ua3	ua3
