English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
abundant	豐	*hoŋ1	hɔŋ1	hɔŋ1	hoŋ1	hoŋ1	hoŋ1	hɔŋ1
accent	腔	*kʰiõ1	kʰiũ1	kʰiɔ̃1	kʰiŋ1	kʰiõ1	kʰiõ1	kʰiaŋ1
accompany	陪	*pue2	pue2	pue2	pue2	pue2	pʰue2	pʰui2
account	數	*siau5	siau5	siau5	su5	siau5	siau5	siau5
account book	簿	*pʰou4	pʰɔ4	pʰɔ6	pʰu4	pou4	pʰou4	pʰɛu4
accuse falsely	賴	*lua6	lua5	lua6	lua1	lua6	lua6	nua1
across	橫	*huẽ2	huĩ2	huã2	hua2̃	huẽ2	huẽ2	huɛ2
add fuel	燃	*hiã2	hiã2	hiã2		hiã2		hia2
affair	事	*tai6 ~ *sɿ6	tai5	tai6	tɛ1	sɯ6	su6	su7
after; behind	後	*au4	au4	au6	ɔ4	au4	au4	au4
age	歲	*huø5	hə5	hue5	hue5	hue5	hue5	huɛ5
all exterminated	絕	*tsøʔ8	tsəʔ8	tseʔ8	tsuaʔ8	tsoʔ8	tsoʔ8	tsiek8
alley	巷	*haŋ6	haŋ5	haŋ6	haŋ5	haŋ6	haŋ6	hɔ1
also	又	*iu6	iu5	iu6	iu1	iu4	iũ4	iu1
amaranth	莧	*hõi6	huĩ5	hian6	hiŋ5	hãi6	hõi6	hai1
ancestral temple	祠	*sɿ2	sɯ2	su2	sɤ2	sɯ2	su2	tsʰu2
answer (v.)(1)	應	*en5	in5	in5	eŋ5	eŋ5	eŋ5	iŋ5
answer (v.)(2)	答	*taʔ7 ~ *tap7	taʔ7	taʔ7	ta5	tap7	tap7	tap7
ant	蟻	*hia4	hia4	hia6	hia4	hia4	hia4	hia4
arrest	掠	*liaʔ8	liaʔ8	liaʔ8	lia4	liaʔ8	liaʔ8	lia4
arrive	遘	*kau5	kau5	kau5	kɔ5	kau5	kau5	kau5
artemisia[1]	艾	*ŋhiã6	hiã5	hiã6	hiã5	hiã6	hiã6	ŋai4
ask (v.)	問	*muĩ6	bŋ5	buĩ6	mŋ5	muŋ6	mɯŋ6	mui1
autumn	秋	*tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1
avoid	免	*mian3	bian3	bian3	biaŋ3	miaŋ3	miaŋ3	mieŋ3
axe	斧	*pou3	pɔ3	pʰu3	pu3	pou3	pou3	pɛu3
bamboo	竹	*tɯk7	tiak7	tik7	toʔ7	tek7	tek7	tip7
bamboo shoot	筍	*sun3	sun3	sun3	sueŋ3	suŋ3	suŋ3	suŋ3
bark	吠	*pui6	pui5	pui6	pui1	pui6	pui6	pui1
barley; wheat; corn	麥	*beʔ8	beʔ8	bɛʔ8	ba4	beʔ8	beʔ8	bɛ4
basket for mortar	箕	*ki1	ki1	ki1	ki1	ki1	ki1	ki1
bathe	浴	*ɯk8	iak8	ik8	zioʔ8	ek8	ek8	iak8
be	是	*si4	si4	si6	si4	si4	si4	si4
bead tree	楝	*nõi6	nuĩ5	liŋ6	liaŋ5	nai4	noi6	lieŋ7
beak	喙	*tsʰui5	tsʰui5	tsʰui5		tsʰui5	tsʰui5	tsʰui5
bean	豆	*tau6	tau5	tau6	tɔ1	tau6	tau6	tau1
bear	熊	*him2	him2	him2	heŋ2	him2	him2	hiɔŋ2
beard	鬚	*tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1	tsʰiu1
bed	眠床	*min2 tsʰõ2	tsʰŋ2	bin2 tsʰŋ2	beŋ2 tsʰŋ2	meŋ2 tsʰɯŋ2	mɯŋ2 tsʰɯŋ2	kɔi7tsʰɔ2
bee	蜂	*pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1	pʰaŋ1
beg	乞	*kʰit7	kʰit7	kʰit7	kʰeʔ7	kʰek7	kʰik7	kʰiek7
beginning	初	*tsʰioi1	tsʰue1	tsʰe1	tsʰi1	tsʰiu1	tsʰiu1	tsʰɔi1
belly	肚	*tou3	tɔ3	tɔ3	tu3	tou3	tou3	tɛu3
belong	屬	*siok8	siɔk8	siɔk8	soʔ8	sok8	sok8	sɔk8
belt	帶	*tua5	tua5	tua5	tua5	tua5	tua5	
bend	拗	*a3 ~ *au3	au3	au3	a3	a3	a3	a3
bestow	賜	*sɿ5	sɯ5	su5	sɤ5	sɯ5	su5	su5
big	大	*tua6	tua5	tua6	tua1	tua6	tua6	tua1
bird	鳥	*tsiau3	tsiau3	tsiau3		tsiau3	tsiau3	tsiau3
bite	咬	*ka4	ka4	ka6	ka3	ka4	ka4	ka4
bitter	苦	*kʰou3	kʰɔ3	kʰɔ3	kʰu3	kʰou3	kʰou3	kʰɛu3
black	烏	*ou1	ɔ1	ɔ1	u1	ou1	ou1	ɛu1
blanching (cooking)	□	*saʔ8	saʔ8	saʔ8	sa4	saʔ8	saʔ7	sa4
blanket	被	*pʰuø4	pʰə4	pʰue6	pʰue4	pʰue4	pʰue4	pʰuɛ4
blind	盲	*mẽ2	bĩ2	bɛ̃2	ma2̃	me2	me2	mɛ2
blink	□	*niʔ7	nĩʔ7	lĩʔ7		niʔ7	niʔ7	ni7
block (v.)	閘	*tsaʔ8	tsaʔ8	tsaʔ8		tsaʔ8		
blood	血	*hueʔ7	huiʔ7	hueʔ7	hue5	hueʔ7	hueʔ7	huɛ7
blow (1)	吹	*tsʰuø1	tsʰə1	tsʰue1	tsʰue1	tsʰue1	tsʰue1	tsʰui1
blow (2)	□	*pun2	pun2	pun2	pueŋ2	puŋ2	puŋ2	puŋ2
blunt	鈍	*tun1	tun6	tun1	tueŋ1	tuŋ1	tuŋ1	tuŋ1
body	身	*sin1	sin1	sin1	seŋ1	seŋ1	siŋ1	sieŋ1
bone	骨	*kut7	kut7	kut7	koʔ7	kuk7	kuk7	kuk7
book	冊	*tsʰeʔ7	tsʰeʔ7	tsʰɛʔ7	tsʰa5	tsʰeʔ7	tsʰeʔ7	tsʰɛ7
bottle (1)	矸	*kan1 (?)	kan1	kan1				
bottle (2)	樽	*tsun1 (?)				tsuŋ1	tsuŋ1	tsuŋ1
bottom	底	*toi3	tue3	te3	te3	tõi3	toi3	tɔi3
bow	弓	*kɯŋ1	kiŋ1	kiŋ1	koŋ1	keŋ1	keŋ1	kiaŋ1
bowl	碗	*uã3	uã3	uã3		uã3	uã3	ua3
box	箱	*siõ1	siũ1	siɔ̃1	siŋ1	siõ1	siõ1	siɔ1
branch	枝	*ki1	ki1	ki1	ki1	ki1	ki1	
brave	勇	*ioŋ3	iɔŋ3	iɔŋ3	ioŋ3	ioŋ3	ioŋ3	ziɔŋ3
bright	光	*kuĩ1	kŋ1	kuĩ1	kŋ1	kɯŋ1	kɯŋ1	kui1
brush (n.)	刷	*suøʔ7	səʔ7	sua3	suaʔ7	sueʔ7	sueʔ7	suak7
Buddha	佛	*put8 ~ *hut8	put8	put8	hoʔ8	huk8	huk8	puk8
bun (hairstyle)	髻	*kuø5	kə5	ke5	kue5	kue5	kue5	
bury	□	*tai2	tai2	tai2	tɛ2	tai2		tai2
buttocks	尻川	*kʰa1 tsʰuĩ1	kʰa1 tsʰŋ1	kʰa1 tsʰuĩ1	kʰa1 tsʰuŋ1	ka1 tsʰɯŋ1	kʰa1 tsʰɯŋ1	ka1 tsʰui1
button	鈕	*niu3	liu3	liu3	liu3	niu3	niu3	niu3
buy	買	*boi3	bue3	be3	be3	boi3	boi3	bɔi3
cake	餅	*piã3	piã3	piã3	piã3	piã3	piã3	pia3
call (v.)	叫	*kio5	kio5	kio5		kio5	kio5	
can; able	解	*oi4	e4	e6	e4	oi4	oi4	
candle	燭	*tsɯk7	tsiak7	tsik7	tsoʔ7	tsek7	tsek7	tsiak7
cannot	𣍐	*boi4	bue4	be6	be4	boi4	boi4	
capable; clever	□	*gau2	gau2	gau2	gɔ2	gau2	gau2	
carp	鯉	*tai4 ~ *li3	tai4	tai6	tɛ4	li3	li3	li3
carriage	車	*tsʰia1	tsʰia1	tsʰia1	tsʰa1	tsʰia1	tsʰia1	tsʰia1
carry a thing hanging down from hand	□	*kuã4	kuã4	kuã6		kuã4	kuã4	
carry on both hands	捧	*pʰoŋ3	pʰɔŋ3	pʰɔŋ3	pʰoŋ3	pʰoŋ3		pʰɔŋ3
cat	貓	*ma2 ~ *niau1 ~ *ŋiau1	niãu2 ~ ba2	liãu1 ~ ba2	mã1	ŋiau1	ŋiau1	ba2
ceramics	□	*hui2	hui2	hui2	hui2	hui2	hui2	
chain	鏈	*lian6	lian5	lian6	liaŋ1	liaŋ6	liaŋ6	lieŋ4
chair	椅	*i3 ~ *ĩ3	i3	i3	i3	ĩ3	ĩ3	i3
change	變	*pĩ5	pĩ5	pĩ5	piŋ5	pĩ5	pĩ5	pi5
character	字	*di6	li5	dzi6	tsi1	zi6	zi6	
cherish	惜	*sioʔ7	sioʔ7	sioʔ7	siɤ5	sioʔ7	sioʔ7	
chestnut	栗	*lat8	lat8	lat8	leʔ8	lak8	lak8	lik7
chicken	雞	*koi1	kue1	ke1	ki1	koi1	koi1	kɔi1
choose	揀	*kõi3	kuĩ3	kan3	kiŋ3		kãi3	kai3
chopsticks	箸	*tɯ6	tɯ5	ti6	tui1	tɯ6	tu6	tu1
circle	環	*kʰuan2 ~ *huan2	kʰuan2	kʰuan2	kʰuaŋ2	huaŋ2	huaŋ2	huaŋ2
city	城	*siã2	siã2	siã2	sã2	siã2	siã2	sia2
clan	族	*tsok8	tsɔk8	tsɔk8	tsoʔ8	tsok8	tsok8	tsɔk8
claw	爪	*diau3	liau3	dziau3	liɔ3	ziau3	ziau3	niau3
clean	清氣	*tsʰiŋ1 kʰi5	tsʰiŋ1 kʰi5	tsʰiŋ1 kʰi5	tsʰeŋ1 kʰi5	tsʰeŋ1 kʰiʔ7	tsʰeŋ1 kʰiʔ7	
clear (water)	清	*tsʰiŋ1 (?)	tsʰiŋ1	tsʰiŋ1	tsʰeŋ1	tsʰeŋ1	tsiŋ1	tsieŋ1
CLF for blanket	領	*niã3	niã3	liã3	niã3	nia3	nia3	
CLF for celery	把	*pe3	pe3		pa3	pe3	pẽ3	pɛ2
CLF for cigarette	支	*ki1	ki1	ki1	ki1	ki1	ki1	ki1
CLF for cow (1)	隻	*tsiaʔ7	tsiaʔ7	tsiaʔ7		tsiaʔ7	tsiaʔ7	
CLF for cow (2)	頭	*tʰau2			tʰɔ2			tʰau2
CLF for egg	粒	*liap8	liap8	liap8		liap8	liap8	liap8
CLF for fish	尾	*buø3	bə3	bue3	bue3	bue3		
CLF for house	間	*kõi1	kuĩ1	kan1	kiŋ1	kãi1	kãi1	kai1
CLF for mountain	座	*tso6	tso4	tso6		tso6	tso6	tsɛ1
CLF for paper	張	*tiõ1	tiũ1	tiɔ̃1	tiŋ1	tiõ1	tiõ1	tiɔ1
CLF for tree	叢	*tsaŋ2	tsaŋ2	tsaŋ2		tsaŋ2	tsaŋ2	tsaŋ2
climb	□	*peʔ7	peʔ7	pɛʔ7		peʔ7	peʔ7	
clogs	屐	*kiaʔ8 ~ *kʰiaʔ8	kiaʔ8 ~ kʰiaʔ8	kiaʔ8	kʰia4	kiaʔ8	kiaʔ8	kia4
cloth	布	*pou5	pɔ5	pɔ5	pu5	pou5	pou5	pɛu5
cloud	雲	*hun2	hun2	hun2	hueŋ2	huŋ2	huŋ2	huŋ2
coarse	粗	*tsʰou1	tsʰɔ1	tsʰɔ1	tsʰu1	tsʰou1	tsʰou1	tsʰɛu1
cockroach	□	*tsuaʔ8	tsuaʔ8	tsuaʔ8	tsua4	tsuaʔ8	tsuaʔ8	tsua4
collect	收	*siu1	siu1	siu1	su1	siu1	siu1	siu1
colour	色	*sik7	siak7	sik7	saʔ7	sek7	sek7	sek7 ~ sik7
comb	梳	*sioi1	sue1	se1	sɔ1	siu1	siu1	sɔi1
come	來	*lai2	lai2	lai2	lɛ2	lai2	lai2	lai2
comfortable	爽	*suoŋ3	sɔŋ3	sɔŋ3	suaŋ3	suaŋ3	suaŋ3	suaŋ3
complain	怨	*uan5	uan5	uan5		uaŋ5	uaŋ5	uaŋ5
concave (1)	□	*naʔ7	nãʔ7				naʔ7	
concave (2)	塌	*tʰap7			tʰaʔ7	tʰap7	tʰap7	tʰap7
conceal	囥	*kʰõ5	kʰŋ5	kʰŋ5	kʰŋ5	kʰɯŋ5	kʰɯŋ5	kɔ5
confused	亂	*luan6 ~ *nuĩ6	luan5	luan6	luaŋ1	luaŋ4	luaŋ4	luaŋ7
continuous	續	*siok8	siɔk8	siɔk8	soʔ8	sok8	sok8	sɔk8
convex	吐	*tʰou3	tʰɔ3	tʰɔ3		tʰou3	tʰou3	
cook by boiling	煮	*tsɯ3	tsɯ3	tsi3	tsi3	tsɯ3	tsu3	tsu3
cooked	熟	*sɯk8	siak8	sik8		sek8	sek8	siak8
cooked rice	飯	*puĩ6	pŋ5	puĩ6	pŋ1	puŋ6	pɯŋ6	pui1
copper	銅	*taŋ2	taŋ2	taŋ2	taŋ2	taŋ2	taŋ2	taŋ2
corpse	屍	*si1	si1	si1	si1	si1	si1	si1
correct (adj.)	正	*tsiã5	tsiã5	tsiã5	tsã5	tsiã5	tsiã5	tsia5
correct (v.)	改	*koi3	kue3	ke3	kɛ3	koi3	koi3	kɔi3
cotton	棉	*mĩ2	mi2̃	bĩ2	miŋ2	mi2	mi2	mi2
country	國	*kok7	kɔk7	kɔk7	koʔ7	kok7	kok7	kuek7
county	縣	*kuõi6	kuĩ5	kuãi6	kuŋ1	kuĩ6	kuãi6	kuai1
cover (v.)	□	*kʰam5 ~ kʰõi5	kʰam5	kʰam5	kaŋ3	kʰãi5	kʰãi5	
covering basket	罩	*ta5 ~ *tau5 ~ *tsau4	tau5	ta5	tɔ5	tsau4	tsau4	tsau4
cow	牛	*ŋu2	gu2	gu2	gu2	gu2	gu2	ŋu2
crab	蟹	*hoi4	hue4	he6	he4	hoi4	hoi4	hɔi4
crack (n.)	縫	*pʰaŋ6	pʰaŋ5	pʰaŋ6	pʰaŋ5	pʰaŋ6	pʰaŋ6	pʰaŋ1
crack (v.)	必	*pit7	pit7	pit7	peʔ7	pek7	pik7	
craftsman	匠	*tsʰiõ6	tsʰiũ5	tsʰiɔ̃6	tsʰiŋ5	tsiaŋ4	tsʰiõ6	tsʰiɔ1
crawl	爬	*pe2	pe2	pɛ2	pa2	pe2	pe2	pɛ2
crisp	酥	*sou1	sɔ1	sɔ1		sou1	sou1	
cross river	渡	*tou6	tɔ5	tɔ6	tu1	tou6	tou6	tɛu1
crucian carp	鯽	*tsit7 (?)	tsit8	tsit8	tsiaʔ7	tsek7	tsik7	tsiek7
cry	□	*kʰau5	kʰau5	kʰau5		kʰau5	kʰau5	kʰau5
cup	杯	*pue1	pue1	pue1	pue1	pue1	pue1	puɛ1
cupboard	櫥	*tu2	tu2	tu2	tu2	tu2	tu2	
cut (fingernails)	鉸	*ka1	ka1	ka1		ka1	ka1	ka1
cut (hairs)	剃	*tʰi5	tʰiʔ7	tʰi5	tʰi5	tʰi5	tʰi5	tʰi5
cut (v.)	割	*kuaʔ7	kuaʔ7	kuaʔ7	kua5	kuaʔ7	kuaʔ7	kua7
cut down	劈	*pʰik7	pʰiak7	pʰik7	pʰiaʔ7	pʰek7	pʰek7	pʰik7
damp (1)	□	*tam2	tam2	tam2	taŋ2	tam2	tam2	tam2
damp (2)	濕	*sip7	sip7	sip7	seʔ7	sip7	sip7	sip7
dare	敢	*kã3	kã3	kã3	kã3	kã3	ka3̃	ka3
dark	暗	*am5	am5	am5	aŋ5	am5	am5	am5
dash water (on person)	□	*tsaŋ2	tsaŋ2	tsaŋ2		tsaŋ2	tsaŋ2	
day	日	*dit8	lit8	dzit8	leʔ8	zek8	zik8	ziek8
deaf	聾	*laŋ2	laŋ2	laŋ2	laŋ2	laŋ2	laŋ2	laŋ2
deep	深	*tsʰim1	tsʰim1	tsʰim1	tsʰeŋ1	tsʰim1	tsʰim1	tsʰim1
deer	鹿	*lok8 ~ *lɯk8 ~ *tɯk8	lɔk8	lɔk7	loʔ8	lek8	tek8	tiak8
deer’s horn	茸	*dioŋ2	liɔŋ2	dziɔŋ2	zioŋ2	zioŋ2	zioŋ2	ziɔŋ2
dense	密	*bat8	bat8	bat8	baʔ8			bak8
determine	決	*kuat7	kuat7	kuat7	kiaʔ7	kuak7	kuak7	kʰiek7
dew	露	*lou6	lɔ5	lɔ6	lu5	lou6	lou6	lɛu1
difficult	惡	*oʔ7	oʔ7	oʔ7	ɤ5	oʔ7	oʔ7	ɔ7
diligent	勤	*kʰɯn2	kʰun2	kʰin2	kʰeŋ2	kʰeŋ2	kʰiŋ2	kʰieŋ2
dirty	□□	*nap7 sap7 (?)	lap7 sap7		laʔ7 saʔ7	naʔ7 sap7	naʔ7 sap7	lap8 tsai4
disassemble	拆	*tʰiaʔ7	tʰiaʔ7	tʰiaʔ7	tʰia5	tʰiaʔ7	tʰiaʔ7	tʰia7
dish	配	*pʰuø5	pʰə5	pʰue5	pʰue5	pʰue5		pʰuɛ5
dislike and avoid	嫌	*hiam2	hiam2	hiam2		hiam2	hiam2	hiam2
dive	沕	*bi6	bi5	bi6	bi1	bi6	bi6	
dog	狗	*kau3	kau3	kau3		kau3	kau3	kau3
door	門	*muĩ2	bŋ2	buĩ2	mŋ2	muŋ2	mɯŋ2	mui2
dragon	龍	*lɯŋ2	liŋ2	liɔŋ2	loŋ2	leŋ2	leŋ2	liaŋ2
dream	夢	*maŋ6	baŋ5	baŋ6	baŋ5	maŋ6	maŋ6	maŋ1
dried meat	臘	*laʔ8	laʔ8	laʔ8	la4	laʔ8	laʔ8	la4
drill	鑽	*tsuĩ5	tsŋ5	tsuĩ5	tsuŋ5	tsɯŋ5	tsɯŋ5	tsui5
drink (1)	食	*tsiaʔ8	tsiaʔ8	tsiaʔ8	tsia4	tsiaʔ8	tsiaʔ8	tsia4
drink (2)	啉	*nim1 (?)	lim1	lim1		nim1	nim6	
dry	□	*ta1	ta1	ta1	ta1	ta1	ta1	
dry in the sun	曝	*pʰak8	pʰak8	pʰak8	pʰaʔ8	pʰak8	pʰak8	pʰak8
duck	鴨	*aʔ7	aʔ7	aʔ7	a5	aʔ7	aʔ7	a7
duckweed	薸	*pʰio2	pʰio2	pʰio2	pʰiɤ2	pʰio2	pʰio2	pʰiɔ2
dumplings’ stuffing	餡	*ã6	ã5	ã6	haŋ1	ã6	ã6	a1
dye	染	*nĩ3	nĩ3	lĩ3	niŋ3	ni3	ni3	ni3
eagle	鷹	*iŋ1	iŋ1	iŋ1	eŋ1	eŋ1	eŋ1	iŋ1
ear	耳	*hi4 ~ *hĩ4	hi3	hi6	hiŋ4	hĩ4	hĩ4	hi4
early	早	*tsa3	tsa3	tsa3	tsa3	tsa3	tsa3	tsa3
earth; soil	塗	*tʰou2	tʰɔ2	tʰɔ2	tʰu2	tʰou2	tʰou2	tʰɛu2
earthen jar	缸	*kõ1	kŋ1	kŋ5	kaŋ1	kɯŋ1	kɯŋ1	kɔ1
easy	□	*koi6	kue5			koi6	koi6	
eat	食	*tsiaʔ8	tsiaʔ8	tsiaʔ8	tsia4	tsiaʔ8	tsiaʔ8	tsia4
edge	墘	*kĩ2	kĩ2		kiŋ2	kĩ2	kĩ2	ki2
eel	鱔	*tsʰua4 ~ *sian4	tsʰuã4	siaŋ6	tsʰuã4	siaŋ4	siaŋ4	tsʰua4
egg	卵	*nuĩ4	nŋ4	luĩ6	nuŋ4	nɯŋ4	nɯŋ4	nui4
eggplant	茄	*kio2	kio2	kio2	kiɤ2	kio2	kio2	kiɔ2
eight	八	*poiʔ7	pueʔ7	peʔ7	pe5	poiʔ7	poiʔ7	pɔi7
elder brother	兄	*hiã1	hiã1	hiã1	hiã1	hiã1	hiã1	hia1
elder brother’s wife	嫂	*so3	so3	so3	sɤ3	so3	so3	sɔ3
embryo	胎	*tʰø1	tʰə1	tʰe1	tʰɛ1	tʰo1	tʰo1	tʰai1
empty	空	*kʰaŋ1	kʰaŋ1	kʰaŋ1	kʰaŋ1	kʰaŋ1	kʰaŋ1	
end	終	*tsioŋ1	tsiɔŋ1	tsiɔŋ1	tsoŋ1	tsoŋ1	tsoŋ1	tsɔŋ1
enter	入	*dip8	lip8	dzip8	leʔ8	zip8	zip8	zip8
estimate	估	*kou3	kɔ3	kɔ3			kou3	kɛu3
excrement	屎	*sai3	sai3	sai3	sɛ3	sai3	sai3	sai3
expensive	貴	*kui5	kui5	kui5	kui5	kui5	kui5	kui5
extinguish	熄	*set7	sit7	sit7	seʔ7	sek7	sek7	sik7
extremely	極	*kik8	kiak8	kik7	keʔ8	kek8	kek8	kik8
eye	目	*mak8	bak8	bak8	baʔ8	mak8	mak8	mak8
eyebrow	眉	*bai2	bai2	bai2	bɛ2	bai2	bai2	bai2
face	面	*min6	bin5	bin6	beŋ5	meŋ6	miŋ6	mieŋ1
fall down	跋	*puaʔ8	puaʔ8	puaʔ8	pua4	puaʔ8	puaʔ8	pua4
fan (v.)	□	*pʰuaʔ7			pʰua5	pʰuaʔ7	pʰuaʔ7	
far	遠	*huĩ4	hŋ3	huĩ6	huŋ4	hŋ4	hŋ4	hui4
fart	屁	*pʰui5	pʰui5	pʰui5	pʰui5	pʰui5	pʰui5	pʰui5
fast; tight	緊	*kin3	kin3	kin3	keŋ3	keŋ3	kiŋ3	kieŋ3
fat	肥	*pui2	pui2	pui2	pui2	pui2	pui2	pui2
father’s elder brother	伯	*peʔ7	peʔ7	pɛʔ7	pa5	peʔ7	peʔ7	pɛ7
father’s younger brother	叔	*tsɯk7	tsiak7	tsik7	tsɤ4	tsek7	tsek7	tsip7
feed	飼	*tsʰi6	tsʰi5	tsʰi6	tsʰi1	tsʰi6	tsʰi6	tsʰi1
feel dizzy	眩	*hin2	hin2		heŋ2	heŋ2	hiŋ2	hieŋ2
festival	節	*tsoiʔ7	tsueʔ7	tseʔ7	tse5	tsoiʔ7	tsoiʔ7	tsɔi7
few	少	*tsio3	tsio3	tsio3	tsɤ3	tsio3	tsio3	tsiɔ3
field	層	*tsʰan2	tsʰan2	tsʰan2	tsʰaŋ2	tsʰaŋ2	tsʰaŋ2	tsʰaŋ2
