Gloss	Form	Language
I	ŋa	Gong (Suphanburi) - older generation
I	ŋa	Gong (Suphanburi) - younger generation
I, the first person singular pronoun	ŋa	Gong (Suphanburi)
in front of	kɨ¹	Gong (Uthai Thani)
in front of the house	ka³baŋ²	Gong (Uthai Thani)
in the morning	naʔ¹tuŋ³	Gong (Uthai Thani)
incisor	ka sɯ̂ŋ 	Ugong
index finger	lɔ̌ʔ nᴜ/nᴜ̂ 	Ugong
indignant	jik	Gong (Suphanburi)
insect egg that has developed into larva	dôw	Gong (Suphanburi)
insert, to tickle	du¹klɛʔ¹ʔɔ³	Gong (Uthai Thani)
intercept, to obstruct	ka²lak¹	Gong (Uthai Thani)
intestine	pu³	Gong (Uthai Thani)
intestine	pʰu	Gong (Suphanburi) - older generation
intestine	pʰu	Gong (Suphanburi) - younger generation
intoxicated, sick, retouch with color	mɔ̀	Gong (Suphanburi)
iris	ɲɔʔkɔŋ sɤ̩́k/nɔʔ 	Ugong
iron	ʔɛi³	Gong (Uthai Thani)
itch	tu⁴ʔɔ⁵	Gong (Uthai Thani)
itchy	tʰuɔ	Gong (Suphanburi)
itchy	ʔɔ̌ʔ	Gong (Suphanburi)
jack-fruit	kʰa²nɯŋ⁴ʔɛ³	Gong (Uthai Thani)
jar, thread, string something	ʔùŋ	Gong (Suphanburi)
jaw (general)	mɪŋkhjɪ̩̂ŋ wú/ᴜ 	Ugong
joist	gaŋ²pɨ¹	Gong (Uthai Thani)
jump	cʰe³kʰɔʔ²ʔɔ²	Gong (Uthai Thani)
just a moment ago	kʰɔŋ³puŋ²	Gong (Uthai Thani)
Karen	ka²liaŋ¹	Gong (Uthai Thani)
keep	dɛ³ʔɔ⁵	Gong (Uthai Thani)
keep in mouth, to snap at	mu⁴dɛ³ʔɔ⁵	Gong (Uthai Thani)
keep in the mouth, suck	nɨk	Gong (Suphanburi)
kick, to spurn, to stamp	tʰɛi²ʔɔ²	Gong (Uthai Thani)
kidney	mlek⁵	Gong (Uthai Thani)
kidney	ho̩ŋ mɪ́k 	Ugong
kill	baʔʔaʔɔ	Gong (Suphanburi) - older generation
kill	jɛ́ʔʔàʔɔ	Gong (Suphanburi) - younger generation
kill, to stroke, to touch	ʔaʔ¹ʔɔ³	Gong (Uthai Thani)
kiss, to be fragrant	ŋǎŋ	Gong (Suphanburi)
kiss, to be fragrant	ʔɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
kitchen mortar	bǒk	Gong (Suphanburi)
knee	pʰluʔ¹cʰɛi¹	Gong (Uthai Thani)
knee	pʰudǒʔ	Gong (Suphanburi) - older generation
knee	pʰudǒʔ	Gong (Suphanburi) - younger generation
knee	phᴜ́ dᴜ́o̩ʔ 	Ugong
knee cap / patella	phú bâ / phᴜ́ dǔo̩ʔ wú 	Ugong
knife	nam mai	Lawa (Kwê Yai)
knock many times (door), cucumber (small size), sew, stitch	kʰǒk	Gong (Suphanburi)
know	ʔɛʔɔ̂	Gong (Suphanburi) - older generation
know	ʔɛʔɔ̂	Gong (Suphanburi) - younger generation
know (method), have hard life, poor people	jɔ	Gong (Suphanburi)
know, to be become acquainted with	ʔɛ³ʔɔ⁵	Gong (Uthai Thani)
knuckle (joint of digit)	lɔ̌ʔ sə̣̀k 	Ugong
knuckle, wrist, ankle	dɔ̌ŋ	Gong (Suphanburi)
ladder	cʰiaŋ³puŋ³	Gong (Uthai Thani)
lake	tʰi duŋ	Gong (Suphanburi) - older generation
lake	tʰi dôŋ	Gong (Suphanburi) - younger generation
land	ti³pʰɔŋ²	Gong (Uthai Thani)
langur	ɲok¹nɔʔ²	Gong (Uthai Thani)
large bamboo rat	ɲɔʔ¹cʰi¹	Gong (Uthai Thani)
large intestine	phᴜ̌ dâŋ 	Ugong
lash a rope	kwɛ̀ŋ	Gong (Suphanburi)
last year	ɲa²cʰi³	Gong (Uthai Thani)
laugh	wi⁴ʔɔ⁵	Gong (Uthai Thani)
laugh	wiaʔɔ̂	Gong (Suphanburi) - older generation
laugh	wia	Gong (Suphanburi) - younger generation
launder	jùɔ	Gong (Suphanburi) - older generation
launder	jùɔ	Gong (Suphanburi) - younger generation
lay	pʰaŋ⁴ʔɔ⁵	Gong (Uthai Thani)
lay down	kʰa⁴dɛ³ʔɔ⁵	Gong (Uthai Thani)
lay eggs	ku³ʔɔ⁵	Gong (Uthai Thani)
lazy	kʰlɛ³ʔɔ⁵	Gong (Uthai Thani)
lead (by hand)	ʔɨŋ	Gong (Suphanburi)
lead by hand	ʔɨŋ	Gong (Suphanburi)
lead by the hand	ʔɯŋ⁴kʰle²ʔɔ²	Gong (Uthai Thani)
leaf	bìʔca	Gong (Suphanburi)
leaf	baʔ¹ca³	Gong (Uthai Thani)
leaf	bìʔca	Gong (Suphanburi) - older generation
leaf	bíʔca	Gong (Suphanburi) - younger generation
leaf	cha	Lawa (Kwê Yai)
leaf	cha	Lawa (Kwê Noi)
leaf of betel vine	lə³pω³	Gong (Uthai Thani)
leaf of Caladium	pɯŋ⁴ca¹	Gong (Uthai Thani)
leaf stem	ɲɔ̌ŋ	Gong (Suphanburi)
leaf, clf of leaf	ca	Gong (Suphanburi)
leak	bɔ²ʔɔ²	Gong (Uthai Thani)
leak, drop	bɔ	Gong (Suphanburi)
lean against	hàŋ	Gong (Suphanburi)
lean against	haŋ²ʔɔ²	Gong (Uthai Thani)
leech	gɔ̌ʔʔɔ	Gong (Suphanburi)
leech	gɔʔ¹ʔɔʔ²	Gong (Uthai Thani)
leftside	lɔʔ ɲa	Gong (Suphanburi) - older generation
leftside	lɔʔ ɲa	Gong (Suphanburi) - younger generation
leg	pʰǔŋ	Gong (Suphanburi) - older generation
leg	pʰǔŋ	Gong (Suphanburi) - younger generation
leg, full, lid, cover (pot)	pʰuŋ	Gong (Suphanburi)
leg, thigh	puŋ³tʰaŋ²	Gong (Uthai Thani)
legumes, beans and peas	tʰitʰɨ̀aŋ nìŋ	Gong (Suphanburi)
lemongrass	bɔŋ¹kω³	Gong (Uthai Thani)
leopard	la⁴ʔu²gɔʔ¹	Gong (Uthai Thani)
lichen	kʰəŋ⁴kʰli¹	Gong (Uthai Thani)
lick	juʔ¹ʔɔ³	Gong (Uthai Thani)
lie	dɨ̀aŋʔɔ	Gong (Suphanburi) - older generation
lie	daŋʔɔ	Gong (Suphanburi) - younger generation
lie down	kɯŋ²ʔɔ²	Gong (Uthai Thani)
lift up	bek¹koŋ⁴ʔɔ⁵	Gong (Uthai Thani)
light	blɛŋ⁴ʔɔ⁵	Gong (Uthai Thani)
light	dɛʔ¹ʔɔ³	Gong (Uthai Thani)
lightning	mǔlaba	Gong (Suphanburi)
like	dok	Gong (Suphanburi)
lime	pʰě	Gong (Suphanburi)
lip	(khu)thᴜ̌ŋ kó̵̩ˌ? / ɲɔ́ʔ 	Ugong
lip up the eating tray	dɛ	Gong (Suphanburi)
liquid mucus	nǎʔ 	Ugong
liquid pus	thᴜ́ 	Ugong
liquid, damp, fluid	ɲaʔ¹ʔɔ³	Gong (Uthai Thani)
liquor	ji³	Gong (Uthai Thani)
liquor, rice wine	jǐ	Gong (Suphanburi)
listen	maŋ⁴na²ʔɔ²	Gong (Uthai Thani)
little	pɛʔ¹ʔɔ⁵	Gong (Uthai Thani)
little bird	ha pê	Lawa (Kwê Yai)
little finger	lɔʔ¹ʔe¹	Gong (Uthai Thani)
little finger	lɔ̌ʔ khé̩ŋ 	Ugong
little, few	dɛʔ¹cʰɛ³	Gong (Uthai Thani)
little, small and long	pɛʔ	Gong (Suphanburi)
live	jɔ̂ mà ʔí	Gong (Suphanburi) - older generation
live	jɔ̂ mà ʔí	Gong (Suphanburi) - younger generation
live as husband and wife, to be banded together in love	lu⁴ʔɔ⁵	Gong (Uthai Thani)
liver	cʰəŋ	Gong (Suphanburi)
liver	cʰaŋ⁴	Gong (Uthai Thani)
liver	cʰʌŋ ~ səŋ	Gong (Suphanburi) - older generation
liver	hɔŋ səŋ	Gong (Suphanburi) - younger generation
liver	ho̩ŋ sɤ̩́ŋ 	Ugong
lizard	ciŋ³cɔʔ²	Gong (Uthai Thani)
lizard (a kind of), cheap	cʰoŋ	Gong (Suphanburi)
log of a tree	ʔak¹mɔŋ²	Gong (Uthai Thani)
loin cloth	tʰa³	Gong (Uthai Thani)
loincloth	kʰutʰɛʔ	Gong (Suphanburi) - older generation
loincloth	kutʰoěʔ	Gong (Suphanburi) - younger generation
long	kəŋ	Gong (Suphanburi)
long	kə̂ŋ	Gong (Suphanburi) - older generation
long	kə̂ŋ	Gong (Suphanburi) - younger generation
long ago	lɔŋ⁴doʔ¹	Gong (Uthai Thani)
long eggplant	ʔa²kʰa³kaŋ³	Gong (Uthai Thani)
long jungle knife	mì	Gong (Suphanburi)
long, to dip up	kaŋ²ʔɔ²	Gong (Uthai Thani)
look	wù	Gong (Suphanburi)
look	wùɔ	Gong (Suphanburi)
look	wu³ʔɔ³	Gong (Uthai Thani)
look after	cʰeŋ²ʔɔ²	Gong (Uthai Thani)
look up, to lift, to raise eyebrows	dəŋ¹kʰɔʔ²ʔɔ³	Gong (Uthai Thani)
look upwards	lɯŋ⁴kʰɔʔ²ʔɔ³	Gong (Uthai Thani)
lose ones way	woŋ⁴ʔɔ⁵	Gong (Uthai Thani)
loud	maŋ²ʔɔ²	Gong (Uthai Thani)
louse	ʔê	Gong (Suphanburi)
louse	ka²pʰɔ²ʔe⁵	Gong (Uthai Thani)
louse	ʔe	Gong (Suphanburi) - older generation
louse	ʔe	Gong (Suphanburi) - younger generation
love	hoěʔ	Gong (Suphanburi)
love	dok¹ʔɔ⁵	Gong (Uthai Thani)
low (height)	jɨŋ cʰɛ ~ jɨŋ sɛ	Gong (Suphanburi) - older generation
low (height)	ɲɨŋ sɛ	Gong (Suphanburi) - younger generation
low, short	jɯŋ⁴cʰɛ³	Gong (Uthai Thani)
lower back	sᴜ̌k 	Ugong
lumbar, break up little by little (by a chisel), wear, put on skirt over the head, box, hit by fist	cʰǔk	Gong (Suphanburi)
lumber	cʰuk¹	Gong (Uthai Thani)
lung	pɔt	Gong (Suphanburi)
lung	ho̩ŋ ʔǒ̵̩ 	Ugong
lung, blood	ʔɨ̀	Gong (Suphanburi)
mad	ma²gaŋ³	Gong (Uthai Thani)
madman	mɔŋ³ka¹	Gong (Uthai Thani)
maize	kū mê	Lawa (Kwê Yai)
maize	kū mê	Lawa (Kwê Noi)
male (for all animal except fowl)	ka²lɔ⁵	Gong (Uthai Thani)
male (of fowl)	pʰa⁴	Gong (Uthai Thani)
male (of fowl), dioscorehispid tuber	pʰa	Gong (Suphanburi)
male genitals, male sex organ, to have	ni	Gong (Suphanburi)
male pubic hair	nɪ́ mọ̵́ŋ 	Ugong
mammary glands, breast, to shake (tree)	nû	Gong (Suphanburi)
man	mɔŋ⁴cʰi¹	Gong (Uthai Thani)
man	mɔŋ cʰi	Gong (Suphanburi) - older generation
man	mɔŋ se	Gong (Suphanburi) - younger generation
man	mang si	Lawa (Kwê Yai)
mango	kôk lê	Lawa (Kwê Yai)
Many	ɲǎ	Gong (Suphanburi) - older generation
many	ɲá	Gong (Suphanburi) - younger generation
many (length)	ʔugɔŋʔɔ	Gong (Suphanburi) - older generation
many (length)	gɔ̂ŋʔɔ̀	Gong (Suphanburi) - younger generation
mark (red)	mɪŋ blǒ̩ŋ 	Ugong
marrow	wúʔě̩ŋ 	Ugong
marrow	wúʔě̩ŋ 	Ugong
marry	bɔŋ³tɛi⁴ʔɔ⁵	Gong (Uthai Thani)
mat	bə²ʔaʔ¹	Gong (Uthai Thani)
maternal grandfather	ā pū	Lawa (Kwê Yai)
maternal grandmother	ā sī	Lawa (Kwê Yai)
mattress	jɯk¹tʰɛi³	Gong (Uthai Thani)
mattress	koŋ³pʰaŋ³	Gong (Uthai Thani)
meat, deer, stroke (body) / stroke one's body, lean on	ʔa	Gong (Suphanburi)
medicine	ʔə̌k kʰa	Gong (Suphanburi)
medicine, eggplant, opium	ʔa²kʰa⁴	Gong (Uthai Thani)
meet	tiaŋ³ʔɔ³	Gong (Uthai Thani)
mend, patch	tʰɔʔ	Gong (Suphanburi)
mend, repair	tɛ̌ŋ	Gong (Suphanburi)
men's loin cloth	ku²tʰəʔ¹	Gong (Uthai Thani)
menstrual blood	sɛŋ wɯ̌ŋ 	Ugong
menstruation, menses	cʰɛi⁴ʔɯ¹	Gong (Uthai Thani)
merit	bɯŋ⁵	Gong (Uthai Thani)
middle finger	lɔʔ¹ʔu²gɔŋ²	Gong (Uthai Thani)
middle finger	lɔ̌ʔ gɔ̀ŋ 	Ugong
middle, in the middle of	gɔ̀ŋ	Gong (Suphanburi)
middle, in the middle of	ʔu²gɔŋ¹tu³	Gong (Uthai Thani)
milk	nᴜ̀ wɯ̌ŋ 	Ugong
milk tooth	nᴜ̀ wɯ̌ŋ ka 	Ugong
milled glutinous rice	ɲɔŋ⁴cʰe³	Gong (Uthai Thani)
milled rice	cʰe³	Gong (Uthai Thani)
millipede	kuŋ¹kɔŋ¹	Gong (Uthai Thani)
mince	lap	Gong (Suphanburi)
mist	cʰeŋ ~ seŋ	Gong (Suphanburi) - older generation
mist	seŋ	Gong (Suphanburi) - younger generation
mix by using hands	cʰuʔ	Gong (Suphanburi)
moan, groan	kʰɨ̌ŋ	Gong (Suphanburi)
moist, wet	còk	Gong (Suphanburi)
molar	ka phᴜ̌ (dâŋ) 	Ugong
mole	tʰoŋ	Gong (Suphanburi)
mole	mɨŋ⁴cʰak¹	Gong (Uthai Thani)
mole	tʰɔŋ³	Gong (Uthai Thani)
mole	mɪŋ ʔɛ 	Ugong
monastery	waʔ²	Gong (Uthai Thani)
money	ŋə̀ŋ	Gong (Suphanburi)
money	ŋəŋ³	Gong (Uthai Thani)
monitor lizard	gaŋ³	Gong (Uthai Thani)
monk	cu²ku³	Gong (Uthai Thani)
monkey	ɲǔk	Gong (Suphanburi)
monkey	ɲok¹	Gong (Uthai Thani)
monkey	ɲǔk	Gong (Suphanburi) - older generation
monkey	ɲǔk	Gong (Suphanburi) - younger generation
monkey (ling)	yuk	Lawa (Kwê Yai)
month	la²	Gong (Uthai Thani)
month, moon	dɨa	Gong (Suphanburi)
moon	ʔu³la⁵	Gong (Uthai Thani)
moon	dɨ̀a	Gong (Suphanburi) - older generation
moon	dɨ̀a	Gong (Suphanburi) - younger generation
mortar	ʔuŋ¹gɔŋ³	Gong (Uthai Thani)
mortar	bók	Gong (Suphanburi) - older generation
mortar	bók	Gong (Suphanburi) - younger generation
mosquito	cʰɔŋ⁴kʰɔŋ³	Gong (Uthai Thani)
mosquito	cʰɔŋkʰɔ̂ŋ ~ sɔŋkʰɔ̂ŋ	Gong (Suphanburi) - older generation
mosquito	sɔŋkʰɔ̂ŋ	Gong (Suphanburi) - younger generation
mosquito net	moŋ³	Gong (Uthai Thani)
mosquito-net, husband	muŋ	Gong (Suphanburi)
mother	ʔamɛ̌ʔ	Gong (Suphanburi)
mother	ʔamɛ́ʔ	Gong (Suphanburi) - older generation
mother	ʔamɛ́ʔ	Gong (Suphanburi) - younger generation
mother	bak	Lawa (Kwê Yai)
mountain	puŋ³dɔʔ²	Gong (Uthai Thani)
moustache	mɨ̌ŋ	Gong (Suphanburi)
moustache	nà phyŋ mó̵̩ŋ 	Ugong
mountain	pʰúŋdɔ̀ʔ	Gong (Suphanburi) - older generation
mountain	pʰúŋdɔ̀ʔ	Gong (Suphanburi) - younger generation
mouth	ku²tuŋ¹	Gong (Uthai Thani)
mouth	katʰuŋ	Gong (Suphanburi) - older generation
mouth	kutʰuŋ	Gong (Suphanburi) - younger generation
mouth	khu thᴜ́ŋ 	Ugong
mouth	kū tung	Lawa (Kwê Yai)
mouthful	kʰǒ	Gong (Suphanburi)
mouthful	kʰo¹	Gong (Uthai Thani)
mucus	na²kʰli³	Gong (Uthai Thani)
mud	tʰu⁴kʰləŋ³	Gong (Uthai Thani)
mud	tʰikʰloěŋ	Gong (Suphanburi) - older generation
mud, heap (of fire)	puŋ	Gong (Suphanburi)
mud, slush	gəŋ	Gong (Suphanburi)
muddy, turbid (water)	gəŋ³ʔɔ³	Gong (Uthai Thani)
mushroom	mǔ	Gong (Suphanburi)
mushroom	mu³	Gong (Uthai Thani)
muskmelon	cu²kʰok¹	Gong (Uthai Thani)
mygale	tuŋ²waŋ³	Gong (Uthai Thani)
mynah	gaŋ¹	Gong (Uthai Thani)
myrobalan	jiŋ⁴cʰiŋ³	Gong (Uthai Thani)
nail	lɔ́ʔʔəŋ	Gong (Suphanburi) - older generation
nail	lɔ́ʔʔəŋ	Gong (Suphanburi) - younger generation
nail, claw	ʔəŋ¹	Gong (Uthai Thani)
name	ɲɨŋ	Gong (Suphanburi)
name	jɨŋ	Gong (Suphanburi) - older generation
name	ɲɨ́ŋ	Gong (Suphanburi) - younger generation
nape of neck	yɯ̌ŋ sɯ̂ŋ wᴜ́ sɔ́ŋ 	Ugong
narrow	kɛ́ŋ cʰɛ ~ kɛŋ sɛ	Gong (Suphanburi) - older generation
narrow	kɛŋ sɛ	Gong (Suphanburi) - younger generation
nasal mucus	na	Gong (Suphanburi)
nasal mucus	nà wɨ̌ŋ	Gong (Suphanburi)
naughty, make trouble (animal)	dɨ	Gong (Suphanburi)
navel	cɔʔ¹kɔŋ¹	Gong (Uthai Thani)
navel	cɔ̌ʔ 	Ugong
navel lint	cɔ̌ʔ ʔé̩ŋ/ cɔ̌ʔ khlɪ́ 	Ugong
near	cʰɔʔ¹cʰɛ¹	Gong (Uthai Thani)
near	cʰɔ́ʔ cʰɛ ~ sɔ́ʔ sɛ	Gong (Suphanburi) - older generation
near	sɔ́ʔ sɛ	Gong (Suphanburi) - younger generation
near, close to	cʰɔʔ	Gong (Suphanburi)
neck	laŋ³cʰiŋ²	Gong (Uthai Thani)
neck	jɨ́ŋcʰɨ̀ŋ ~ jɨ́ŋsɨ̀ŋ	Gong (Suphanburi) - older generation
neck	jɨ́ŋsɨ̀ŋ	Gong (Suphanburi) - younger generation
neck	yɯ̌ŋ sɯ̂ŋ / yɯ̌ŋ sɯ̩̂ŋ 	Ugong
neck	lang sûng	Lawa (Kwê Yai)
needle	kiaʔ¹	Gong (Uthai Thani)
nest	hɔʔ¹kɯ²	Gong (Uthai Thani)
new	cʰɔʔ¹ʔɔʔ²	Gong (Uthai Thani)
new	ma tʰɔʔ	Gong (Suphanburi) - older generation
new	ma tʰɔ́ʔ	Gong (Suphanburi) - younger generation
nick	pʰlɛʔ¹dɔʔ²ʔɔ³	Gong (Uthai Thani)
night	ji³tu²	Gong (Uthai Thani)
night	nitʰuŋ	Gong (Suphanburi) - older generation
night	nitʰuŋ	Gong (Suphanburi) - younger generation
nine	kʰǔ	Gong (Suphanburi)
nine	ku¹	Gong (Uthai Thani)
nine	kʰu	Gong (Suphanburi) - older generation
nine	kʰu	Gong (Suphanburi) - younger generation
nine	kū	Lawa (Kwê Yai)
nine	kū	Lawa (Kwê Noi)
nip off (using thumb and index finger), pick with pincers	tʰoeʔ	Gong (Suphanburi)
nip, to pick with pincers	nek¹taʔ²ʔɔ³	Gong (Uthai Thani)
nipple	nᴜ̀ ʔa lɛ 	Ugong
no appetite and no sleep, fever	bi	Gong (Suphanburi)
nob	joèʔ	Gong (Suphanburi)
nose	ni²tʰɛi³	Gong (Uthai Thani)
nose	natʰɛ̂ŋ	Gong (Suphanburi) - older generation
nose	natʰɛ̂ŋ	Gong (Suphanburi) - younger generation
nose	nà kɔŋ 	Ugong
nose	nà thɛ̂ŋ / nè thɛ̂ŋ 	Ugong
nose	nā tēng	Lawa (Kwê Yai)
nose bleed	dú̵ʔʔọ̵́ / nǎʔʔộ̵ 	Ugong
nose hair	nà thɛ̂ŋ mọ̵́ŋ 	Ugong
nostril	nàthɛ̂ŋkɔŋ 	Ugong
not	ma	Gong (Suphanburi) - older generation
not	ma	Gong (Suphanburi) - younger generation
not so, incorrect	ma²tɔŋ¹	Gong (Uthai Thani)
not well	bìa	Gong (Suphanburi)
not yet, still	ma ta	Gong (Suphanburi) - older generation
not yet, still	jɔ̂ ma kʰeŋ	Gong (Suphanburi) - younger generation
not, female animal, clf for a pill (medicine)	ma	Gong (Suphanburi)
noun prefix	hɔŋ	Gong (Suphanburi)
now	dɔʔ	Gong (Suphanburi) - older generation
now	dɔʔ	Gong (Suphanburi) - younger generation
odor, scent, smell, ask (question)	ɲǐ	Gong (Suphanburi)
offspring	si	Lawa (Kwê Yai)
oil, fat	ʔeŋ³	Gong (Uthai Thani)
oil, fat, knead (large lump)	ʔěŋ	Gong (Suphanburi)
old	cʰa²lu⁴ʔɔ⁵	Gong (Uthai Thani)
old (age)	mɔ̌ŋ	Gong (Suphanburi)
old (object)	ma ʔáŋ	Gong (Suphanburi) - older generation
old (object)	ma ʔǎŋ	Gong (Suphanburi) - younger generation
old (person)	mɔŋ tʰe	Gong (Suphanburi) - older generation
old (person)	mɔŋ tʰe	Gong (Suphanburi) - younger generation
old, aged	mɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
on the left	lɔʔ¹wi¹naŋ³	Gong (Uthai Thani)
one	tʰi¹	Gong (Uthai Thani)
one	tʰi	Gong (Suphanburi) - older generation
one	tʰi	Gong (Suphanburi) - younger generation
one	ti	Lawa (Kwê Yai)
one	ti	Lawa (Kwê Noi)
one hundred	tʰi²ca³	Gong (Uthai Thani)
one hundred	lɔj nɨŋ	Gong (Suphanburi) - older generation
one hundred	lɔj nɨŋ	Gong (Suphanburi) - younger generation
one hundred	cha	Lawa (Kwê Yai)
one hundred and one	cha-kātī	Lawa (Kwê Yai)
one thousand	cʰɛ³ca²	Gong (Uthai Thani)
one, first, water, drag, pull heavy object or person	tʰi	Gong (Suphanburi)
open	pʰɔŋ²ʔɔ²	Gong (Uthai Thani)
orchid	tak¹tə²piaʔ²	Gong (Uthai Thani)
other toes	khɔ̌ʔkhɪ̂ (lɔ̌ʔma / lɔ̌ʔʔ 	Ugong
otter	kaŋ³	Gong (Uthai Thani)
otter, clf of tamarind, clf of tamarind	kaŋ	Gong (Suphanburi)
outer covering, peel skin	koèʔ	Gong (Suphanburi)
outside the house	pʰǔʔ	Gong (Suphanburi)
over flow, to spill	pʰa³cʰɯʔ²ʔɔ²	Gong (Uthai Thani)
overflow, to boil, to sink, nutty (coconut juice)	cʰiŋ²ʔɔ²	Gong (Uthai Thani)
owl	ku²kω³	Gong (Uthai Thani)
ox, cow	mɨk	Gong (Suphanburi)
ox, cow	ʔoŋ³	Gong (Uthai Thani)
oxcart	kʰle³	Gong (Uthai Thani)
pace	tuŋ⁴ʔɔ²	Gong (Uthai Thani)
pack, to stab	du⁴ʔɔ⁵	Gong (Uthai Thani)
paddy	kuk¹kə⁵	Gong (Uthai Thani)
palm	dɔʔ pʰe	Gong (Suphanburi) - older generation
palm	lɔʔ pʰe	Gong (Suphanburi) - younger generation
palm	lɔ̌ʔ phyé̩ 	Ugong
palm civet	pi²piɛ¹	Gong (Uthai Thani)
palm of the hand	lɔʔ¹pi¹	Gong (Uthai Thani)
pangolin	tʰɔŋ⁴kʰɯ¹	Gong (Uthai Thani)
papaya	ku²la⁴ʔɛ¹	Gong (Uthai Thani)
papaya	takók ʔɛ	Gong (Suphanburi) - older generation
papaya	takók ʔɛ	Gong (Suphanburi) - younger generation
parrot	kɛ̌ŋ	Gong (Suphanburi)
partition	pʰuŋ¹waŋ³	Gong (Uthai Thani)
peacock	kʰǒŋ	Gong (Suphanburi)
peacock	kʰoŋ³	Gong (Uthai Thani)
peacock	kong	Lawa (Kwê Yai)
peacock, pheasant	gɛ̌ʔ	Gong (Suphanburi)
peck at	tʰəŋ⁴ʔɔ⁵	Gong (Uthai Thani)
peel	cʰɛ̀ʔ	Gong (Suphanburi)
peel	blɛʔ¹dɔʔ²ʔɔ³	Gong (Uthai Thani)
pen (of animal)	kʰaŋ²	Gong (Uthai Thani)
penetrate	blaʔ¹ʔɔ³	Gong (Uthai Thani)
penis	ni¹	Gong (Uthai Thani)
penis	nɪ́ 	Ugong
penis hole	nɪ́ kɔŋ 	Ugong
people, blow out water strongly, squirt, boiled	ʔo	Gong (Suphanburi)
pepper sauce	ciŋ³cɛ²tʰɔŋ¹	Gong (Uthai Thani)
peppery	hèk	Gong (Suphanburi)
peppery, to weigh	ceŋ²ʔɔ²	Gong (Uthai Thani)
person	ʔɔ³	Gong (Uthai Thani)
person	ʔo	Gong (Suphanburi) - older generation
person	ʔo	Gong (Suphanburi) - younger generation
persuade	cʰɯŋ²ʔɔ²	Gong (Uthai Thani)
pester	pʰəŋ²ʔɔ²	Gong (Uthai Thani)
pestle	tʰɔŋ⁴cʰuŋ¹	Gong (Uthai Thani)
pestle	bók cʰuŋ ~ bók suŋ	Gong (Suphanburi) - older generation
pestle	bók suŋ	Gong (Suphanburi) - younger generation
pestle for pounding rice	di	Gong (Suphanburi)
pestle for pounding rice	glɨ³	Gong (Uthai Thani)
pheasant	giɛʔ¹	Gong (Uthai Thani)
phlegm	khô̵̩ / khɔ̂ 	Ugong
pick (flower)	bek¹ʔɔ³	Gong (Uthai Thani)
pick (vegetables), clf for a wrap, place on top of other, overlap	tʰɛʔ	Gong (Suphanburi)
pick out	kɔŋ⁴dɔʔ²ʔɔ³	Gong (Uthai Thani)
pickle	dɔŋ²ʔɔ²	Gong (Uthai Thani)
pierce	tʰək¹ho²ʔɔ²	Gong (Uthai Thani)
pig	pʰǒʔ	Gong (Suphanburi)
pig	pωʔ¹	Gong (Uthai Thani)
pig	pʰǒʔ	Gong (Suphanburi) - older generation
pig	pʰǒʔ	Gong (Suphanburi) - younger generation
pig	pō	Lawa (Kwê Yai)
pillow	dòʔ	Gong (Suphanburi)
pillow	ku²kʰlɛi³	Gong (Uthai Thani)
pimple, acne	miŋ	Gong (Suphanburi)
pincers	kʰîm	Gong (Suphanburi)
pinch	bek¹cʰak²ʔɔ³	Gong (Uthai Thani)
pinch, nip	kalɛŋ	Gong (Suphanburi)
pit	tuŋ¹	Gong (Uthai Thani)
pit for trapping animals, ask for free labor	tʰuŋ	Gong (Suphanburi)
place	tʰɛi³	Gong (Uthai Thani)
place for sleep, mattress	goŋ	Gong (Suphanburi)
place something under, to dip up, to catch water from a spout	kʰaŋ³dɛ³ʔɔ⁵	Gong (Uthai Thani)
place, at	tʰɔ⁵	Gong (Uthai Thani)
placenta	ḥoŋ-dǔŋ-yɛ́ 	Ugong
placenta	lọ̵̌ŋ yɛ́ʔ 	Ugong
plain, bright	ja³ʔɔ³	Gong (Uthai Thani)
plain, level	wɛ²wɛ¹	Gong (Uthai Thani)
plait	tuʔ¹ʔɔ³	Gong (Uthai Thani)
plane, to furbish, to rub	tʰu⁴ʔɔ⁵	Gong (Uthai Thani)
plant	cʰǔ	Gong (Suphanburi)
plantation	jɨ³dɔʔ²	Gong (Uthai Thani)
plastic bottle	kʰuat	Gong (Suphanburi)
play	lo⁴ʔɔ⁵	Gong (Uthai Thani)
play	lǒʔɔ	Gong (Suphanburi) - older generation
play	loɔ	Gong (Suphanburi) - younger generation
play (musical instrument), curse (oneself)	dɛʔ	Gong (Suphanburi)
pluck	kʰlɛi²ʔɔ²	Gong (Uthai Thani)
plump, stout, well-rounded, big, vigorous but still young (people, plants)	noŋ	Gong (Suphanburi)
plunder	pləŋ²ʔɔ²	Gong (Uthai Thani)
point	du³ma¹ʔɔ⁵	Gong (Uthai Thani)
point at, to tickle	ci³ʔɔ³	Gong (Uthai Thani)
poke	tʰəŋ	Gong (Suphanburi)
police, authorities	tu³mɔŋ²	Gong (Uthai Thani)
porcupine	ko	Gong (Suphanburi)
porcupine	kɔ³	Gong (Uthai Thani)
portion	pʰlɛ̀ʔ	Gong (Suphanburi)
portion	pʰlɛʔ²	Gong (Uthai Thani)
pot	pu¹	Gong (Uthai Thani)
