#	Gloss	Chugpa (Duhumbi)	Lishpa (Khispi)	Sherdukpen (Rupa)	Sherdukpen (Shergaon)	Sartang (Rahung)	Sartang (Khoitam)	Sartang (Jerigaon)	Sartang (Khoina)	Bugun (Dikhyang)	Bugun (Singchung)	Bugun (Wangho)	Bugun (Bichom)	Bugun (Kaspi)	Bugun (Namphri)	Puroik (Bulu)	Puroik (Kojo Rojo)	Puroik (Rawa)	Puroik (Saria)	Puroik (Chayangtajo)	Puroik (Lasumpatte)	Puroik (ZMYYC 1991)	Puroik (Li Daqin 2004)
55	mouth	hɔ-ʨu	hɔ-ʨɔ	nə-ʦʰaw	nə-ʨʰaw	ʨʰ-ʨʰoː ~ ʨʰə-ʨʰoː	ʨʰ-sɔː ~ ʨʰə-sɔː	sɔː	də-ʦʰɛː	siam	spʰun	ʃijam	sem	sem	sem	asəm	səm	səp	səʔ	səʔ	səʔ	mə³³luʈ³³	ɕəʳᵏ⁵⁵
56	name	biŋ	biŋ	ʔazɛŋ	ʔazɛŋ	ʔaʥɛŋ	ʔaʥɛŋ	ʔaʥɛŋ	ʔaʣajŋ ~ ʔaʣɛŋ	əbɛŋ	ebeŋ	ebeŋ	ebeŋ	ebeŋ ~ mbeŋ	ebeŋ	abjɛN	abɹɛn	abɹɛn	abɹɛŋ	abɹɛŋ	abɹɛŋ	a³³bɛʴŋ³³	a³¹braŋ⁵³
57	navel	bɔːdi	bɔːdi	braː	butimuː	brɛː	brɛː	braː	braː	burui	-	-	-	-	-	sim-blyi	roŋrei	roːrei	rueri	ruerei	ruerei	-	a³¹ɬɯi⁵⁵
58	neck	hɛn-tʰɔŋ	hɛn-tʰɔŋ	tʰuŋ-ʦɛ̃ː	takraː	pʰ-tʰuŋ	nə-tʰuŋ	-	nə-tuxĩː	raguŋ juŋã	ejua	japu	ejua	jua	jua	kətuNrin	tuŋrin	tõrɨn	kətjuŋ	kətuŋ	kətjuŋ	kə³³tuoŋ³³	kɯ³¹toŋ⁵⁵
59	new	ʔɔ-kʰɔn	ʔɔ-han	ʔa-fan ~ ʔɔ-fan	u-fan	ʔa-hɛn ~ ʔɛ-hɛn	ʔa-fan	ʔə-hɛn	ʔa-fɛn	-	ovoᵘ	evoŋ	ewã	mvəo	evo	afɛN	afan	afaʲt	afaiʔ	afaiʔ	afaiʔ	a³³faʈ³³	a³¹fuaᵗ⁵⁵
61	nose	hɛm-pʰɔŋ	hɛm-pʰɔŋ	nə-pʰuŋ	nə-pʰuŋ	ma-pʰuŋ	nu-pʰuŋ ~ nə-pʰuŋ	nə-pʰuŋ ~ nə-fuŋ	nə-pʰuŋ	ʔeːpʰuŋ ~ ʔəpʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	epʰuŋ	a-pʰuN	a-puŋ	poŋ	poŋ	apok	apok	pɔk³³	a³¹pauᵏ⁵⁵
62	not	ba-	ba-	bɔ-/bi-/bə-	bɔ-/bi-/bə-	bə-/by-	bə-/by-	bə-/by-	bə-/by-	ɔi	-	-	-	-	-	ba	ba	ba	ba	ba	ba	ba³³	ba³¹
63	old of things	ʔɔ-mɛn	ʔɔ-mɛn	ʔa-man	ʔa-man	ʔa-mɛn	ʔa-man	ʔa-mɛn	ʔa-mɛn	əhɛk	ehe	ehek	ehek	ehek	ehek	aʦɛN	aʧjɛn	aʧet	aʧeiʔ	aʧaiʔ	aʧaiʔ	a³³ʨɛt³³	a³¹ʨeᵗ⁵⁵
64	one	hin	hin	han	han	hɛn	han	hɛn	hɛn	ʦjɔ̃	ʤijo	ʧo	ʤijo	ʤe	ʤe	tyi	kjuː	tjoː	ʧue	hui	hui	ɦui³³	çun⁵⁵
68	path	huma	huma	nəmu ~ ləmu	ləmu	lum ~ lym	lym	hamu ~ ləmu	ham	ləmuə duə	ləmua	ləmua	ləmua	ləmua	ləmua	lim	lim	lɨp	liʔ	puzuɛ	puzuɛ	pə³³zuɛ³³	pɯ³¹zuai⁵⁵
