No.	Gloss	Proto-Western Tibetan	Proto-Western Tibetan (notes)	Western Balti	Eastern Balti	Purik	Ladakhi	Page no.
124	tomorrow	*haske (?)		haske	haske	aske	tʰore	70
125	week	*ʒakbdun		ʒa bdun	ʒak rdun		duŋ dʒak	70
126	month	*lza (?)		lza	lza	lza	lda	70
127	year	*lo		lo	lo	lo	lo	70
128	old	*sɲiŋba	(R10, R29, R36)	sɲiŋma	sɲiŋpa	sɲiŋba	ɲiŋpa (H)	70
129	new	*soma	(R24)	sarpa	soŋa	soma	soma	70
130	good	*rgjalba	(R7)	ljaxmo	ljaxmo	rgjalba (B)	gjala	70
131	damp	*xlVn-	(R2, R26)	xlan		nc	lonpa	70
132	wet	*xʃerpa	(R1)	xʃerpa	ʃerpa	ʃerpa		70
133	dry	*skambo	(R29)	skambo	skambo	skambo	skampo	70
134	long	*riŋmo		riŋmo	riŋbo	riŋmo	riŋmo	70
135	bad	*tʃaŋmen? / *tsokpo?		tʃaŋmen	tʃaŋmen	tsokpo	tsokpo	70
136	hot	*troʔmo	(R13b)	tsʰo	tronmo	ʈonmo (R)	ʈotmo (H)	70
137	cold	*graxmo	(R13-R14, R33)	dʐaxmo	graxmo	daŋmo / graŋmo	taŋmo	70
138	right	*traŋ	(R13b)	traŋ	traŋ	ʈaŋ (R)	ʈaŋ(n)	70
139	left	*xjVnma	(R2)	xjun (O)	sɲen	joma / jun (K)	joma	70
140	near	*ɲemo?		ɲimor	ɲimor	ɲemo	ɲemo	70
141	far	*tʰakriŋs	(R32, R9)	tʰakriŋ	tʰakriŋ	tʰakriŋs	tʰagriŋ	70
142	big	*tʃʰe- (?)		tʃoɣo	tʃoɣo	tʃʰe	tʃʰenmo	70
143	small	*tsʰuntse		tsʰuntse	tsʰuntse	tsʰuntse	tʃʰun	70
144	heavy	*ltʃ-	(R27)	ɬtʃo	ɬtʃʰo	ɬtʃintek	ltʃinte	70
145	light	*jaŋmo		jaŋmo	jaŋmo	jaŋmo	jaŋmo	70
146	above			jar	gjen	katotpo	kʰjetok	70
147	below	*tʰu- / *jok-		tʰuru	tʰur	jok	tʰuglo / jokmo	71
148	white	*karpo		karpo	karpo	karpo	karpo	71
149	black	*nakpo		nakpo	nakpo	nakpo	nakpo	71
150	red	*marpo		marpo	marpo	marpo	marpo	71
151	one	*tʃik		tʃik	tʃik	tʃik	tʃik	71
152	two	*ɲis		ɲis	ɲis	ɲis	ɲis	71
153	three	*xsum	(R1)	xsum	sum	sum	sum	71
154	four	*bʒi	(R4, R22)	bʒi	ʒi	rzbi	ʒi	71
155	five	*lŋa	(T)(R16, R19)	ɣa	ɣa	ɣa	ʃŋa	71
156	six	*truk	(R13b)	truk	trak	truk / ʈuk (R)	ʈuk	71
157	seven	*bdun	(R23)	bdun	rdun	rdun	rduŋ	71
158	eight	*brgjat	(R6, R3, R7)	bgjat	rgjat	rgjat	gjat	71
159	nine	*zrgu	(R11)	rgu	rgu	rgu	zrgu	71
160	ten	*pstʃu	(R3, R6)	ptʃu	hstʃu	ʃtʃu (R, A, B)	stʃu	71
161	eleven	*dʒuktʃik	(R31, R25)	tʃustʃik	tʃustʃik	tʃukʃik (B)	dʒukʃik	71
162	twelve	*dʒugɲis	(R31, R15)	tʃoŋas	tʃoŋas	tʃuŋis	dʒugɲis	71
163	twenty	*ɲiʃu		ɲiʃu	ɲiʃu	ŋiʃu	ɲiʃu	71
164	one hundred	*brgja	(R6, R3, R7)	bgja	rgja	rgja	gja	71
165	who	*su		su	su	su	su	71
166	what	*tʃi		tʃi	tʃi	tʃi	tʃi	71
167	where	*gar-	(R28)	gar	gar	gar	karu	71
168	when	*nam		nam	nam	nam	nam	71
169	how many	*tsam-		tsam	tsamtse	tsamʃik	tsamʃik (H)	71
170	which	*ga-	(R28)	go	go	gadzuk	kazuk	71
171	this (pronoun)	*dju (?)		dju	dju	du		71
172	that (pronoun)	*do (?)		do	do		nc	71
173	these	*djun (?)		djuŋ (O)	djun	djun (B)	di	71
174	those	*don (?)		doŋ	don		nc	71
175	same	*tsoks		tsoksatsoks	tsoksatsox	tsoks	tsoks	71
176	different			loxso	loxso	soso	soso	71
177	whole				nc		nc	71
178	broken	*tʃʰak		tʃʰak	tʃʰak	tʃʰak	tʃʰak	71
179	few	*ɲVntse		ɲintse	ɲuntse	ɲuntsek	ɲuntse	71
180	many	*maŋbo	(R29)	iʃin	ɬtim	maŋbo	maŋpo	71
181	all	*gaŋma		gaŋma	gaŋma	gaŋma	tsʰaŋma	71
182	eat	*zo		zo	zo	zo	zo	71
183	bite	*tʃat (?) / *tʰam (?)		tʃat	tʃat	tʰam (R)	tʃam	71
184	hunger (vb.)	*ltok	(R27)	ɬtok	ɬtok	ɬtok	ltok	71
185	drink	*tʰuŋ		tʰuŋ	tʰuŋ	tʰuŋ	tʰuŋ	71
186	thirst (vb.)	*skoms		skoms	skoms	skoms	skoms	71
187	sleep	*ɲit		ɲit	ŋit	ɲit	ɲit	71
188	lie down	*ɲal-		ɲalepaŋs		ɲal (R)	ɲal	71
189	sit	*duk		duk	duk	duk	duk	71
190	give	*min (?) / *toŋ (?)		min	min	toŋ	toŋ	71
191	burn (tr.)	*-tuk		tuk	potuk	tuk	tuk	71
192	die	*ʃi		ʃi	ʃi	ʃi	ʃi	71
193	kill	*rdaps / *sot		rdaps	rdaps	sot	sot	71
194	fly (vb.)	*pʰur		pʰur	pʰur	pʰur	ur	71
195	walk	*drul	(R13b)	drul	drul	ɖul (B, R)	ɖul	71
196	run	*brgjuk	(R6, R3, R7)	bgjuk	rgjuk	baŋtaŋ	gjuk (Z)	71
197	go	*soŋ		soŋ	soŋ	soŋ	soŋ	71
198	come	*?-oŋ		oŋ	oŋ	joŋ	joŋ	72
199	speak	*zer		zer	zer	zer	zer	72
200	hear	*kos (?) / *ɲun (?)		kos	kos	ɲun	ɲun	72
201	see, look	*tʰoŋ, ltas	(R27)	tʰoŋ	tʰoŋ	ɬtas	ltas	72
202	I	*ŋa		ŋa	ŋa	ŋa	ŋa	72
203	you (informal)	*kʰj??aŋ		kʰjaŋ	kʰjaŋ	kʰjeraŋ	kʰjoraŋ	72
204	you (formal)	*?-eraŋ (?)		jaŋ	jaŋ	jeraŋ (B)	ɲeraŋ	72
205	he	*kʰo		kʰo	kʰo	kʰo (B)	kʰo	72
206	she	*kʰo			nc	kʰo (B)	kʰo	72
207	we (inclusive)	*ŋataŋ		ŋataŋ	ŋataŋ	ŋataŋ	nataŋ	72
208	we (exclusive)	*ŋadʒa (?)		ŋaja	ŋaja	ŋatʃa	ŋaʒa	72
209	you (plural)	*kʰjVdʒa (?)		kʰitaŋ	kʰitaŋ	kʰetʃa (K)	kʰjoʒa	72
210	they	*kʰo??ŋ		kʰoŋ	kʰoŋ	kʰoŋ (B)	kʰoguŋ	72
211	not			met	met	minduk	miduk	72
213	bird	*bja-		bjabu	bjapʰu	bi	tʃipa	72
214	louse	*ʃik		ʃik	ʃik	ʃik	ʃik	72
215	seed	*sa-?		son	son	sa	sa	72
216	bark	*ʃumpraks (?)	(R9)	ʃumplak	ʃumpak	ʃumbraks (B)	tʃaŋmo bakspa	72
217	wing	*ʃokpa		ʃokpa	ʃokpa	ʃokpa	ʃokpa	72
218	knee	*puksmo	(R30-R35, R9, R32)	buxmo	buxma	puksmo	pigmo	72
219	neck	*rdʒiŋma	(R8, R20)	ʒiŋma	dʒiŋma	ske	rdʒiŋma	72
220	liver	*tʃʰinba	(R29, R36)	tʃʰinma	tʃʰinma	tʃʰinba	tʃʰinpa	72
221	know	*ʃes		ʃes	ʃes		ʃes	72
222	stand	*laŋ		laŋ	laŋ	laŋ (B)	laŋ	72
223	swim	*rkjal	(R17, R18)	rkjal	rkjal	ʃkjalt (R)	skjal	72
224	world	*sa (?) / *mjul (?)		mjul	mjul	sa	sa	72
225	mountain	*brak	(R21)	blak	brak	brak	ri	72
226	green	*sŋunpo		sŋunpo	sŋunpo	sŋunpo (B)	ldʒaŋku	72
227	yellow	*xserpo	(R1)	xserpo	serpo	serpo	serpo	72
228	full	*gaŋse (?)		gaŋse	gaŋse	skaŋse	skaŋste	72
229	round			ribu	rilbu	kirkir	kirkir	72
230	turquoise					hju	ju	72
231	yak (male)	*xjak-	(R2)	hjak	xjak	jakpo	jakpo	72
232	yak (female)	*dimo / *brimo	(T)(R13)	hjakmo	xjakmo	dimo	dimo	72
234	fly (n.)	*zbraŋbu	(R5)	bjaŋbu	zbjaŋbu	zbjaŋbu (R)	raŋu	72
235	barley flour	*sŋanpe		traskur	naskur	sŋanpe	sŋanpe	72
236	horse	*rta	(R17, R18)	rta	rta	ʃta	sta	72
