Gloss	Thami (Babre)	Thami (Lapilang)	Thami (Suspa Kshamavati)	Thami (Daduwa)	Thami (Chokati)	Baram	body	head	hair	face	eye	ear	nose	mouth	teeth	tongue	breast	belly	arm/hand	elbow	palm	finger	fingernail	leg	skin	bone	heart	blood	urine	feces	village	house	roof	door	firewood	broom	mortar	pestle	hammer	knife	axe	rope	thread	needle	cloth	ring	sun	moon	sky	star	rain	water	river	cloud	lightning	rainbow	wind	stone	path	sand	fire	smoke	ash	mud	dust	gold	tree	leaf	root	thorn	flower	fruit	mango	banana	wheat (husked)	barley	rice (husked)	potato	eggplant	groundnut	chili	turmeric	garlic	onion	cauliflower	tomato	cabbage	oil	salt	meat	fat (of meat)	fish	chicken	egg	cow	buffalo	milk	horns	tail	goat	dog	snake	monkey	mosquito	ant	spider	name	man	woman	child	father	mother	older brother	younger brother	older sister	younger sister	son	daughter	husband	wife	boy	girl	day	night	morning	noon	evening	yesterday	today	tomorrow	week	month	year	old	new	good	bad	wet	dry	long	short	hot	cold	right	left	near	far	big	small	heavy	light	above	below	white	black	red	one	two	three	four	five	six	seven	eight	nine	ten	eleven	twelve	twenty	one hundred	who	what	where	when	how many	which	this	that	these	those	same	different	whole	broken	few	many	all	eat	bite	hungry	drink	thirsty	sleep	lie (down)	sit	give	burn	die	kill	fly (v.)	walk	run	go	come	speak	hear/listen	look	I	you (informal)	you (formal)	he	she	we (inclusive)	we (exclusive)	you (plural)	they
wɑcɑ	wɑcɑ	wɑcɑ	wɑcɑ	wɑcɑ	hocca
om	ɑɦum	ɑɦum	ɑum	ɑum	ohom
mɑmɑʃyɑ	mɑmɑʃyɑ	mɑmɑʃyɑ	ʃyɑ	ʃyɑ	sja
meʃɑ	meʃɑ	meʃɑ	meʃyɑ	miʃyɑ	bhəisi (IA loan)
olon	olon	olʌn	nunu	nunu	nənu
nɑru	nɑru	nɑru	nɑru	nɑru	ujuŋ
lime	lime	limek	leme	lime	pitik
ʈuɽi	ʈuɽi	ʈuɽi	culi	culi	mi chja
kucu	kucu	kucu	kucu	kucu	a kja
rul	rul	rul	rul	rul	pəi hu
mɑkɑr	mɑkɑr	mɑkɑr	yu	yu	pəi huk
ʈinini	ʈinini	ʈinini	lʌkʰʌʈoʈo	lɑmkʰuʈʈe	lamkhuʈʈe (IA loan)
ʈiko	ʈiku	ʈiku	cukku	cuku	anap
mɑkɑrpɑpɑ	mɑkɑrpɑpɑ	mɑkɑrpɑpɑ	jrɑmpʰɑl	jʌrɑmpɑl	dzənna
nɑme	nɑme	nɑme	nɑme	nɑme	u men
mi	mi	mi	mi	mi	bal
cɑmɑicɑ	cɑmɑicɑ	cɑmɑicɑ	cɑmɑicɑ	cɑmɑicɑ	mama
ɦocɑ	ucɑ	ɦucɑ	ɦuccɑ	ɦucɑ	uca
ɑpɑ	ɑpɑ	ɑpɑ	ɑpɑ	ɑpɑ	papa
ɑmɑ	ɑmɑ	ɑmɑ	ɑmɑ	ɑmɑ	ama (IA loan)
bubu	bubu	bubu	bubu	bubu	dadze (IA loan)
ɦu	ɦu	ɦu	ɦu	ɦu	ale
tete	tete	tete	tete	tete	didi (IA loan)
ɦumi	ɦomi	ɦumi	ɦumi	ɦu	abi
cɑ	cɑ	cɑ	cɑ	cɑ	ucuwa
cɑmɑi	cɑmɑi	cɑmɑi	cɑmɑi	cɑmɑi	ucuməi
lɑwɑ	ʈʰoɽe	lɑwɑ	lɑwɑ	lɑwɑ	ukəi
umɑ	umɑ	umɑ	umɑ	umɑ	uməi
ʃɑrɑ	ʃɑrɑ	cɑɦucɑ	ʃɑrɑ	cɑ	papaca
ʃɑrmɑ	ʃɑrmɑ	cɑmɑicɑ	ʃyɑrmi	cɑmɑi	mamaca
unise	unise	unise	ʃyɑŋ	unise	unis
ʈɑɦe	ʈɑɦe	ʈɑe	cyɑe	cyɑ	rat (IA loan)
bʌcinʈe	bʌcinʈe	bʌsinʈe	bʌsinʈe	bɑʃe	hamdzaŋ
unise	unise	unise	unise	unise	diuso (IA loan)
ŋyoɽiŋ	ŋyoɽi	ŋyʌɽiŋ	nyõɽi	cyɑtʰɑn	hole
miryɑŋ	miryɑŋ	miryɑŋ	merɡʰyɑŋ	merɡʰyɑŋ	minja
yɑŋ	yɑŋ	yɑŋ	yɑŋ	yɑŋ	təja
bɑʈʈʰe	bɑʈʈʰe	bɑʈʰe	bɑʃe	bʰʌĩse	hogei
ɦʌptɑ	ɦʌptɑ	ɦʌptɑ	loʔʃyɑŋ	sɑtɑdin	həpta (IA loan)
mʌinɑ	mʌinɑ	mʌɦine	sumcpʃyɑŋ	mʌinɑ	məina (IA loan)
kɑle	kɑle	kɑle	dɑrɑ	bʌrsʌ	bərsə (IA loan)
kʰɑru	kʰɑru	kʰɑru	kʰɑru	kʰɑru	cəŋpa
nɑke	nɑke	nɑkɑ	nɑkɑ	nɑkɑ	kawoi
ɑprɑ	ɑprɑ	ɑprɑ	kʌstɑ	ɑprɑ	kisen
mɑʔɑprɑ	mɑʔɑprɑ	ɦijebɑ	mɑjɑdu	mɑʔɑprɑ	məsen
pʰodu	pʰodu	pʰodu	pʰodu	bʰijɑiŋɑn	kjasun
ɡɑŋdu	mɑpʰodu	pʰʌŋpʰʌŋ	gʌŋdu	mɑbʰijɑi	sukhkha (IA loan)
ʌlʌmɡɑ	ʌlʌmɡɑ	ʌlʌmɡɑ	ʌlʌmɡɑ	ʌlʌmɡɑ	alok
ucʰiɡɑ	ucʰiɡɑ	ucʰikɑ	ucʰiɡɑ	ucʰiɡɑ	ikuri
ɑdum	ɑdum	ɑdum	ɑdum	ɑdum	kewon
ʈilɑ	ʈilɑ	ɑjik	iji	cilɑŋɑn	kjasun
cɑkʰur	cɑkʰur	cɑkʰur	cɑkʰur	dɑɦine	daine (IA loan)
kʰolɑ	kʰolɑ	kʰolɑ	kʰolɑ	debre	debre (IA loan)
kʰer	kʰer	kʰerte	kʰereŋ	cʰeute	igin
ʌlʌmtʰɑ	ʌlʌmtʰɑ	ʌlʌmtʰɑ	ʌlʌmtʰɑ	ɑlɑmtʰɑ	kalok
jekʰɑ	jekʰɑ	jekʰɑ	jekʰɑ	jʰokɑ	alam
ucyɑ	ucyɑ	ucɑcɑ	ucyɑncɑ	ecenɑ	ikine
ɡʌruŋ	ɡʌruŋ	ɡɑnunidu	gʌrum	ɡʌruŋ	gegruŋ (IA loan)
ɦʌluŋ	ɦʌluŋ	pʰinpʰincɑ	ɦʌluŋ	ɦʌluŋ	həlka (IA loan)
ɦyute	ɦyute	ɦyute	ɦyute	ɦyobbi	khuŋ
nʰɑte	nʰɑte	nʰɑte	nʰɑnɑi	nɑbi	hjaŋ
ubo	ubo	ubo	ubo	obo	gjabo
kiji	kiji	kiji	kiji	kiji	ciliŋ
ɖiŋɖiŋ	ɖiŋɖiŋ	ɖiŋɖiŋ	ɖiŋɖiŋ	keret	phəija
di	di	di	di	de	de
nis	nis	nis	nis	nis	nis
sum	sum	sum	sum	sum	som
