No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
1	sky (a)	天(天空)	*mo²di²ma³	n̩²¹di²¹ma³³	n̩²¹dɛ²¹	mə²¹		i⁵⁵sɛ⁵⁵mo³³	a³³mi²⁴mo³³	ŋ̩²¹kɤ̪²¹
1	sky (b)	天(天空)	*mo²daŋ¹				n̩²¹da²¹mo³³			
2	sun	太阳	*a¹mo²ɣi¹	a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³		a⁵⁵mə²¹ji²⁴mɔ³³	a³⁵mv̩²¹hĩ⁴⁴mo³³	a⁵⁵mi⁵⁵	a³³mi²⁴	a⁵⁵m̩²¹tsʰa³³
3	sunshine	阳光	*a¹mo²tsʰa¹	a⁵⁵n̩²¹tsʰa⁵⁵	n̩²¹tsʰa²⁴	a⁵⁵mə²¹tsʰɔ⁵⁵	a³⁵mv̩²¹tsʰo³³	a⁵⁵mi⁵⁵kʰi⁵⁵pʰɛ³³	a²⁴tsʰo²⁴sɛ⁵⁵jo²¹	a⁵⁵m̩²¹tsʰa³³sai⁵⁵
4	moon	月亮	*xa³ba³	xa³³ba³³kʰɨ⁵⁵	xa³³ba³³kʰə³³	xa³³bɔ³³bɔ³³	a²¹bu²⁴ba³³mo³³	xo³³bo³³mo³³	xa⁵⁵bo³³	xa³³ba³³kʰɨ³³
5	star	星星	*kjɛ¹	kɨ⁵⁵	kɛ²⁴za²¹	kɛ˞⁵⁵	kɛ˞⁴⁴o³³	a⁵⁵kɛ⁵⁵kɛ⁵⁵	a²⁴ki⁵⁵jo³¹	kɛ˞³³
6	cloud	云	*a¹mo²ti¹	a⁵⁵n̩²¹ti⁵⁵	ti²⁴	ti⁵⁵tɕʰi³³	di⁵⁵dɛ˞³³	mi⁵⁵kɨ²¹	mə²⁴	mi⁵⁵kʰɔ̪³¹
7	wind	风	*a¹mo²hi¹	a⁵⁵m̩²¹ɕy⁵⁵	n̩²¹ɕi²⁴	mə²¹ɕi⁵⁵	a³⁵mv̩²¹hĩ²⁴	a⁵⁵mi²¹fi⁵⁵	a²⁴xi²⁴	mi²¹he³³
8	rain	雨	*a¹mo²ha¹	a⁵⁵ŋ̩²¹ha⁵⁵	a⁵⁵mu²¹hã³³	a⁵⁵mə²¹xɔ⁵⁵	a³⁵mv̩²¹hõ²⁴	a⁵⁵mi²¹xo⁵⁵	a²⁴xo²⁴	a⁵⁵m̩²¹ha³³
9	lightning	闪电	*a¹mo²bja̠ᶫ	a⁵⁵m̩²¹ba̠²¹	m̩²¹pɛ⁵³	a⁵⁵mə²¹biɛ⁴²	a³⁵mv̩²¹biɛ˞³³	a⁵⁵m̩²¹bæ²¹	a³⁵ba̠²¹	a⁵⁵m̩²¹bɛ˞⁴²
10	thunder	雷	*a¹mo²go²	a⁵⁵ŋ̩̩²¹ɣə²¹	a⁵⁵mv̩²¹ɣo²¹	mə²¹gə²¹ti²¹	a³⁵mv̩²¹gõ²¹	ŋ̩²¹gu²¹		m̩²¹go²¹
11	rainbow (a)	彩虹	*a¹mo²se¹ɣi¹daŋ¹		vu²⁴sa³³	a⁵⁵mə²¹sɛ⁵⁵ji³³dɔ³³	a³⁵mv̩²¹ʂɛ⁴⁴ɣɨ⁴⁴do³³	a⁵⁵sɛ⁵⁵ɣɨ³³	a²⁴fio⁵³ɣɨ²⁴	ɣɨ⁴⁵bɨ²¹ɕio⁵⁵lo⁴²
11	rainbow (b)	彩虹	*a¹mo²tsʰa¹ɣi¹daŋ¹	a⁵⁵n̩²¹tsʰa⁵⁵ʔɲɛ̠³³də⁵⁵						
12	snow	雪	*va²	va̤²¹	va²¹	ɣɔ²¹	ɣʷo²¹	mi⁵⁵pʰu⁵⁵	vo³³ɕɛ²¹	va²¹
13	water (a)	水	*ɣi¹	ɣɨ⁵⁵	ɣɨ²⁴	ji²⁴	ɣɨ²⁴	ɣɨ⁵⁵		ɣɨ³³
13	water (b)	水	*gje̠ᴴ					ŋ̩³³gɛ̠³³	ŋ²⁴gi³³	
14	fog	雾	*mu¹	mu⁵⁵ɣɨ³³	ti²⁴kv̩²¹	mə²⁴ə²¹gə²¹	a³⁵mv̩²¹mi³⁴dzɿ³³kʰv̩²¹	mi⁵⁵kɨ²¹	mə²⁴	mi⁵⁵kʰɔ̪³¹
15	frost	霜	*ʔni¹pʰu¹	i⁵⁵fv̩⁵⁵	ni⁵⁵fv̩²⁴	i⁵⁵fɤ̪⁵⁵	ji³⁵pʰᶠv˞̩⁵⁵	mi⁵⁵pʰu⁵⁵	mi²⁴pʰv̩²⁴	i⁵⁵fv̩³³
16	dew	露	*kjy²	ky̤²¹	tɕy²¹	tsə²¹ji²⁴	tɕy²¹ɣɨ²⁴	tsɿ²¹ɣɨ⁵⁵	tsɿ²¹ɣɨ²⁴	lu³³suei²¹
17	hail	雹(雹暴)	*ʔlo̠ᴴha¹	ʔlo³³ha⁵⁵	lv̩³³	tsa⁵⁵bu⁵⁵lu⁵⁵	ɣʷo²¹sɛ˞²¹	ko²¹sɛ²¹	vo²¹pʰoŋ⁵³	va²¹
18	earth	地(大地/草地)	*ʔmi¹di²	mi⁵⁵	mi²⁴di²¹	mi²⁴	n̩³⁵³di²¹	mi⁵⁵mo³³loʔ³³	mi²⁴kʰa²¹	ai³³tsʰɿ²¹bə³³
19	soil	土(干(土壤)	*e²tsʰi²	i²¹tsʰɿ²¹	i²¹tsʰɿ²¹	ei²¹tɕʰi²¹	ai²¹tsʰɿ²¹	n̩²¹tɕʰi²¹na̠³³	i²⁴tɕʰi²¹	mi³³
20	mud	泥(巴)	*e²haŋ²	i²¹hə²¹	i²¹tsʰɿ²¹	ei²¹tɕʰi²¹	ɣɨ³⁵tsʰɿ²¹ha²¹	u³³na̠³³	i²⁴tɕʰi²¹na̠ʔ²¹	ai³³tsʰɿ²¹la⁵³
21	river (a)	河	*ɣi¹dzaŋ²/ma³				ɣɨ³⁵dʐa²¹	ɣɨ⁵⁵dza²¹	ɣɨ²⁴mo³³	ɣɨ⁵⁵xo³¹
21	river (b)	河	*laŋ¹dzaŋ²			la²⁴dza²¹				
22	ditch (a)	沟	*ɣi¹kʰa²	ɣɨ⁵⁵kʰḁ²¹	ɣɨ²⁴kʰa²¹	ji²⁴kʰa²¹	ɣɨ³⁵kʰo²¹	ɣɨ⁵⁵kʰo²¹	o²⁴kʰo²¹	wv̩³³kv̩³³
22	ditch (b)	沟	*laŋ¹ka̠ᶫ	lu⁵⁵ka̠²¹					na²¹kʰoŋ⁵³	
23	pond	池塘	*ɣi¹by³	ɣɨ⁵⁵by³³	ɣɨ²⁴by³³	ji²⁴bə³³	ɣɨ³⁵dv̩˞²¹	ɣɨ⁵⁵dəŋ³³	ɣɨ²⁴la²¹bo³³	a²¹bə³³
24	puddle	小池塘	*ɣi¹by³za²		ɣɨ²⁴by³³za²¹	bə³³zɔ²¹	ɣɨ³⁵dv̩˞²¹dɛ˞³³zo²¹	ɣɨ⁵⁵dəŋ³³jo²¹	ɣɨ²⁴la²¹bo²²jo⁴²	a²¹bə³³za²¹
25	well inside	井	*tsɛ³du²	tsɛ³³də²¹		tɕɛ³³dɤ̪²¹				
25	well outside	井	*ɣi¹du²	ɣɨ⁵⁵də²¹	ɣɨ²⁴dv̩²¹	ji²⁴dɤ̪²¹	ɣɨ³⁵dv̩˞²¹	ɣɨ⁵⁵du²¹	na²¹bo²⁴	ɣɨ⁵⁵tɕin²¹
26	mountain	山(土山)	*kʰu¹dʒɛ²	kʰə⁵⁵dʑɛ̤²¹, kʰə⁵⁵tɕɛ̤²¹	kʰv̩⁵⁵dʐv̩²¹	kʰɤ̪⁵⁵dza²¹	vv̩˞³⁵la²¹, kᶠʰv˞̩⁴⁵lɛi²¹	kʰu⁵⁵dʒa²¹	kʰv̩²⁴dʑɛ²¹	tə⁵⁵ta³¹
27	cliff	悬崖	*ɣɛ̠̠ᶫ	va̠²¹tsɿ̠²¹	lu²⁴di³³; vɛ⁵³tsɿ³³	wa⁴²bɔ²¹tʰɛ⁵⁵	ɣɛ˞̠³³dʑi²⁴	va²¹kʰu²¹	va̠²¹tɕi²¹	i⁵⁵kʰɛ˞⁴²
28	valley	(山)谷	*laŋ¹ka̠ᶫ	kʰə⁵⁵dʑɛ̤²¹tsɿ³³	lu²⁴kɑ⁵³	la²⁴kɛ⁴²tɕʰi³³	la²⁴qa³³	la⁵⁵ka²¹mo³³	la²⁴ka²⁴	li³³tɛ˞³³
29	cave	(山)洞	*kʰu¹du¹	sy²¹kʰə⁵⁵	kʰv̩⁵⁵dʐv̩²¹kʰv̩²⁴	kʰɤ̪⁵⁵dɤ̪²¹	saŋ²¹kʰv̩⁵⁵mɛi³³	kʰu⁵⁵dʒa²¹kʰu⁵⁵	ɛ²¹kʰv̩²⁴	
30	hole (in ground)	洞	*kʰu¹	kʰə⁵⁵də⁵⁵	kʰv̩²⁴	kʰɤ̪⁵⁵dɤ̪²¹mi³³xɛ³³	toŋ⁵⁵toŋ⁵⁵mɛi³³	ʝɛ²¹kʰu⁵⁵	ɛ²¹kʰv̩²⁴	tu⁵⁵tu⁵³
31	gold	金	*ʃɛ¹	ɕɛ⁵⁵	ʂɛ˞²⁴	sɛ⁵⁵	ja³³ʂɛ˞⁵⁵	sɛ⁵⁵	ɕɛ²⁴	tsai³¹sɛ˞³³
32	silver	银	*pʰu¹	fv̩⁵⁵	fv̩²⁴	fɤ̪⁵⁵	pʰᶠv˞̩⁴⁵³	pʰu⁵⁵	na²⁴dʑi²¹	tsai³¹pʰu³³
33	iron (ore)	铁	*xy¹	ɕy⁵⁵	ɸu²⁴	xə⁵⁵	xv̩⁴⁵³	xə⁵⁵	xə²⁴	xɨ³³
34	tin	锡			gɨ²⁴	ɕi⁵⁵pa²¹tɛ²¹, la³³	tʰi³³	la³³	gɨ²¹	ɕi³³
35	coal	煤			mei²⁴	mei²¹tʰa³³	mɛi²¹tʰaŋ⁵⁵	mei²¹	ɕi³³mi²¹	mei²⁴
36	stone	石头	*ka¹lu̠ᴴ	ka⁵⁵lə̠³³,ka⁵⁵lə̠³³tsʰɿ³³	lu⁴⁴tsʰɿ⁴⁴	ku⁵⁵lu³³	ɣɛ˞̠³³ʔø³³	a⁵⁵lo³³kʰɛ³³	o²⁴lu³³kʰɛ³³	kou⁵⁵lu⁵⁵
37	sand	沙	*ʃa³	ʂa³³tsɿ³³	lu⁴⁴tsʰɿ⁴⁴mu³³	sɔ³³tsɿ³³	ɣɛ˞̠³³ʂa³³	a⁵⁵lu³³sei³³	sa⁵⁵i²¹ɕɛ²¹, sa⁵⁵ɕɛ²¹	ɕa³³
38	fire	火	*a¹to̠ᶫ	a⁵⁵to̠²¹	a⁴⁴tu⁵⁵	a⁵⁵tu̠⁵²	a³³tu³³	a⁵⁵toʔ²¹	a²⁴tu̠ʔ³¹	a⁵⁵tu⁵⁵
39	flame	火焰	*a¹to̠ᶫʔly¹	a⁵⁵to̠²¹ʔly⁵⁵	a⁴⁴tu⁵⁵ba³³	a⁵⁵tu̠⁵²lə⁵⁵	a³³tu³³li⁵³	a⁵⁵to²¹lə⁵⁵	a²⁴tu̠³¹xə²¹	a⁵⁵tu⁵⁵pʰai⁵⁵
40	smoke	烟(炊烟)	*ʔmu²kʰo²se̠ᶫ	ŋ̩²¹kʰə̤²¹	n̩²¹kᶠʰɨ²¹	mi³³kʰə²¹sei⁴²	kʰv˞²¹mɤ̪²¹	ŋ̩²¹kɨ²¹sɿ²¹	a²⁴tu̠³¹ai²¹	mi⁵⁵kʰɔ̪³¹
41	night	夜	*he̠ᶫ	hɛ̠²¹	hɛ̃⁵⁵	xei⁴²	xai³³	xɛ̠²¹		xai⁵⁵
42	day	天	*ʔni³	ʔɲɛ³³	ĩ³³	nɛ³³	ĩ³³	ni³³	ni³³	ĩ³³
43	today	今天	*i²ʔni³	ʔɲiŋ³³,iŋ³³	i̠⁴³na³³	i²¹nɛ³³	ĩ³³ɲĩ³³	i²¹ni³³	i²¹mi²⁴	n̩²¹ti⁵⁵ĩ³³
44	yesterday	昨天	*a²ʔni³	aŋ³³	an³³, a³³na³³	a²¹nɛ³³	a²¹ɲi³³	a²¹ni³³	a²¹mi²⁴	a²¹ni³³
45	day before yesterday	前天	*ʃi̠ᴴʔni³	ʂəŋ³³	ʂɛ̃n³³, ʂʅ³³na³³	sɿ³³nɛ³³	ʂʅ³³ɲi³³	ɕi³³ni³³	sɿ⁵⁵mi²⁴	sɿ³³ni³³
46	three days ago	大前天	*ʃi̠ᴴɣu²ʔni³	ʂʅ³³wuŋ²³	ʂʅ³³woŋ³³, ʂʅ³³wu²¹	sɿ³³wu²¹li³³nɛ³³	ʂʅ³³wu²¹ɲi³³	ɕi³³wu²¹ni³³	sɿ⁵³sɿ⁵⁵mi²⁴	sɿ³³wu²¹ni³³
47	four days ago	四天前								sɿ³³lu³³ni³³
48	tomorrow	明天	*a²gy¹ʔni³	a²¹gy⁵⁵n̩³³	ɛ²¹goŋ⁴³	a²¹gə²⁴nɛ³³	ɛ²¹gu²⁴ɲi³³	a²¹gɨŋ⁵⁵	a²¹gi²¹ni²⁴	ɛ²¹gɨ³³mi³³
49	day after tomorrow	后天	*tsʰa¹pʰe̠ᴴʔni³	tsʰa⁵⁵pʰɛm³³	tsʰa⁴⁴pʰɛ⁴⁴	tsʰa⁵⁵pe³³nɛ³³	tsʰa⁵⁵pʰi³³ɲi³³	tsa⁵⁵pʰin³³	tsa³³pʰɛ³³ni²⁴	tsʰa⁵⁵pe⁵⁵ni³³
50	three days from now	大后天	*a²pʰe̠ᴴʔni³	a̤²¹pʰɛm³³	a²¹pʰe⁴⁴	a²¹pʰe³³nɛ³³	a²¹pʰi³³ɲi³³	a²¹pʰin³³	xa²¹pʰɛ²¹ni²⁴	a²¹pʰe⁵⁵ni³³
51	four days from now (a)	四天后	*a²ɣo³ʔni³		ɛ²¹ɣõ³³					a²¹wu³³ni³³
51	four days from now (b)	四天后	*a²pa³ʔni³					a²¹paŋ³³		
51	four days from now (c)	四天后	*a²mɛ¹ʔni³				a²¹mɛ˞²⁴ɲi³³			
52	year	年	*kʰo̠ᶫ	kʰo̠²¹	kʰo⁵³	kʰo⁴², kʰu⁴²	kʰo³³	kʰuʔ²¹	kʰu̠²¹	kʰo⁵⁵
53	new year	新年	*kʰo̠ᶫxɨ̠ᶫ	kʰo̠²¹xɨ²¹	kʰo⁴³xɨ⁵³	kʰo⁴²ɕi⁴²	kʰo³³kʰɨ²¹	kʰu²¹xɨ²¹	kʰu̠⁴²xɨ²¹	kʰo⁵⁵kʰo⁵⁵lɛ⁴²
54	this year	今年	*tʃʰi²ni̠ᴴ	tʂʰʅ²²ɲiɛ̠³³	tʂʰʅ²¹ni⁴⁴	tsɿ²¹nei³³	tʂʰʅ³³nɛi̠³³	tɕʰi²¹ni̠³³	tsʰɿ²¹nɨ̠³³	tɕʰi⁵⁵ĩ⁵³
55	last year	去年	*a²ni̠ᴴ	a̤²¹ɲiɛ̠³³si⁵⁵	a²¹ni⁴⁴	a²¹nei³³sə⁵⁵	a²¹nɛi̠³³	a²¹ni̠³³	a²¹nɨ̠³³	a²¹ĩ⁵³
56	year before last	前年	*ʃi̠ᴴni̠ᴴ	ʂʅ³³ɲiɛ̠³³si⁵⁵	ʂʅ⁴⁴ni⁴⁴sɛ³³	sɿ³³nei³³sə⁵⁵	ʂʅ³³nɛi̠³³	ɕi³³ni̠³³	sɿ⁵⁵nɨ̠³³	sɿ³³i⁵³
57	three years ago	大前年	*ʃi̠ᴴɣu²ni̠ᴴ	ʂʅ³³wu²¹ɲiɛ̠³³si⁵⁵	ʂʅ⁴⁴wu²¹ni⁴⁴	sɿ³³wu²¹nei³³sə⁵⁵	ʂʅ³³wu²¹nɛi̠³³	ɕi³³wu²¹ni̠³³	sɿ⁵³sɿ⁵⁵nɨ̠³³	sɿ³³wu²¹i⁵³
58	four years ago	四年前	*a²ɣu²ni̠ᴴ		a³³xɛ²¹ni⁴⁴	li³³kʰu²¹n̩²¹sə⁵⁵	ʂʅ³³wu²¹nɛi̠³³	lɨ³³kʰu²¹wo²¹sɛ⁵³	li³³kʰu²¹gɨi⁵³	sɿ³³lu³³i⁵³
59	next year	明年	*ʔna²he̠ᶫ	na²¹ɲ̥ɛ̠²¹si⁵⁵	nɛ²¹hɛ⁵³	na²¹xei⁴²	no²¹xai³³	nɛ²¹xɛ²¹	na³³xi²¹	na²¹xai⁵³
60	year after next	后年	*na(ŋ)¹ni̠ᴴ	nə⁵⁵ɲɛ̠³³si⁵⁵	nu⁴⁴ni⁴⁴	nɔ²⁴nei³³	no²⁴ɲi̠³³	no⁵⁵niʔ³³	na⁵⁵nɨ³³	nu⁵⁵ĩ⁵³
61	three years from now	大后年	*na(ŋ)¹ɣu²ni̠ᴴ	nə⁵⁵wu²¹ɲɛ̠³³si⁵⁵	ɛ²¹xɛ⁵⁵ni⁴⁴	no²⁴wu²¹nei³³	no²⁴wu²¹ɲi̠³³	no⁵⁵mo²¹niʔ³³	na⁵⁵tɕʰi²⁴	nu⁵⁵wu²¹ĩ⁵³
62	four years from now	四年后			ɛ²¹wu³³ni⁴⁴					nu⁵⁵lu³³ĩ⁵³
63	daytime	白天		iŋ³³si⁵⁵	n̩²¹lu³³sɛ³³	mɔ⁴²mɔ³³ka⁵⁵	ŋ²¹gɤ̪²⁴lɛ²¹	la̠³³	mo³³lua²⁴	mi²¹li²¹ka³³
64	dawn	黎明		a⁵⁵n̩²¹tʰi³³la⁵⁵	n̩²¹tʰɛ²¹gɨ³³li⁴⁴gɨ³³la³³	i⁵⁵li⁵⁵va³³la³³	a³⁵mv̩²¹tʰɛi³³	xo³³məŋ²¹soŋ⁵³	a²⁴tʰv̩²¹bo³³lo²⁴	n̩²¹tʰai³³ɲa³³
65	morning (early)	早晨	*da²ne̠ᶫ		da²¹nɛ⁵⁵	nei⁴²nei⁴²xə⁵⁵	ba²⁴dzo²¹lɛi²¹	xɨ³³pɨ⁵⁵	ni²¹ɕɛ²⁴tʰi³³ni²¹	pa³³tsu²¹
66	noon	中午	*dza¹dʒi²dza²	dza⁵⁵dʑe³³dza²¹va³³	dza⁵⁵tɕʰi²¹dza²¹la³³	dzɔ²⁴ji³³dzɔ²¹xa³³	dzo²⁴i³³dzo²¹kv̩²⁴		va⁵³ŋai⁵³	dza²¹i³³dza²¹kɛ˞³³
67	afternoon	下午	*a¹mo²kʰɨ̠ᶫ	a⁵⁵ŋ̩̩²¹kʰɨ̠²¹ji⁵⁵	a⁵⁵mu²¹kʰə⁵⁵	dzɔ²⁴ji³³dzɔ²¹ji²¹	a³⁵mv̩²¹kʰɨ³³li³³	la²¹vã⁵⁵	la²¹vaŋ⁵³, aŋ²⁴kʰɨ̠²¹	n̩²¹kʰɨ⁵³
68	dusk/evening	黄昏	*a¹mo²ɣɨ¹	a⁵⁵ŋ̩̩²¹ɣɨ⁵⁵ø⁵⁵ji⁵⁵	a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³	a⁵⁵mə²¹ɣə²⁴tɕia³³	a³⁵mv̩²¹ɣɨ²⁴	la²¹vã⁵⁵wo²¹vɛ³³		miɛ˞⁴⁵tə⁴²ɲa³³
69	night(time)	夜(里)/黑夜	*mo²kʰɨ̠ᶫse¹	ŋ̩²¹kʰɨ̠²¹si⁵⁵	n̩²¹kʰɨ⁵³ɕi³³	a⁵⁵mə²¹kʰə⁴²	ŋ̩²¹kʰɨ³³lɛi²¹	ŋ̩²¹kɨ²¹sɿ⁵⁵	ŋ̩³³kə²¹ɕi²⁴	sa³³pʰi³³
70	this evening	今晚	*i²mi¹	i²¹mi⁵⁵	i²¹mi²⁴	i²¹mi²⁴	y²¹my²⁴	ɪ²¹mi⁵⁵	i²¹mi²⁴la²¹vaŋ⁵³	n̩²¹ti⁵⁵sa³³pʰi³³
71	this morning	今早	*i²sy¹ny¹	i²¹sy⁵⁵ny⁵⁵	y²¹ɕy⁴⁴ny⁴⁴	i²¹sə⁵⁵nə⁵⁵	y²¹sy⁴⁴ny⁴⁴	e²¹nə⁵⁵	i²¹ɕi²²ni²⁴	i²¹sə³³nə³³
72	time	时间	*tʰa²		tʰa²¹	ja³³dzɿ²⁴		jɛ²¹jaŋ²¹	ɛ²¹zaŋ⁵³	tɕʰi³³
73	cow	牛	*a¹ni²	a⁵⁵ŋ̩²¹	an⁵¹	nɛ²¹	a³⁵ɲi²¹	a⁵⁵ni²¹	a²⁴ni²¹	a⁴⁵ni⁵¹
74	buffalo (water)	水牛	*ɣo¹ni²	v̩⁵⁵ŋ̩̩²¹	vɨn⁵¹		vv̩³⁵ɲi²¹	ɣɨ⁵⁵ni²¹	xɨ²⁴ni²¹	ve⁴⁵ni⁴²
75	field cow	黄牛	*a¹ni²ʃɛ¹	a⁵⁵ŋ̩²¹	an⁵¹ʂɛ˞²⁴	la²¹ni⁵⁵	a³⁵ɲi²¹ʂɛ˞⁵³	a⁵⁵ni²¹	a²⁴ni²¹	a⁴⁵ni⁵³sɛ˞³³
76	horse	马	*a¹mju²	tʃa̠ŋ²¹	a⁴⁴mu²¹	mɤ̪²¹	a³⁵mɤ̪˞̪²¹	a⁵⁵mu²¹	a²⁴mə²¹	a⁵⁵mu²¹
77	pig	猪	*a¹ve̠ᶫ	a⁵⁵vɛ̠²¹	a³³ve⁵³	vei⁴²	a³³vɛi̠³²	a⁵⁵vɛ̠²¹	a²⁴vi̠ʔ³¹	a⁴⁴vei⁵³
78	sow	母猪	*a¹ve̠ᶫma³	a⁵⁵vɛ̠²¹ma³³ky³³	a³³ve⁵⁵ma³³ko³³	vei⁴²mu³³ku³³	a³³vɛi̠³³mv̩³³kv̩³²	a⁵⁵vɛ̠²¹mo³³	a²⁴vi̠ʔ³¹zo²¹mo³³	a⁴⁴vei⁵⁵ma³³
79	piglet	小猪	*a¹ve̠ᶫza²	a⁵⁵vɛ̠²¹za̤²¹	a³³ve⁵⁵za²¹	vei⁴²zɔ²¹	a³³vɛi̠³³zo²¹	a⁵⁵vɛ̠²¹jo²¹	a²⁴vi̠ʔ³¹jo³¹	a⁴⁴vei⁵³za³¹
80	boar	公猪	*a¹ve̠ᶫpa̠ᶫ	vɛ̠²¹pa̠²¹	a³³ve⁴⁴pa⁵³	vei⁴²lu⁵⁵	a⁴⁴vɛi̠³³po³³	a⁵⁵vɛ̠²¹xæ⁵⁵	a²⁴vi̠ʔ³¹ɛ³³po²¹	a⁵⁵vei⁵³pa⁵³
81	wild boar (a)	野猪	*a¹ve̠ᶫkaŋ²		a³³ve⁵⁵ko²¹		a⁴⁴vɛi̠³³ka̠²¹	a⁵⁵vɛ̠²¹te̠²¹	a²⁴vi̠ʔ³³ka̠ʔ²¹	
81	wild boar (b)	野猪	*e²ve̠ᶫ	i̤²¹vɛ̠²¹		e²¹vei⁴²				ai²¹vei⁵³
82	goat	山羊	*a¹tʃʰi̠ᶫ	a⁵⁵tʂʰʅ̠²¹	a³³tʂʰʅ⁵³	a⁵⁵tsʰɿ⁴²	a³³tʂʰʅ³³	a⁵⁵tɕʰi̠²¹	a²⁴tɕʰio⁴²	a⁴⁴tsʰɿ⁵³
83	ram	公羊	*a¹tʃʰi̠ᶫpa̠ᶫ	a⁵⁵tʂʰʅ̠²¹pa̠²¹	a³³tʂʰʅ⁴⁴pa⁵³	a⁵⁵tsʰɿ⁴²lu⁵⁵	a³³tʂʰʅ³³po³³	a⁵⁵tɕʰiʔ²¹pʰi⁵⁵	a²⁴tɕʰio⁴²ɛ³³po̠ʔ²¹	a⁴⁴tsʰɿ⁵⁵pa⁵³
84	sheep	绵羊	*a¹ʒaŋ¹	a⁵⁵ʐu⁵⁵	a⁵⁵ʐu⁴⁴, a³³ʐu²⁴	ja²⁴	a²¹ja²⁴		a²⁴za²⁴	ɲa³³
85	dog (a)	狗	*a¹kʰi²	a⁵⁵kʰɨ̥²¹	a⁵⁵kʰɨ²¹	tɕʰi²¹	a³⁵kʰɨ²¹			a⁵⁵kʰɨ²¹
85	dog (b)	狗	*a¹na²					a⁵⁵no²¹	a²⁴no̠ʔ²¹	
86	cat (a)	猫	*a¹ne¹	a̤²¹ni⁵⁵	a²¹ni⁴⁴		a²¹ɲi²⁴		kʰi³³nɛ²⁴	a²¹ni³³
86	cat (b)	猫	*a¹mi¹			a²¹mi²⁴tsɿ⁵⁵		a²¹mia⁵⁵		
87	rabbit	兔子	*hɛ̠ᴴtʰa³la³	ha̠³³tʰo̠³³lo̠³³	hɛ̃⁴⁴tʰo³³lo³³	tʰɔ³³lɔ³³	hɛ̃³³tʰo³³lo³³		koŋ³¹ta³³lɛo³¹	hɛ˞⁵⁵tʰa³³la³³
88	dragon	龙	*lu²	ləŋ²¹	lv̩²¹	lɤ̪²¹	lɤ̪˞³¹	ɣɨ⁵⁵dʒu²¹	o²⁴dzu²¹	lɤ̪²¹
89	animal	动物	*a¹dze²	a⁵⁵dʑi̤²¹a⁵⁵la̤²¹	a⁵⁵dʑi²¹	ja³³ka⁴²	dʑi²¹xo²¹		ɛ³³ka̠ʔ²¹mu²⁴ka̠ʔ²¹	a⁵⁵dzə³¹m̩²¹
90	wild animal	野兽	*dze²kaŋ²	ko̤²¹dʑi̤²¹	ko²¹dʑi²¹	ja³³ka⁴²	ka²¹dʑi²¹	jɛ²¹ka²¹	ɛ³³ka̠ʔ²¹mu²⁴ka̠ʔ²¹	də²¹vv̩³³
91	bear	熊	*a²ɣy¹	a̤²¹jy⁵⁵	a²¹vv̩²⁴	ɕioŋ²⁴, ɕio²¹	wv̩²⁴po³³	a⁵⁵ɣɨ⁵⁵	a²⁴ɣɨ²⁴	ɣɨ³³pa⁵³
92	tiger	老虎	*la²pa̠ᶫ	la̤²¹pa̠²¹	la²¹pa⁵³	lɔ²¹pu⁴²	lo²¹	lo²¹pɑ̠²¹	lo²¹	la²¹dzɛ˞³³
93	leopard	豹	*zi̠ᶫ	zɿ̠²¹pa̠²¹	a²¹zɿ⁵³	i²¹pu⁴²	zɿ³³	lo²¹pɑ̠²¹sɛ⁵⁵ɣɨ³³	lo²¹ɕi²⁴ma²¹məŋ⁵³	zɿ²¹pa⁵³
94	wolf	狼	*ve¹	tʃʰa̠²¹laŋ²¹	zɿ⁵⁵la²¹pʰɛ²⁴	vei²⁴pu⁴²	vɛi²⁴	a³³no²¹ma³³nai³¹	a²⁴vi²⁴	vei²³pʰə³³ma³³
95	monkey	猴子	*mjo̠ᶫ	a⁵⁵mo̠²¹	a³³mu⁵³	a⁵⁵miu⁴²	a³³mv̩³³zo²¹	a⁵⁵mu̠²¹	a²⁴mu̠³¹	a³³mo⁵³
96	otter	水獭	*ʃy¹					boŋ²⁴	ŋ̩²⁴gi³³a²⁴ŋa³³	
97	weasel	黄鼠狼	*hɛ̠ᴴla²pa̠ᶫ	ha³³la̤²¹ɕɛ⁵⁵	hɛ̃⁴⁴la²¹	xa³³lɔ²¹	ɕi⁵⁵lo²¹		fɛ⁵⁵lo²¹	vei²³pʰə³³ma³³za²¹
98	pangolin	穿山甲	*tʰaŋ²kʰjɛ²kʰy̠ᴴ	tʰu²¹kʰa²¹kʰy³³	tʰu²¹kʰe³¹	tʰaŋ²¹kʰə³³, tʰaŋ²¹kʰɛ̤²¹	tʰaŋ²¹kʰɛ˞³¹	tsa²¹kʰɛ²¹	ta³³kʰɛ²¹	tʰa²¹kʰɨ⁵³
99	muntjak deer	麂子/赤鹿	*tʃʰɨ¹	tʂʰʅ⁵⁵	tʂʰʅ²⁴	tsʰɿ⁵⁵	tʂʰʅ⁵³	tsʰɿ⁵⁵	tsɿ³³nio⁵³	tsʰɿ⁵³pa⁵³
