No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
891	loose	松(绑的松)	(loan)	soŋ³³	soŋ³³	kʰua⁵⁵	soŋ³³	ga²¹	ga²¹	soŋ³³
892	expensive	贵	*kʰa̠ᴴ	kʰa̠³³	kʰɛ⁴⁴	pʰə²¹kʰa³³	kʰa³³	kʰa̠³³	kʰa̠³³	kʰa⁵³
893	cheap	便宜		fi²¹da⁵⁵	ma²¹kʰɛ⁴⁴	pʰi⁵⁵ji³³	do²⁴	lɛ⁵⁵	poŋ⁵³	lu³³
894	correct	正确		xo⁵⁵	tsɛ²⁴	ŋa²⁴tsɿ⁵⁵		dʒu²¹	ka³³tɛ̠²¹	xɨ³³
895	enough	足够	*lo̠ᶫ	lo̠²¹	lu⁵³	lu⁴²	lu̠³³	lo̠²¹	lu̠²¹	lo⁵⁵la²¹
896	far	远	*vi²	ʝi²¹	ʝi²¹	vei²¹	ʝi²¹	və²¹	mi²⁴vu²¹	vai²¹
897	near	近	*nɛ²	nɛ̤²¹	nɛ²¹	nɛ²¹	ɛi³³	næ²¹	a³³naŋ²¹	ai³³
898	high	高	*ʔmu¹	ə⁵⁵	ɨ̃²⁴	ɤ̪̪̃⁵⁵	ɨ̃⁴⁵³	mu⁵⁵	mu²⁴	õ³³
899	low	低	*ʔni¹	ai̠²¹	dɛ²⁴	ʝi³³	ɛi³³	ni⁵⁵	ə²⁴	tɕi³³
900	long	长	*ʃi¹	ʂʅ⁵⁵	ʂʅ²⁴	sɿ⁵⁵	ʂʅ⁴⁵³	ɕi⁵⁵	sɿ²⁴	sɿ³³
901	short	短	*ʔɲy²	ʔny̤²¹	y²¹	ei²¹	ỹ²¹	ni²¹	nɨ²¹	nĩ²¹
902	many	多	*mja²	kʰø⁵⁵	dzɿ²⁴ma²¹, ɛ̃³³	miɔ²¹	mo²¹	mo²¹	mo³³la²¹	ma²¹
903	few	少	*ne²	ʔni̤²¹	hẽ⁴⁴ma²¹tʂʰʅ²¹	nei²¹	nɛi²¹	nɛ²¹	saŋ⁵⁵la²¹	ai²¹
904	wide	宽	*fe¹					fɛ⁵⁵		
905	narrow	窄	*ʔɲa̠ᶫ					ɲɑ̠³³		
906	big	大	*ɣɛ²	vɛ̤²¹	ɣɛ˞²¹	ɣɛ²¹	ɣɛ˞²¹	ʝɛ²¹	ʝɛ²¹	ɣɛ˞²¹
907	little (a)	小	*ɲa¹				ɲa⁴⁵³			ɲo³³
907	little (b)	小	*ʒaŋ¹	u⁵⁵	u⁴⁴	ja⁵⁵		ja⁵⁵	za²⁴	
908	deep	深(水深)	*ʔne̠ᶫ	nɛ̠²¹	nɛ⁵³	nei⁴²		nɛ̠²¹	ni̠²¹	nai⁵³
909	shallow	浅(水浅)	*ma²ʔne̠ᶫ	ma̤²¹nɛ̠²¹	ba²¹			ma²¹nɛ̠²¹	ma³³ni²¹	
910	light	轻	*laŋ¹	lu⁴⁵	lu²⁴	la²⁴	la²⁴	la⁵⁵	la²⁴	lu³³
911	heavy	重	*li²	ʐʅ²¹,kɨ⁵⁵ɲi⁵⁵	ʝi²¹	li²¹	ʐʅ²¹	wu⁵⁵lu²¹	lɨ²¹	ʝi²¹
912	thick (2d)	厚	*tʰu¹	tʰə⁵⁵	tʰv̩²⁴	tʰɤ̪⁵⁵	tʰɤ̪˞⁴⁵³	tʰu⁵⁵	tʰv̩²⁴	tʰɤ̪³³
913	thin (2d)	薄	*ba²	ba̤²¹	ba²¹	bɔ²¹	bo²¹	bo²¹	bo²¹	ba²¹
914	thick (3d)	粗(粗大)	*ta³	ta³³	ta³³		po³³	kɛ⁵⁵	jɛ²¹	ɣɛ˞²¹
915	thin (3d)	细(细小)	*tsʰi¹	tsʰɿ⁵⁵	tsʰɿ⁵⁵	tɕʰi⁵⁵	ɲa⁴⁵³	mu³³	mɨ³³	mo⁵³
916	how far?	有多远?			a³³ma³³sɿ²¹ʝi²¹		a²¹dɨ²⁴mo³³si²¹ʝi²¹			kʰa³³kʰɨ³³vai²¹dzɛ˞³³
917	how high?	有多高?			a³³ma³³sɿ²¹õ²⁴		a²¹dɨ²⁴mo³³si²¹ɨ̃⁴⁵³			kʰa³³kʰɨ³³õ³³dzɛ˞³³
918	how long?	有多长?			a³³ma³³sɿ²¹ʂʅ²⁴		a²¹dɨ²⁴mo³³si²¹ʂʅ⁴⁵³			kʰa³³kʰɨ³³sɿ³³dzɛ˞³³
919	how wide?	有多宽?					a²¹dɨ²⁴mo³³si²¹kʰuã³³			kʰa³³kʰɨ³³kʰua⁵³dzɛ˞³³
920	how big?	有多大?			a³³ma³³sɿ²¹ɣɛ˞²¹		a²¹dɨ²⁴mo³³si²¹ɣɛ˞²¹			kʰa³³kʰɨ³³ɣɛ˞²¹dzɛ˞³³
921	how deep?	有多深?			a³³ma³³sɿ²¹nɛ⁵³					kʰa³³kʰɨ³³nai⁵³dzɛ˞³³
922	how heavy?	有多重?					a²¹dɨ²⁴mo³³si²¹ʐʅ²¹			kʰa³³kʰɨ³³ʝi²¹dzɛ˞³³
923	one	一	*tʰi²	tʂʰʅ̥²¹	tʂʰʅ²¹	tsɿ²¹	tʂʅ²¹	tɕʰi²¹	tʰi²¹	tsɿ²¹
924	two	二	*ni²	ŋ̩²¹	n̩²¹	ŋ̩²¹	n̩²¹	n̩²¹	ŋ̩²¹	ni²¹
925	three	三	*sa¹/³	sa³³	sa²⁴	sɔ⁵⁵	so³³	sa⁵⁵	so³³	sa³³
926	four	四	*ʔli³	ʔʐʅ³³	ʐʅ³³	li³³	ʐʅ³³	lɨ³³	li³³	ji³³
927	five	五	*ŋa²	ŋa̤²¹	ŋa²¹	ŋɔ²¹	ŋo²¹	ŋo²¹	ŋo²¹	ŋa²¹
928	six	六	*kʰo̠ᶫ	kʰo̠²¹	kʰu⁵³	kʰu⁴²	kʰu³³	kʰu̠²¹	kʰu̠²¹	kʰo⁵³
929	seven	七	*xɨ²	xɨ²¹	xɨ²¹	ɕi²¹	xɨ²¹	xɨ²¹	xɨ²¹	xɨ²¹
930	eight	八	*he̠ᶫ	hiɛ̠²¹	hẽ⁵³	xei⁴²	xai³³	xɛ̠²¹	xɛ²¹	xai⁵³
931	nine	九	*ko¹/³	kə³³	kv̩³³	kə³³	kɤ̪˞³³	kɨ³³	kɨ³³	kɤ̪³³
932	ten	十	*tsʰe¹	tsʰi⁵⁵	tsʰe²⁴	tsʰei⁵⁵	tɕʰi⁴⁵³	tɕʰɛ⁵⁵	tɕʰɛ²⁴	tsʰei³³
933	eleven	十一	*tsʰe¹ti̠ᶫ	tsʰi⁵⁵ti̤²¹	tsʰe²⁴tʰi⁵³	tsʰei⁵⁵ti²¹	tɕʰi⁴⁵³tʰi³³	tɕʰɛ⁵⁵tɕʰi²¹	tɕʰɛ⁵⁵tʰi²¹	tsʰei³³tɕʰi⁵³
934	twelve	十二	*tsʰe¹ni²	tsʰiŋ̩⁵²	tsʰe²⁴n̩²¹	tsʰei⁵⁵ŋ̩²¹	tɕʰĩ⁴⁵³n̩²¹	tɕʰɛ⁵⁵ŋ̩²¹	tɕʰɛ⁵⁵ŋ̩²¹	tsʰei³³ni²¹
935	twenty	二十	*ni²tse¹	n̩²¹tsi⁵⁵	n̩²¹tsʰe²⁴	n̩²¹tsei⁵⁵	n̩²¹tɕʰi⁴⁵³	n̩²¹tɕʰɛ⁵⁵	ŋ̩²¹tɕi²⁴	n̩²¹tsei³³
