No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
45	chameleon	*kwiᴮ		kwi⁵⁵	kwi³³	khwi¹¹	khwi¹¹	khwi³³	khi¹¹	khwi³¹῀	khwi⁴⁵’	khwi³³	khwi⁵⁵	xx	
46	charcoal	*swaᴮ	*swa²	swa⁵⁵	swa³³	θau¹¹	su¹¹	-	su¹¹	swa³¹῀	swa⁴⁵’	swa³³	θwa⁵⁵	xx	
47	chicken	*chjaNᴬ	*chjaN⁴	ɕja³¹ ̈	ɕja³¹ ̈	ɕi⁵³	cha³³	ʃi⁵⁵	ɕi⁵⁵	chɔ³³	chɔ⁵⁵	chɛ̃³⁵	chɔ̃⁵³	xx	[Proto-Monic: *tyaaŋ, Proto-Mon: *caiɲ (Diffloth, 1984)]
48	chili pepper, pungent	*hatᴰ		hat²¹	hap²¹	hɛɁ⁴⁵	hɛ⁵⁵	hɛ³³	hɛ³³	hɛ³³	hɛ⁵⁵	-	ɣɛ⁵⁵	xx	NK and CK have tone D while SK languages have irregular tone changes, i.e. *D>A in Sgaw but >B in Pwo.
49	chin, jaw	*kaᴮ	*kha²	ka⁵⁵	ka³³	ka¹¹	khe¹¹	khe³³	kha¹¹	kha³¹῀	kha⁴⁵’	kha³³	kha⁵⁵	xx	[Thai: khaaŋ33]
50	cicada	*ŋjajᴬ		ŋja³³	-	ji³³	ja¹¹	-	-	je³³, ze³³	-	jai⁵⁵	jai³¹ ̈	xx	
51	civet cat	*thuᴮ		-	-	thu¹¹	-	thu³³	thu¹¹	-	-	-	thuɁ²¹thõ³¹ ̈, thu⁵⁵thõ¹¹	xx	
52	classifier (hand of bananas)	*sejᴮ		si⁵⁵	si³³	θɨ¹¹	sə¹¹	-	si¹¹	si³¹῀	si⁴⁵’	sei³³	-	xx	
53	classifier for flat objects	*Ɂbaᴮ		ba⁵⁵	ba³³	ba¹¹	be¹¹	-	ba¹¹	be³¹῀	bi⁴⁵’	bai³³	bai⁵⁵	xx	The correspondence pattern of rhymes in SK suggests *Ɂbajᴮ [Thai: baj33]
54	classifier for people, persons	*braᴬ	*ɣa³, *phwa³ ‘person’	phra³³	pra⁵³	pra³³	phre¹¹	-	ra³³	pɣa³³	ɣa³³	ɣa⁵⁵	ɣa³¹ ̈	xx	
55	classifier for a piece of meat, cake, etc.	*plɔŋᴮ	*lɔŋ²	lɔŋ⁵⁵	-	-	plɔ¹¹	-	plo¹¹	lo³¹῀	lu⁴⁵’	lɔ̃³³	lõ⁵⁵	xx	
56	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	*khoᴮ		-	-	khau¹¹	-	-	-	kho³¹῀	khu⁴⁵’	khu³³	khu⁵⁵	xxi	
57	classifier for round objects	*phloŋᴮ	*phloŋ²	phloŋ⁵⁵	phloŋ³³	phləu¹¹	phlɔ¹¹	-	phlə¹¹	phlə³¹῀	phlɨ⁴⁵’	phlãu³³	phlõu⁵⁵	xxi	
58	classifier for long objects	*ɁbɔNᴬ	*bɔŋ³	-	-	bɔ⁵³	bo³³	-	bo⁵⁵	bo³³	bu⁵⁵	bɔ̃⁵⁵	bõ³¹ ̈	xxi	
59	classifier for four-legged animals	*Ɂdəᴬ		-	-	dəɨ⁵³	do³³	-	də⁵⁵	dɨ³³	dɨ⁵⁵	dəɨ⁵⁵	dɨ³¹ ̈	xxi	
60	close (one’s eyes)	*Ɂbiᴮ	*bin²	-	-	bi¹¹	-	-	bi¹¹	bi³¹῀	bi⁴⁵’	bei³³	bei⁵⁵	xxi	
