No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
231	put out (the tongue)	*hlɛmᴮ		lɛm⁵⁵	lɛm³³	ljaŋ¹¹	-	-	li¹¹	le³¹῀	li⁴⁵’	lãi³³	lãi⁵⁵	xxxv	
232	quail	*(thoᴮ)hrwiɁᴰ		rɨɁ⁴⁵	-	rwiɁ⁴⁵	rwi⁵⁵	-	ri³³	pə¹¹wi³³	pə¹¹wi⁵⁵	phu³³wei³³	wei⁵⁵	xxxv	The SK languages have irregular tone changes, i.e. Sgaw has tone A while Pwo has tone B.
233	rabbit, hare	*p-Ɂdɛᴬ		-	-	dɛ⁵³	dɛ³³	pə³³dɛ³³	dɛ⁵⁵	pə¹¹dɛ³³	-	pa³³dɛ⁵⁵	pə³¹ ̈dɛ³³	xxxv	
234	raise, feed (animals)	*Ɂbəᴮ		-	-	bəɨ¹¹	bo¹¹	-	bə¹¹	bɨ³¹῀	bɨ⁴⁵’	-	bɨ⁵⁵lɔ̃³¹ ̈	xxxv	
235	rattan	*reᴮ	*ɣe¹	re⁵³	re⁵⁵	rai¹¹	ri¹¹	-	ri¹¹	ɣe¹¹ ̈	re³¹	ɣi¹¹ ̈	ɣi³³	xxxv	
236	reach into	*ɁboɁᴰ		boɁ²¹	buɁ²¹	bɔɁ⁴⁵	bɔ⁵⁵	-	bə³³	bɨɁ⁴⁵	bɔuɁ²¹	bauɁ⁴⁵	bɔuɁ³¹	xxxv	
237	resin	*throɁᴰ		-	-	thɔɁ⁴⁵	thɔ⁵⁵	thro³³	thə³³	thɨɁ⁴⁵	thɔuɁ²¹	thauɁ⁴⁵	thɔuɁ³¹	xxxv	
238	right (side)	*thwɛᴬ	*thwe⁴	thwɛ³¹ ̈	thwɛ³¹ ̈	thwɛ⁵³	thwa³³	thwɛ³³	thɛ⁵⁵	chwɛ³³	thwɛ⁵⁵	-	thwɛ⁵⁵	xxxv	S.Sgaw has tone B. Perhaps, the word thwɛ⁵⁵ in S.Pwo was borrowed from S.Sgaw, thwɛ⁵⁵. There is no cognate in N.Pwo.
239	ripe, cooked	*ʔminᴬ	*min⁴	min³¹ ̈	min³¹ ̈	mjəŋ⁵³	mi³³	mi⁵⁵	mi⁵⁵	mi³³	mi⁵⁵	mãi⁵⁵	mɛ̃i³¹	xxxvi	
240	roast (by stuffing into fresh bamboo sections)	*deNᴬ		then³³	-	te³³	tai¹¹	de³³	te³³	te³³	te³³	-	thɛ̃i³¹	xxxvi	
241	root	*rwiᴮ		rwi⁵³	rwi⁵⁵	rwi¹¹	rwi¹¹	wi³³	ri¹¹	ɣi¹¹ ̈	ɣi³¹	ɣei¹¹ ̈	wei³³	xxxvi	
242	rotten, bad smell	*səŋᴬ		səŋ³¹ ̈	səŋ³¹ ̈	θə⁵³	sɔ³³	θo⁵⁵	sə⁵⁵	-	-	-	-	xxxvi	
243	rub, clean, polish, scrub	*thuɁᴰ	*thuɁ²	-	-	-	thɨ⁵⁵	-	- thɨ³³	thuɁ⁴⁵	thɔuɁ²¹	thauɁ⁴⁵	thɔuɁ³¹	xxxvi	
244	salt	*saᴮ	*sa²	sa⁵⁵	sa³³	θa¹¹	se¹¹	θɛ³³	sa¹¹	ɁiɁ⁴⁵sa³¹῀	sa⁴⁵’	-	-	xxxvi	
245	salty, sweet	*chɨmᴬ	*chəm⁴	chom³¹ ̈	chəm³¹ ̈	chɨ⁵³	chɨ³³	-	chɨ⁵⁵	chə³³	chɨ⁵⁵	chɑ̃³⁵	chə̃ɨ⁵³	xxxvi	
246	sand	*hmɛɁᴰ		-	-	mɛɁ⁴⁵	-	-	me³³	mɛɁ⁴⁵	mɛɁ²¹	meɁ⁴⁵	meɁ²¹	xxxvi	
247	scale (of fish)	*s-Ɂbeŋᴮ		beŋ⁵⁵	beŋ³³	be¹¹	ba¹¹	-	be¹¹	sə¹¹ bi³³	-	-	bɛ̃i⁵⁵	xxxvi	Only Sgaw has tone A while Pwo (SK), NK and CK have tone B.
248	sell	*caᴬ	*cha⁴	ca³¹ ̈	ca³¹ ̈	cha⁵³	che³³	ʃɛ⁵⁵	cha⁵⁵	cha³³	cha⁵⁵	cha³⁵	cha⁵³	xxxvi	
249	serow, mountain goat	*jajᴬ		jai³³	-	jai³³	je¹¹	ji³³	ji³³	-	-	-	-	xxxvi	
250	seven	*Ɂnwetᴰ	*Ɂnweᴬ	nɨt²¹	nət⁴⁵	nwɛ⁵³	-	nwe⁵⁵~nwi⁵⁵	sɔ³³ne⁵⁵	nwiɁ⁴⁵	nwi⁵⁵	nwɛ⁵⁵	nwɛ³¹ ̈	xxxvi	Two protoforms which have tone A (CK, S.Sgaw, Pwo) and tone D (NK, N.Sgaw) can be reconstructed. However, the correspondence of vowels is problematical.
251	sew	*chaɁᴰ	*chaɁ²	chaɁ²¹	chaɁ²¹	chaɁ⁴⁵	che⁵⁵	ʃa³³	chɔ³³	chaɁ⁴⁵	chaɁ²¹	chaɁ⁴⁵	chaɁ²¹	xxxvii	
252	sharp	*thaŋᴬ		thaŋ³¹ ̈	thaŋ³¹ ̈	-	thɛ³³	tha⁵⁵	thɔ⁵⁵	-	-	-	-	xxxvii	
253	sheep	*soᴬ		sə⁵⁵	so³³	θɔ³³	-	θu⁵⁵	so⁵⁵	so³³	su⁵⁵	-	-θu⁵⁵	xxxvii	It is noticeable that the Christian Karen seem to remember the word ‘sheep’ quite well. However, this word has tone A in CK and Sgaw while it has tone B in NK and Pwo.
254	shivering	*t/k-hnɔɁᴰ		taɁ²¹nəɁ²¹	ta¹¹nəɁ²¹	kaɁ²¹nauɁ⁴⁵	tɛ¹¹nɛ⁵⁵	-	kɔ¹¹no³³	tə¹¹nɔɁ⁴⁵	kə¹¹noɁ²¹	-	-	xxxvii	
255	shoot (v.)	*khaɁᴰ	*khaɁ²	khaɁ²¹	khaɁ²¹	khaɁ⁴⁵	khe⁵⁵	khɛ³³	kha³³	khaɁ⁴⁵	khaɁ²¹	khaɁ⁴⁵	khaɁ²¹	xxxvii	
256	short, low	*phəᴮ	*phy²	phə⁵⁵	phə³³	phəɨ¹¹	pho¹¹	-	- phə¹¹	phɨ³¹῀	phɨ⁴⁵’	phəɨ³³	phɨ⁵⁵	xxxvii	
257	shoulder	*pleŋᴬ		pleŋ³¹ ̈	pleŋ³¹ ̈	ble⁵³	pla³³	ple⁵⁵	ple⁵⁵	-	-	-	-	xxxvii	
258	shove (with the foot)	*thwɨNᴬ		thɨn³¹ ̈	thuəm³¹ ̈	-	-	-	thʉ⁵⁵	jɔ¹¹ ̈thu³³	thu⁵⁵	thɑ̃³⁵	thə̃ɨ⁵³	xxxvii	
259	six	*khrowᴬ	*xy⁴	su³¹ ̈	su³¹ ̈	chu⁵³	-	xu⁵⁵	-	xɨ³³	xɨ⁵⁵	xou³⁵	xou⁵³	xxxvii	
260	skink	*blɛɁᴰ	*phlɛɁ¹	plɛɁ⁴⁵	plɛɁ⁴⁵	plɛɁ²¹	pla³³	bli¹¹ca⁵⁵	ple³³	phlɛɁ²¹	plɛ¹¹ ̈	phleɁ²¹	phleɁ⁴⁵	xxxvii	
261	sleeping	*hmejᴬnejᴮ	*mi⁴	-	-	mai⁵³nai¹¹	-	-	mi⁵⁵ni¹¹	mi³³ne¹¹ ̈	mi⁵⁵ni³¹	-	-	xxxvii	
262	slippery	*pleᴬ		ple³¹ ̈	ple³¹ ̈	blai⁵³	pli³³	pli⁵⁵	pli⁵⁵	ble³³	ble⁵⁵	phli³⁵	phli⁵³	xxxvii	
263	smell (v.)	*(h)nɨmᴬ		num³³	nuəm⁵³	nɨ³³	-	nu⁵⁵	nɨ³³	nə³³	nɨ⁵⁵	nɑ̃³⁵	nə̃ɨ⁵³	xxxviii	Tone A3 in NK and CK suggests a voiceless onset (*hn-) but tone A12 in Sgaw and tone A1 in Pwo indicate a voiced onset *n-.
264	snail (land ~)	*khloᴮ		khlo³¹ ̈	-	-	-	khlo³³	-	khlo³¹῀	khlu⁴⁵’	khlu³³	khlu⁵⁵	xxxviii	
265	snail (water ~)	*s - ŋwiᴮ		ŋwi⁵⁵	ŋwi³³	ŋwi¹¹	-	θə⁵⁵mi³³	si¹¹mi¹¹	-	-	-	-	xxxviii	
266	snake	*rowᴮ	*ɣy¹	ru⁵³	ru⁵⁵	rəu¹¹	ro¹¹	ʀu³³	ru¹¹	ɣɨ¹¹ ̈	ɣɨ³¹	ɣou¹¹ ̈	βou³³	xxxviii	
267	son-in-law	*maɁᴰ	*maɁ¹	maɁ⁴⁵	maɁ⁴⁵	maɁ²¹	me³³	ma¹¹	mɔ³³	maɁ²¹	ma¹¹ ̈	-	maɁ⁴⁵	xxxviii	
268	sour	*chjaNᴮ	*cheN²	ɕja⁵⁵	ɕja³³	ɕi¹¹	cha¹¹	ʃɪ³³	ɕi¹¹	chi³¹῀	chi⁴⁵’	chãi³³	chãi⁵⁵	xxxviii	The correspondence pattern of vowels in SK suggests *-ɛN.
269	spider	*gaŋᴬ		kuŋ³³kaŋ³³	jɔŋ³¹kaŋ⁵³	kaŋ³³	-	ga¹¹-gu¹¹	kɔ³³	-	-	pu¹¹khɛ̃⁵⁵	khɔ̃³¹ ̈	xxxviii	Bwe has an irregular tone, i.e. tone 11 (D3) instead of tone 33 (A3) as in the other Karenic languages.
270	spit (v.)	*thuᴬ	*tho²	-	thu³¹ ̈	thu⁵³	thu³³	-	-	thuɁ⁴⁵	thu⁵⁵	thu³⁵	thu⁵³	xxxviii	N. Sgaw has an irregular tone, i.e. tone D, while the rest have tone A.
271	spleen	*g- hmaNᴬ		-	-	-	mɛ³³	gə³³ma³³	mɔ⁵⁵	kə¹¹mɔ³³	mɔ⁵⁵	mɛ̃³⁵	mɔ̃⁵³	xxxviii	
272	split (bamboo strip)	*plaᴮ	*bla²	-	-	-	-	plɛ³³	pla¹¹	bla³¹῀	bla⁴⁵’	bla³³	bla⁵⁵	xxxviii	
273	spray (v.)	*pruᴬ		phru³¹ ̈	pru³¹ ̈	phru⁵³	-	phru³³	phru⁵⁵	-	pru⁵⁵	phju⁵⁵	pru³¹ ̈	xxxviii	
274	spread out (a mat)	*Ɂdaᴬ	*da³	da³¹ ̈	da³¹ ̈	da⁵³	de³³	ɗɛ⁵⁵	da⁵⁵	da³³	da⁵⁵	da⁵⁵	da³¹ ̈	xxxviii	
275	squeeze, massage	*Ɉimᴮ		cim⁵⁵	cim³³	ci¹¹	ci¹¹	ci³³	ci¹¹	ci¹¹ ̈	ci³¹	chãi¹¹ ̈	chɛ̃i³³	xxxix	
276	squirrel	*hliᴮ	*li²	li⁵⁵	li³³	-	-	li¹¹	-	liɁ⁴⁵lu¹¹ ̈	li⁴⁵’	lei³³	lei⁵⁵	xxxix	N.Sgaw has tone D while the other Karenic languages have tone B.
277	stand (v.)	*~thəŋᴮ		thəŋ⁵⁵	thəŋ³³	thə¹¹	thɔ¹¹	ʃɔ⁵⁵tho³³	tə¹¹	thə³¹῀	thə⁴⁵’	thɑ̃³³	thə̃⁵⁵	xxxix	
278	star	*chaᴮ	*cha²	cha⁵⁵	cha³³	cha¹¹	che¹¹	ʃɛ³³	cha¹¹	cha³¹῀	cha⁴⁵’	sja³³	ɕa⁵⁵	xxxix	
279	steal (v.)	*howᴮ		-	-	hu¹¹	ho¹¹	a⁵⁵hu³³	hu¹¹	hɨ³¹῀	hɨ⁴⁵’	-	-	xxxix	
280	stingy	*Ɉiᴮ		ci⁵⁵	ci⁵³	ci¹¹	-	ɪ³³	ci¹¹	-	-	-	-	xxxix	
281	stomach	*g-phowᴬ	*phoŋ⁴	-	-	phu⁵³	pho³³	gə¹¹ phu⁵⁵	phu⁵⁵	kə¹¹phɨ³³	phɨ⁵⁵	phou³⁵	phou⁵³	xxxix	
282	stone, rock	*loŋᴮ	*loŋ¹	loŋ⁵³	loŋ⁵⁵	ləu¹¹	lɔ¹¹	lo³³	lə¹¹	lə¹¹ ̈	lɨ³¹	lãu¹¹ ̈	lõu³³	xxxix	
283	string, rope	*blejᴬ	*phli³	phli³³	pli⁵³	pɨ³³	plə¹¹	bli³³	pli³³	pli³³	pli³³	phlei⁵⁵	phlei³¹ ̈	xxxix	
284	suck	*cwiKᴰ		cuk²¹	cuɁ²¹	cwiɁ⁴⁵	cwi⁵⁵	-	ci³³	sə¹¹ wiɁ⁴⁵	-	-	θə¹¹ waiɁ³¹	xxxix	
285	sun	*mɨᴮ	*my¹	mɨ⁵³	mɨ⁵⁵	mɨ¹¹	mɔ¹¹	mu³³	mɨ¹¹	mɨ¹¹ ̈	mɨ³¹	məɨ¹¹ ̈	mɨ³³	xxxix	
286	sunlight, hot	*goᴮ	*kho¹	ja³¹ ̈kho⁵³	ko⁵⁵	kau¹¹	ku¹¹	-	ku¹¹	ta¹¹ko¹¹ ̈	ku³¹	khu¹¹ ̈	khu³³	xxxix	
287	sway, swing	*thuᴮ		-	-	-	thu¹¹	-	thu¹¹	tho³¹῀	thu⁴⁵’	thu³³	thu⁵⁵	xxxix	
288	swollen, swelling	*hɲɔɁᴰ	*ŋoɁ²	jɔɁ²¹	jɔɁ²¹	ɈauɁ⁴⁵	jɛ⁵⁵	jɔ³³	jo³³	ɲɔɁ⁴⁵	ɲɔɁ²¹	joɁ⁴⁵	juɁ²¹	xl	
289	tail	*meᴮ	*me¹	me⁵³	me⁵⁵	mai¹¹	mi¹¹	me³³	mi¹¹	mɛ¹¹ ̈	mɛ³¹	mɛ¹¹ ̈	mi³³	xl	Sgaw and N.Pwo have irregular vowel, i.e. /ɛ/ instead of /e/.
290	tasteless, faded	*plaᴬ		pla³¹ ̈	-	bla⁵³	-	plɛ⁵⁵	-	bla³³	bla⁵⁵	bla⁵⁵	bla³¹ ̈	xl	
291	ten	*chejᴬ	*chi⁴	ɕi³¹ ̈	ɕi³¹ ̈	thɨ⁵³	chə³³	ʃi⁵⁵	ɕi⁵⁵	chi³³	chi⁵⁵	chei³⁵	chei⁵³	xl	
292	tendon	*thwaNᴮ		-	-	thu¹¹	thwa¹¹	-	-	thu³¹῀	thu⁴⁵’	thɔ̃³³	thɔ̃⁵⁵	xl	
293	termite	*b-ɁwaNᴬ		pi⁵⁵Ɂwa³¹ ̈	pi³³Ɂwa³¹ ̈	baɁ²¹Ɂu⁵³	phu⁵⁵wa³³	-	-	pə¹¹ɁuɁ⁴⁵	pə¹¹ɁɔuɁ²¹	paɁ²¹Ɂɔ̃⁵⁵	pu³³Ɂɔ̃³¹ ̈	xl	
294	termite (winged ~)	*biᴮ	*phin¹	phi⁵³	pi⁵⁵	pi¹¹	pi¹¹	pə³³Ɂi³³	pi¹¹Ɂi¹¹	pi¹¹ ̈	pi³¹	phai¹¹ ̈	phɛi³³	xl	Pwo vowels are irregular, i.e. /ai/ and /ɛi/ instead of /ei/.
295	termite mound	*ploŋᴮ		phloŋ⁵⁵	ploŋ³³	bləu¹¹	plɔ¹¹	plo³³	plə¹¹	blə³¹῀	-	phlãu¹¹ ̈	phlõu³³	xl	Pwo has tone B3 which suggests a voiced onset *bl-.
296	thick	*ɁdwɨNᴬ		dɨn³¹ ̈	duəm³¹ ̈	dɨ⁵³	do³³	-	dʉ⁵⁵	-	-	-	-	xl	
297	thin (as of cloth)	*Ɂb( )ᴬ	*bun³	bə³¹ ̈	bə³¹ ̈	bɨ⁵³	bɨ³³	-	-	bu³³	bu⁵⁵	-	baə³¹ ̈	xl	
298	thousand	*hreŋᴬ, *g-thɔNᴬ	*thɔŋ⁴	reŋ³¹ ̈	reŋ³¹ ̈	re⁵³	ri³³	gə³³thɔ⁵⁵	re⁵⁵, tho³³	kə¹¹tho³³	thu⁵⁵	-	thɔ̃⁵³	xl	*hreŋᴬ = thousand (amount of money), *g-thɔNᴬ = thousand (people)
299	thread (a needle)	*dowᴮ		thu⁵³	tu⁵⁵	tu¹¹	to¹¹	du³³	tu¹¹	tɨ¹¹ ̈	tɨ³¹	thou¹¹ ̈	thou³³	xl	
300	three	*səmᴬ	*səm⁴	səm³¹ ̈	səm³¹ ̈	θə⁵³	sɔ³³	θo⁵⁵	sə⁵⁵	sə³³	sə⁵⁵	sɑ̃³⁵	sə̃⁵³	xli	
301	tick	*khejᴮ	*khi²	-	-	khɨ¹¹	khə¹¹	khi³³	khi¹¹	khi³¹῀	khi⁴⁵’	khei³³	khei⁵⁵	xli	
302	tie (a string)	*cəŋᴬ	*cəm³	cəŋ³¹ ̈	cəŋ³¹ ̈	cə⁵³	cɔ³³	co⁵⁵	cə⁵⁵	cə³³	cə⁵⁵	cɑ̃⁵⁵	cə̃³¹ ̈	xli	
303	tiger	*keᴬ	*khe⁴	ke³¹ ̈	ke³¹ ̈	khai⁵³	khi³³	khi⁵⁵	khi⁵⁵	khe³³jɨ¹¹ ̈ ‘lion’	-	khi³⁵	khi⁵³	xli	
304	tilted	*khiŋᴬ		khiŋ⁵⁵	khiŋ³³	khi⁵³	khi³³	-	khi⁵⁵	khi³³	-	khãi³⁵	khɛ̃i⁵³	xli	NK has the B tone while CK and SK have tone A.
305	toad	*Ɂdeᴮsowᴮ		de⁵⁵su⁵⁵	de³³su³³	dai¹¹θu¹¹	di¹¹so¹¹	di³³θu³³	di¹¹su¹¹	de³¹῀sɨ³¹῀	di⁴⁵’sɨ⁴⁵’	di³³sou³³	di⁵⁵sou⁵⁵	xli	
306	tomorrow	*~rɔᴬ		mɨ⁵³rau³³	mɨ⁵⁵rau⁵³	-	pa⁵⁵ro¹¹	-	mə¹¹ro³³	ləɁ⁴⁵ɣɔ³³	ɣɔ³³	khɛ¹¹ɣɔ⁵⁵	-	xli	
307	tongue	*bleᴬ	*phle³	phle³³	ple⁵³	plai³³	pli¹¹	- bli¹¹	pli³³	ple³³	ple³³	pli⁵⁵	phli³¹ ̈	xli	
308	torn	*dɛɁᴰ/*dwɛɁᴰ		thɛɁ⁴⁵	tɛɁ⁴⁵	tuɁ²¹	tɨ³³	thɛ³³	tu³³	tɛɁ²¹	tɛ¹¹ ̈	theɁ²¹	theɁ⁴⁵	xli	CK has irregular vowels.
309	tortoise	*kliɁᴰ	*khliɁ²	kleɁ²¹	kliɁ²¹	khlɨɁ⁴⁵	khli⁵⁵	khli³³	khli³³	khliɁ⁴⁵	khlaiɁ²¹	khlaiɁ⁴⁵	khlaiɁ³¹	xli	
310	tread	*jamᴮ		jam⁵³	jam⁵⁵	Ɉaŋ¹¹	ji¹¹	ja³³	-	jɔ¹¹ ̈	jɔ³¹	jãi¹¹ ̈	jãi³³	xli	Pwo has irregular vowels, i.e. /ãi/ instead of /ɛ̃/ (N.PW) and /ɔ̃/ (S.PN).
311	trunk (of a tree), firewood	*məŋᴮ		mɨŋ⁵³	məŋ⁵⁵	mə¹¹	mɔ¹¹	-	mə¹¹	mɨ¹¹ ̈	-	mɑ̃¹¹ ̈	-	xli	
312	trunk (of an elephant)	*k-mlɔNᴬ	*mlɔŋ³	-	mɔ⁵³	mɔ³³	mo¹¹	-blɔ¹¹	-	kə¹¹mlɔ³³	mlu³³	mlɔ̃⁵⁵	mlõ³¹ ̈	xlii	
313	two	*k-hnejᴬ	*ni⁴	ni³¹ ̈	ni³¹ ̈	ŋɨ⁵³	nə³³	ki⁵⁵	ki⁵⁵	khi³³	khi⁵⁵	khei³⁵	nei⁵³	xlii	
314	urine	*chejᴮ	*chi²	ɕi⁵⁵	ɕi³³	-	chə¹¹	ʃi³³	chi¹¹	chi³¹῀	chi⁴⁵’	chei³³	chei⁵⁵	xlii	
315	vagina	*linᴮ	*lin¹	lin⁵³	lim⁵⁵~lin⁵⁵	-	li¹¹	-	li¹¹	li¹¹ ̈	li³¹	lãi¹¹	lɛ̃i³³	xlii	
316	vomit (v.)	*prɔɁᴰ		prɔɁ²¹	prɔɁ²¹	phrauɁ⁴⁵	phrɛ⁵⁵	pɔ³³	pro³³	bɣɔɁ⁴⁵	bɣoɁ²¹	pjoɁ⁴⁵	pjuɁ²¹	xlii	
317	vulture	*hlaŋᴬ/ᴮ k-daɁᴰ	*laN⁴kaɁ²thaɁ¹	lɛŋ⁵⁵taɁ⁴⁵	lɔŋ³³taɁ⁴⁵	-	lɛ¹¹ta³³	lə³³da⁵⁵	la¹¹ta³³	lɔ³³kə¹¹taɁ²¹	lɔ³³kə¹¹ ̈ta¹¹ ̈	lɛ̃³⁵kaɁ²¹thaɁ²¹	lɔ̃⁵³kaɁ²¹thaɁ⁴⁵	xlii	
318	waist	*j-Ɂdeᴬ		~de³¹ ̈	~de³¹ ̈	-	-	ja³³de¹¹	-	jɔ¹¹ ̈de³³	jɔ³¹de⁵⁵	ja¹¹ ̈di⁵⁵	jɑ̃³³di³¹ ̈	xlii	
319	wart	*thuɁᴰ		-	-	-	thɨ⁵⁵	-	thɨ³³	thuɁ⁴⁵	thɔuɁ²¹	thauɁ⁴⁵	thɔuɁ³¹	xlii	
320	warm	*lamᴬ	*ləm³	-	lam⁵³	la³³	le¹¹	lɛ³³	la³³	kə¹¹lə³³	lə³³	la⁵⁵	lə³¹ ̈	xlii	It is not certain if the *-a or *-aN rhyme should be reconstructed. S.Pa-O, Sgaw and S.Pwo suggest *-aN while the rest indicate *-a.
321	wash (the face)	*blaᴮ		phla⁵³	pla⁵⁵	pla¹¹	ple¹¹	bla³³	pla¹¹	pla¹¹ ̈	pla³¹	phla¹¹ ̈	phla³³	xlii	Bwe has an irregular vowel, i.e. /a/ instead of /ɛ/.
322	wash (clothes)	*chrowᴮ	*chɣy²	paɁ²¹chu⁵⁵	chu³³	chu¹¹	cho¹¹	-	chu¹¹	chɣɨ³¹῀	chɣɨ⁴⁵’	-	-	xlii	
323	wasp	*(dəŋᴮ)Ɂdeᴬ		kaɁ²¹de³¹ ̈	-	dauɁ⁴⁵dai⁵³	di³³~	-	di⁵⁵~	tə¹¹ ̈de³³	tɨ³¹de⁵⁵	thɑ̃¹¹ ̈di⁵⁵	thə̃³³di³¹ ̈	xlii	
324	water	*thejᴬ	*thi⁴	thi³¹ ̈	thi³¹ ̈	thɨ⁵³	thə³³	chi⁵⁵	thi⁵⁵	thi³³	thi⁵⁵	thei³⁵	thei⁵³	xliii	
325	wear (a shoulder bag)	*ch(w)ɛŋᴬ		chɛŋ³¹ ̈	chɛŋ³¹ ̈	ɕi⁵³	cha³³	-	ɕi⁵⁵	che³³thə³¹῀	chi⁵⁵	chãi³⁵	chwãi⁵³	xliii	
326	weave (cloth), loom	*thaᴮ	*tha²	-	cha³³	tha¹¹	the³³	-	tha¹¹	tha³¹῀	tha⁴⁵’	tha³³	tha⁵⁵	xliii	
327	weave (baskets)	*thɛŋᴬ	*thɛŋ¹	thɛŋ³¹ ̈	thɛŋ³¹ ̈	thi⁵³	tha³³	the⁵⁵	thi⁵⁵	the³³	thi⁵⁵	thãi³⁵	thãi⁵³	xliii	
328	weevil	*roŋᴮ		roŋ⁵³	roŋ⁵⁵	ro¹¹	rɔ¹¹	-	rə¹¹	ɣə¹¹ ̈	ɣɨ³¹	ɣãu¹¹	βõu³³	xliii	
329	wet	*cɔᴮ	*cɔ²	cau⁵⁵	cau³³	cau¹¹	co¹¹	cɔ³³	co¹¹	ba³¹῀cɔ³¹῀	cɔ⁴⁵’	cɔ³³	co⁵⁵	xliii	
330	white	*Ɂbwaᴬ	*Ɂwa³	bwa³¹ ̈	bwa³¹ ̈	bau⁵³	bu³³	ɓʊ⁵⁵	bu⁵⁵	kwa³³	wa⁵⁵	-	kwa³¹ ̈	xliii	
331	wide	*lɛᴮ	*lɛ¹	lai⁵³	lai⁵⁵	lɛ¹¹	lɛ¹¹	la³³lɛ³³	lɛ¹¹	lɛ¹¹ ̈	lɛ³¹	lɛ¹¹ ̈	lɛ³³	xliii	
332	wife	*hmaᴬ	*ma⁴	ma³¹ ̈	ma³¹ ̈	ma⁵³	me³³	mɛ⁵⁵	ma⁵⁵	ma³³	ma⁵⁵	ma³⁵	ma⁵³	xliii	
333	wild	*miᴬ	*min³	mi³³	mi⁵³	mi³³	mi¹¹	-	mi³³	mi³³	mi³³	mei⁵⁵	mei³¹ ̈	xliii	
334	win	*nɨŋᴬ		nəŋ³³	nəŋ⁵³	nɨ³³	nɨ¹¹	-	-	nə³³	nɨ³³	nɑ̃⁵⁵	nə̃ɨ³¹ ̈	xliii	
335	wing	*ɁdeɁᴰ	*diɁ²	deɁ²¹	diɁ²¹	-	da⁵⁵	ɗe³³	de³³	diɁ⁴⁵che³³	daiɁ²¹	daiɁ⁴⁵	daiɁ³¹	xliii	
336	wrong, mistake, error	*g/k-hmaᴮ	*ma²	ma⁵⁵	ma³³	-	-	gə³³ mɛ³³	ma¹¹	kə¹¹ma³¹῀	ma⁴⁵’	-	ma⁵⁵	xliii	
337	yam, potato	*hnwɛᴮ	*mwɛ²	nwɛ⁵⁵	nwɛ³³	nwɛ¹¹	-	nwɛ³³	nɛ¹¹	nwɛ¹¹ ̈	nwɛ⁴⁵’	nɛ³³	nɛ⁵⁵	xliv	
338	year	*hneŋᴮ	*nin²	neŋ⁵⁵	neŋ³³	ne¹¹	na¹¹	ɗe³³	de¹¹	ni³¹῀	ni⁴⁵’	nãi³³	nɛ̃i⁵⁵	xliv	
339	yellow	*Ɂbaŋᴬ	*baŋ³	-	-	baŋ⁵³	bɛ³³	-	bɔ⁵⁵	bɔ³³	bɔ⁵⁵	bɛ̃⁵⁵	bɔ̃³¹ ̈	xliv	
340	yes	*mwɛᴮ		mwɛ⁵³	mwɛ⁵⁵	mwɛ¹¹	ma¹¹	-	mɛ¹¹	me¹¹ ̈	mɛ³¹	mɛ¹¹ ̈	mwɛ³³	xliv	
341	young, soft, tender	*Ɉaᴮ	*cha¹	cha⁵³	ca⁵⁵	ca¹¹	ce¹¹	jɛ³³	ca¹¹	-	ca³¹	-	-	xliv	
	grandfather	*phowᴬ												xliv	
	house	*hiᴮ												xliv	
	mortar	*ch( )mᴮ												xliv	
	sky	*moʔᴰ⁓												xliv	
	smoke (n.)	*(hmeᴮ) khlowᴮ												xliv	
	wind	*k/g-liᴬ												xliv	
