English gloss	Part of speech; notes	Proto-Bodo-Garo
plant	v.t.	*kai²
plough	v.t.	*bwai¹
pluck (fruit)	v.t.	*[]ak
pluck, uproot	v.t.	*phuk
pot	n.	*tɯk
pour	v.t. (A)	*lu¹
pour	v.t. (B)	*sɯr²
prepare, repair	v.i.	*tha⁴-li
present suffix		*-a⁰
press, press out, squeeze	v.t.	*shep
profanation	n.	*shu¹-a
prop up, support	v.t.	*shuŋ²
pull	v.t.	*bɯt
put down	v.t.	*ton¹
rain	n.	*no⁴-kha
rain	v.i.	*phwa¹
rat	n.	*mV⁴-sV
raw, unripe	v.i. (cf. 'green')	*Gɯ⁰-thiŋ⁴
red	v.i.	*Gɯ⁰-cak
relation of parents of a married couple	n. (cf. 'house')	*nok⁴-cV-mai
remove skin (dress, bark, peel etc.)	v.t.	*khrVk
remove, take out	v.t.	*[]ok
return	v.i.	*bwal¹
rice beer	n.	*cu¹
rice flour, yeast	n.	*bwan¹-ci
rice, broken	n.	*khu[r]⁴
rice, flattened	n.	*roŋ¹-cu
rice, husked	n.	*mai¹-roŋ
rice, paddy, cooked rice	n.	*mai¹
ride animal, vehicle	v.t.	*Ga[¹]
right-hand side	n. (cf. 'hand')	*yak-ra
ring	n. (cf. 'hand')	*yak-[s]tam
ripe, cooked	v.i.	*mɯn¹
road, path	n.	*lam¹, *la¹-ma
roll up	v.t.	*thol²
roof	n. (cf. 'house')	*nok⁴-khum
roof, do roofing	v.t.	*lap
rot	v.i.	*Sao¹
row (boat)	v.t.	*cao¹
run, run away	v.i.	*khat
sacrifice, kill	v.t.	*that
saliva	n. (cf. 'mouth', 'water')	*khu³-dɯi
salt	n. (A)	*sɯm³
salt	n. (B)	*kha¹-rɯi
salty, too salty	v.i.	*prap
sand	n.	*haŋ²-ceŋ
satisfied, eaten enough	v.i.	*bwo⁴-kha
say	v.t.	*hɯn¹
scour	v.t.	*nat
scrape, clean	v.t.	*man[¹]-cV
scrape, shave	v.t.	*[h]rok-
see	v.t.	*nuk
seed for planting	n.	*ca²-lɯi
sell	v.t.	*phal¹
send	v.t.	*phwa[]⁴
set in place, as a trap	v.t.	*sa¹
set up post	v.t.	*shoŋ¹
seven	num.	*[ni⁴]
shade	n.	*S[]⁴-k[]um
shake, quiver	v.i.	*mao¹
sharp, wounded	v.i.	*mat
sharpen, whet	v.t.	*bwɯl³
shoot, of a tuber	n.	*phek
short	v.i.	*SVŋ¹
shoulder	n.	*phak-kroŋ
sing	v.t. (A)	*ruŋ³
sing	v.t. (B)	*ca⁴
sink, fall to bottom	v.i.	*grVp
sister, elder	n.	*bi⁴
sister, younger	n.	*na⁴-nao
sister-in-law, elder	n.	*bV¹-cɯi
sister-in-law, younger	n.	*sa¹-li
sit	v.i.	*a⁴-shoŋ
six	num.	*Dok
skin, peel, bark	n.	*Gur¹
sky	n.	*raŋ⁴
slender and long,	adv.	*liŋ⁴
smell bad	v.i.	*seŋ³
smoke	n. (cf. 'fire')	*war²-khun-tɯi
smoke	v.t.	*muk
snake	n.	*cu⁴-pu
snatch, take away	v.t.	*sek
soak, make wet	v.t.	*Sɯm²
