No.	Gloss	Proto-Ersuic
629	skirt	*(n)tʃʰæ
630	sky	*me / mo
631	slanted / askew	*tʰeɕʷiulɑ
632	sleep, lie down	*kʰejo
633	slippery (road)	*dendʐew¹
634	slow / clumsy	*diwæ¹
635	small	*jiji¹
636	smell	*hẽhẽ¹
637	smoke	*meŋkʰe²
638	smooth / glossy / sleek	*hĩhĩ
639	snake	*beri²
640	snap (thread)	*tsẽ
641	snare / trap	*wæ¹
642	snot	*hti(u) ‘nose’
643	snot (liquid)	*stiu(d)zære¹
644	snow	*ʑu¹
645	soak / steep	*ndʒo¹
646	soft	*njonjo²
647	soldier, army	*mo
648	son	*jizæ¹
649	son-in-law	*mopæ²
650	sore / boil	*mjari / meri¹
651	soul / spirit	*rAɬæ¹
652	sound	*tʂʰe¹
653	sour	*detʃew¹
654	spacious	*didi
655	span (thumb to finger)	*dʒwæ
656	speak, say	*dʑi¹
657	speech, language, dialect	*hwõ
658	speech, phrase, words	*gui¹
659	spider	*(h)kɑra(wɑ)²
660	spirit, deity	*ɬæ
661	sputum, phlegm	*tsʰekʰɑ¹
662	square / rectangular	*ʐiudu²
663	squeeze (for milk)	*ntsʰew
664	squirrel	*kætʃa
665	stable, steady	*nɑ
666	stand	*kʰendʑa¹
667	star	*kri¹
668	be startled / afraid	*ni²
669	steal	*mpʰru¹
670	steam (v.)	*mpʰru¹
671	step / stride	*mbi
672	step on / stamp / tread	*kotsV¹
673	sting (of wasps)	*ndzɑ¹
674	stinky, fishy-smelling	*deŋrɑ¹
675	stir-fry	*ndzæ¹
676	stone	*lo¹
677	stone, rock	*lo(bwo)¹
678	story	*jajihĩ²
679	stove (cooking) / range (kitchen)	*tsukʰæ
680	straight	*tɕutɕu
681	straw (rice)	*dzæbu¹
682	strength (physical)	*htʂomo²
683	stretch out (the arm)	*hwõ¹
684	strike (the table)	*mpʰjo²
685	stutterer	*lɑmo
686	sun	*niumæ¹
687	swallow	*nemi¹
688	sweat	*tʂu¹
689	sweep	*pʰja
690	sweet	*detʃʰiu¹
691	swell (of tissue)	*dere¹
692	tael (=50 grams)	*lo
693	tail	*mukr(w)V¹
695	tasty / delicious	*mri¹
696	tea	*dʒa¹
697	tears (“eye-water”)	*mjare¹
698	temple	*ɬæwo
699	ten	*tɕʰetɕʰe¹
700	ten (bound), -ty	*zi
701	ten thousand	*mbwo²
702	tender, young (plant)	*zæzæ¹
703	tendon	*bru²
704	testicle	*zulje¹
705	tether (a cow)	*kʰepʰui¹
706	thick	*rdurdu
707	thigh	*-pʰja
708	thin	*bi¹
709	thin (in diameter) / fine	*tsʰjetsʰje¹
710	thing, tool	*(pʰe)ŋgwo²
711	think / idea / opinion	*ndʑindʑa²
712	thirsty	*deʃo
713	this side / here	*kwopʰo
714	this year	*tsʰehĩ¹
715	thorn / splinter	*ntʃʰiu¹
716	thousand; ten cents	*htũ²
717	thread (a needle)	*su¹
718	three	*sjẽ²
719	three days from now	*miso
720	throat	*myihkwo¹
721	throw / hurl / toss	*tsʰje¹
722	thumb	*lemæ¹
723	thunder	*megi²
724	Tibetan	*pʰui¹
725	tie up, bind	*tsɑ¹
726	tiger	*læ¹
727	tight / taut	*kʰesu¹
728	tile	*ŋgo²
729	tired, fatigued	*nebre¹
730	tobacco / cigarette	*ji¹
731	today	*tæniu¹
732	tomb	*mo¹
733	tomorrow	*soniu²
734	tomorrow night / evening	*somwoŋkʰwo
735	tongs (fire)	*kæmbæ¹
736	tongue	*ht(s)ipi²
737	tonight	*t(w)ɑh(w)ã¹
738	tooth	*xui¹
739	topple / tear down (a wall)	*nedʑo
740	torch	*ʂu
741	tree	*sẽpu¹
742	true	*tɑ¹
743	trunk	*seŋgrɑ¹
744	turn (a corner)	*putɕʷew / gutɕʷew
745	turn around	*ŋeleʂi¹
746	kind of turnip (圆根 yuángēn)	*ŋe¹
747	twenty	*netsʰi¹
748	twist (hemp fibers) between the palms	*dego¹
749	two	*ne¹
750	uncle (mother’s brother)	*ɣwEmo / æɣwE¹
