no.	gloss	Akha Chicho	Akha Buli
447	month	ba³³la³³	ba³³la³³
448	this month	ba³³la³³xɤ³³ɕi²¹	ba³³la³³ȵm⁵⁵ɕi²¹
449	last month	mi⁵⁵nɤ³³nɤŋ³³ɕi²¹	ba³³la³³mi⁵⁵nɤŋ²¹ɕi²¹
450	next month	xɤ²¹sɤŋ⁵⁵ja³³ta²¹a³³ɕi²¹	ba³³la³³a²¹kʰa⁵⁵ɕi²¹
451	now	ȵuŋ³⁵xɤ²¹la̰²¹, xɤ³³ja²¹ma³³, xɤ³³po³³la̰²¹	ȵm³³
452	today	i²¹nɤŋ³³	i²¹nɤŋ³³
453	yesterday	mi⁵⁵nɤŋ³³	mi⁵⁵nɤŋ³³
454	tomorrow	ȵi³³ɕɤ²¹nɤŋ³³	nɤŋ³³ɕɔ²¹nɤŋ³³
455	everyday	a²¹jɔ³³nɤŋ³³a²¹jɔ²¹	a²¹jɔ²¹nɤŋ³³a²¹jɔ²¹
456	morning	u²¹ɕɔ³³pʰɔ³³	u²¹ɕɔ²¹jɤ³³na̰²¹
457	noon	nɤŋ³³ɣɤŋ⁵⁵	nɤŋ³³ɣɤŋ⁵⁵
458	evening	u²¹tɕi³³tɕi²¹tʰɔ³³	m²¹tɕi³³tʰɔ³³
459	night	u²¹tɕi³³	m²¹tɕi²¹
460	rainy season	u²¹jɛ⁵⁵jɛ⁵⁵ɤ³³jam²¹	jɛ³³ɣɤŋ³³jam²¹
461	cold season	ɤ²¹ga̰³³ga̰³³ɤ³³jam²¹	tsɛ²¹ga³³jam²¹
462	above	la²¹ta̰³³pʰɔ³³	xɔ³³ta̰³³, a²¹ta̰³³
463	below	dɤŋ²¹dɤŋ³³pʰɔ³³	a²¹ɔ̰³³
464	inside	la²¹xø⁵⁵	la²¹xø⁵⁵
465	outside	la²¹ȵi⁵⁵	la²¹ȵi⁵⁵
466	front	bø²¹tʰɛ⁵⁵pʰɔ³³	mi²¹ɕi⁵⁵pʰɔ⁵⁵
467	back	na⁵⁵xɤŋ³³pʰɔ³³	na⁵⁵xɤŋ³³pʰɔ³³
468	north	xø⁵⁵ta̰³³pʰɔ³³	a²¹ta̰³³pʰɔ³³
469	south	dɤŋ²¹dɤŋ³³pʰɔ³³	a²¹ɔ̰³³pʰɔ³³
470	east	nuŋ⁵⁵ma³³do̰³³xɛ²¹	nɤ⁵⁵ma³³do²¹la⁵⁵pʰɔ³³
471	west	nuŋ⁵⁵ma³³ga³³xɛ²¹	nɤ⁵⁵ma³³ga³³i⁵⁵pʰɔ³³
472	far	ɣɔ²¹mɔ⁵⁵ȵi²¹kʰa²¹	jɤ³³mɤŋ⁵⁵kʰa²¹
473	near	dɔ²¹pʰɛ³³	dɔ²¹pʰɛ³³
474	to come	la³³	la⁵⁵
475	to go	i⁵⁵	i⁵⁵
476	to return	o²¹le³³, o²¹la³³	o²¹le⁵⁵, o²¹la⁵⁵
477	to enter	u³³	u⁵⁵(la⁵⁵)
478	to exit	do³³	do̰³³(i⁵⁵)
479	to climb, to ascend	da̰²¹	po̰³³, da³³le⁵⁵
480	to descend	da̰²¹kʰa³³le³³	da²¹kʰa⁵⁵le⁵⁵
481	to fall	ga³³kʰa³³	ga³³kʰa³³
482	I	ŋa³³	ŋa⁵⁵
483	you, thou	nɔ³³	nɔ⁵⁵
484	he, she	tʰɤ³³ɣa²¹	tʰɤ⁵⁵ɣa²¹/nɔ⁵⁵[7]
485	we	ŋa³³ma̰²¹, a̰³³dɤ̰³³ma̰²¹	ŋɔ⁵⁵dɤ²¹ma²¹, ŋa³³ma̰²¹ (EXCL)
486	you, ye	nuŋ³³ma̰²¹	nuŋ³³ma̰²¹
487	they	xø⁵⁵bɔ³³ma̰²¹	xø⁵⁵bɔ²¹
488	who	a̰²¹so³³ɣa²¹	a²¹su³³ɣa²¹
489	this	xɤ³³	xɤ³³ʥɛ²¹
490	that	xø⁵⁵	xø⁵⁵ʥɛ²¹
491	what	a²¹dʑɛ²¹	a²¹ʥɛ²¹
492	where	a̰²¹ga³³	a²¹ga⁵⁵(dɛ⁵⁵)
493	why	a̰²¹dʑɛ³³	a²¹ʥɛ²¹ŋa²¹
494	very	jɔ³³xa̰⁵⁵mɯ²¹a³³	jɔ³³mɯ²¹mi⁵⁵ȵa³³ (very good)
495	still	si²¹	ma²¹dza²¹ɤ³³ɕi²¹ (I have not eaten yet.)
