No.	Category no.	Semantic category	Gloss	Proto-Tibeto-Burman
5711	1.1.1	Body	flesh / animal / body / agentive nominalizer	*sya-n ~ *sin
34	1.1.1	Body	flesh / meat / game animal	*sya-n
318	1.1.1	Body	body / owner / agentive nominalizer	*sin
1	1.1.1	Body	body / back	*guŋ
2	1.1.1	Body	body / chest / thorax / corpse	*s-kəw
3	1.1.1	Body	body / belly	*pum
4	1.1.1	Body	body	*g-zuk
6	1.1.1	Body	body	*tyaŋ
8	1.1.1	Body	body	*t(s)ak
11	1.1.1	Body	body	*lu-s
13	1.1.1	Body	body / torso / corpse	*puŋ
1126	1.1.1	Body	body	*tsyi
1125	1.1.1	Body	body	*ti
10	1.1.1	Body	body	*k(y)am
7	1.1.1	Body	body	*(p/b)aŋ
14	1.1.1	Body	body	*du
1900	1.1.1	Body	body / animal	*nam
21	1.1.1	Body	body (upper)	*s-twat
22	1.1.1	Body	body	*s-pi ~ *pay
1902	1.1.1	Body	suffix (nominalizer; bulk-provider)	*-pu ~ *-pwa
5364	1.1.1	Body	body / trunk	*kwak
5633	1.1.1	Body	hair	*t(y)u
35	1.1.1.1	Flesh/Meat	flesh / meat	*s-nya-k ~ *hyak
39	1.1.1.1	Flesh/Meat	flesh / meat / game animal	*mey
1130	1.1.1.1	Flesh/Meat	flesh / meat	*ka-y
38	1.1.1.1	Flesh/Meat	flesh / meat	*m-dwaŋ
41	1.1.1.1	Flesh/Meat	flesh / meat	*kan
54	1.1.1.1	Flesh/Meat	flesh / meat / animal	*m(y/w)an ~ *min
47	1.1.1.1	Flesh/Meat	flesh / meat	*ta(m)-
1862	1.1.1.1	Flesh/Meat	animal	*ri-dak
1866	1.1.1.1	Flesh/Meat	flesh / meat / deer	*s/g-la
58	1.1.1.1	Flesh/Meat	cattle / livestock / domestic animal	*dzay ~ *tsaːy
49	1.1.1.2	Lean (Meat)	lean / thin	*gray
44	1.1.1.2	Lean (Meat)	lean (meat)	*s-na
1805	1.1.1.2	Lean (Meat)	lean (meat, person)	*m/s-kam
1806	1.1.1.2	Lean (Meat)	lean (meat, person)	*syi
1807	1.1.1.2	Lean (Meat)	lean	*m-dzyaŋ
43	1.1.1.2	Lean (Meat)	lean (meat)	*ni
45	1.1.1.2	Lean (Meat)	lean (meat)	*kruk ~ *s-gyuk
55	1.1.1.2	Lean (Meat)	lean (meat)	*(ŋ/k)wak
327	1.1.2	Life/Breathe/Exist	breed / bring up	*sryal
72	1.1.2.1	Life/Live/Alive	live / alive	*dat
81	1.1.2.1	Life/Live/Alive	life	*srwak
1819	1.1.2.1	Life/Live/Alive	live	*ta
80	1.1.2.1	Life/Live/Alive	live	*ts(y)ow
62	1.1.2.1	Life/Live/Alive	life / breath	*mwa-n/s
32	1.1.2.2	Breath/Breathe	breath(e) / life	*m-sak
67	1.1.2.2	Breath/Breathe	blow / breath(e) / life	*h(r)u
65	1.1.2.2	Breath/Breathe	breath(e) / life	*d-buk
77	1.1.2.2	Breath/Breathe	breath(e) / live	*g/m-swan
73	1.1.2.2	Breath/Breathe	breath(e) / live	*dwam
1814	1.1.2.2	Breath/Breathe	breathe	*ti
1810	1.1.2.2	Breath/Breathe	breathe / draw (breath)	*raŋ¹
1817	1.1.2.2	Breath/Breathe	gasp / pant	*g-haŋ
66	1.1.2.2	Breath/Breathe	breath / lung / spirit / voice / heart	*s(y)am-s
5640	1.1.2.2	Breath/Breathe	breathe	*waŋ
68	1.1.2.2	Breath/Breathe	breathe / pant	*r-ŋam
5788	1.1.2.2	Breath/Breathe	pant	*s-ləy
5789	1.1.2.2	Breath/Breathe	be / breathe	*duŋ ~ *duk
1821	1.1.2.3	Existence	be / copula / nominalizer / subordinator / god	*s/g-ray ~ *way
449	1.1.2.3	Existence	be / copula / nominalizer / subordinator	*g-ray
658	1.1.2.3	Existence	god / creator	*g-ray
450	1.1.2.3	Existence	be / copula / nominalizer / subordinator	*way
5495	1.1.2.3	Existence	pluralizer	*s-ray
84	1.1.2.3	Existence	stay / rest / dwell / be / live / alight / perch	*g-na-s
2608	1.1.2.3	Existence	be / exist / copula	*s-ri-t ~ *s-rut
4477	1.1.2.3	Existence	dwell / exist / live / stay	*ʔum
4565	1.1.2.3	Existence	stay / spend (time)	*tsam
5741	1.1.2.3	Existence	copula / be	*nay
5792	1.1.2.3	Existence	god / creator	*g-sa(ŋ)
99	1.1.3	Hungry	hungry / thirsty	*mwat ~ *ŋ(w)at
106	1.1.3	Hungry	hungry	*b-kri-n/s
104	1.1.3	Hungry	hungry	*nwaŋ
105	1.1.3	Hungry	hungry / thirsty	*kwa-k
113	1.1.3	Hungry	hungry	*wan
3550	1.1.3	Hungry	hungry	*ywaŋ-s
101	1.1.3.1	Thirsty	thirsty / hungry	*si(p)
3298	1.1.3.1	Thirsty	dried up / thirsty	*s-wi ~ *s-way
1826	1.1.3.1	Thirsty	thirsty	*s-pa(ŋ/k)
1825	1.1.3.1	Thirsty	thirsty / hungry	*g-ra(ŋ/k)
122	1.1.3.1	Thirsty	thirsty	*wat
3297	1.1.3.1	Thirsty	thirsty	*pu
103	1.1.3.1	Thirsty	tired / thirsty	*bal
116	1.1.3.1	Thirsty	thirsty / dried out	*k(w)am
119	1.1.3.1	Thirsty	roast / toast / dry / hot / burn / thirsty	*(k/g)a(ː)ŋ
1001	1.1.3.1	Thirsty	dry / dried out	*gru ~ *grwa
120	1.1.3.1	Thirsty	dry (up)	*kan
100	1.1.3.2	Satiated/Full/Enough	satiated	*m-pup
135	1.1.3.2	Satiated/Full/Enough	full / satiated	*(g/k)aŋ
114	1.1.3.2	Satiated/Full/Enough	satiated / provisions / grain	*m-gra-ŋ
1829	1.1.3.2	Satiated/Full/Enough	satiated	*kru
1830	1.1.3.2	Satiated/Full/Enough	satiated	*m-dyat
1833	1.1.3.2	Satiated/Full/Enough	satiated	*s/k-wa
115	1.1.3.2	Satiated/Full/Enough	satiated	*ka-s
1832	1.1.3.2	Satiated/Full/Enough	full / satiated	*m-nyəw-t/s
1834	1.1.3.2	Satiated/Full/Enough	full / satiated	*mwa
138	1.1.3.2	Satiated/Full/Enough	enough / satiated	*luk
111	1.1.3.2	Satiated/Full/Enough	full / fill	*(p/b)liŋ
5715	1.1.3.2	Satiated/Full/Enough	full (of container)	*m-nywa(n/t)
132	1.1.3.2	Satiated/Full/Enough	full / flat / straight	*l-(t/d)yam
7091	1.1.3.2	Satiated/Full/Enough	full / satiated	*taw
143	1.1.4	Wake/Conscious/Alert	awake / awaken	*s-nəw
142	1.1.4	Wake/Conscious/Alert	arise / awake / awaken	*m-sow
150	1.1.4	Wake/Conscious/Alert	awake	*s(y)a
154	1.1.4	Wake/Conscious/Alert	wake	*(t)sin-t
1836	1.1.4	Wake/Conscious/Alert	wake	*(t/d)uŋ
1837	1.1.4	Wake/Conscious/Alert	wake up / morning / clear-headed / sober up	*s(y)u-ŋ/k
144	1.1.4	Wake/Conscious/Alert	morning / awake / alert	*b/s-raŋ
148	1.1.4	Wake/Conscious/Alert	get up / rise / awaken	*tu
145	1.1.4	Wake/Conscious/Alert	stand	*g-r(y)ap
152	1.1.4	Wake/Conscious/Alert	lift / raise / awake	*kyi
5403	1.1.4	Wake/Conscious/Alert	rouse / awaken / disturb	*kruk
5768	1.1.4	Wake/Conscious/Alert	awake	*tsywar
5769	1.1.4	Wake/Conscious/Alert	awake	*swat
5770	1.1.4	Wake/Conscious/Alert	awake	*dar
127	1.1.4.1	Sleep/Be asleep	sleep	*s-y(i/u)p
128	1.1.4.1	Sleep/Be asleep	sleep	*g-(d)z(i/u)m
129	1.1.4.1	Sleep/Be asleep	sleep / sleepy / lie down	*m/s-nyal
130	1.1.4.1	Sleep/Be asleep	sleep / dream	*r/s-mwəy
131	1.1.4.1	Sleep/Be asleep	sleep / nod	*g/r-nyit
140	1.1.4.1	Sleep/Be asleep	sleep	*(k/g)li-n
2128	1.1.4.1	Sleep/Be asleep	sleep	*ka(r)
146	1.1.4.1	Sleep/Be asleep	sleep / dream	*draŋ
3299	1.1.4.1	Sleep/Be asleep	lie down	*g-laːm
126	1.1.4.2	Dream	dream	*s/r-ma(ŋ/k)
1838	1.1.4.2	Dream	dream	*m-ŋwa
1842	1.1.5	Strength	strong / firm / tense	*g/m/b-raŋ
157	1.1.5	Strength	strength / power	*d-baŋ
1840	1.1.5	Strength	strength	*ʔan
1843	1.1.5	Strength	strength	*tsyi-k
159	1.1.5	Strength	strong / firm / steadfast	*b-tsan
161	1.1.5	Strength	strong / hard / tough	*twal
1839	1.1.5	Strength	rough / scaly	*sak
185	1.1.5	Strength	hard / solid	*kywaŋ
186	1.1.5	Strength	hard / solid	*tsak-t
174	1.1.5	Strength	hard / difficult / poor / distressed	*s-ra
173	1.1.5	Strength	hard / difficult	*kak
175	1.1.5	Strength	hard / difficult	*s-yak
5677	1.1.5	Strength	strength / win / classifier for people	*k-ra
5727	1.1.5	Strength	strong	*r-kaŋ
160	1.1.5.1	Sick/Hurt/Ache	ill / pain / sore / ache / difficult / evil spirit	*na-n/t
1844	1.1.5.1	Sick/Hurt/Ache	hot / fever / hurt / ill / hungry	*tsa-t ~ *dza-t
1846	1.1.5.1	Sick/Hurt/Ache	hurt / ache	*t(u/i)(k/ŋ)
1849	1.1.5.1	Sick/Hurt/Ache	ill / hurt / ache	*m-gu
1845	1.1.5.1	Sick/Hurt/Ache	sad / tired / ill / achy	*s-nyuŋ
1847	1.1.5.1	Sick/Hurt/Ache	sick / ache	*r-kyi
2167	1.1.5.1	Sick/Hurt/Ache	convalesce / recover / return	*bran
6192	1.1.5.1	Sick/Hurt/Ache	disease / illness / ailment / discomfort / hot	*s-ra-y
4728	1.1.5.1	Sick/Hurt/Ache	numb / ache / hurt	*h(i/u)t
163	1.1.5.2	Swollen/Swell/Bloated	swell / swollen / fat / thick / rounded part	*s-bʷa(m/p)
1317	1.1.5.2	Swollen/Swell/Bloated	calf / leg	*bwap
1852	1.1.5.2	Swollen/Swell/Bloated	swelling / goiter	*bwar
1855	1.1.5.2	Swollen/Swell/Bloated	pregnant / swollen	*bwat
1854	1.1.5.2	Swollen/Swell/Bloated	goiter	*l/m-ba
27	1.1.6	Die/Deathly	die	*səy
31	1.1.6	Die/Deathly	extinguish / shut abruptly / wink / blink / die	*s-miːt
1860	1.1.6	Die/Deathly	perish / be spent / be lost / lose / disappear / exhausted / forget	*g/s-ma-t/n
30	1.1.6	Die/Deathly	die / drop down / cessative	*taŋ
1861	1.1.6	Die/Deathly	die / dead / corpse	*s-pwap
28	1.1.6	Die/Deathly	dead, spirit of	*tsu
29	1.1.6	Die/Deathly	die / spirit of dead / non-viable	*swan
3300	1.1.6	Die/Deathly	die / kill	*(g/k)um
3301	1.1.6	Die/Deathly	die	*kay
5676	1.1.6	Die/Deathly	die (respectful)	*grwaŋ
17	1.1.6.1	Carcass/Dead Body	body / corpse	*s-maŋ
19	1.1.6.1	Carcass/Dead Body	withered / residue / corpse	*s-raw
18	1.1.6.1	Carcass/Dead Body	body / corpse	*ʔu
12	1.1.6.1	Carcass/Dead Body	body / corpse	*rwa(ŋ/k)
1801	1.1.6.1	Carcass/Dead Body	body / corpse / discarded object	*s-lwaŋ
23	1.1.6.1	Carcass/Dead Body	corpse	*tuŋ
24	1.1.6.1	Carcass/Dead Body	corpse	*s-pur
63	1.1.6.1	Carcass/Dead Body	corpse	*dzal
26	1.1.6.1	Carcass/Dead Body	corpse	*moy
25	1.1.6.1	Carcass/Dead Body	corpse	*ŋun
385	1.2.1	Head/Headed	head / center / senior male relative / uncle	*d-bu-s
1223	1.2.1	Head/Headed	head	*du
386	1.2.1	Head/Headed	head	*m/s-gaw
1224	1.2.1	Head/Headed	head / skull / wear on the head	*kuk
387	1.2.1	Head/Headed	hollow / hollow object / head	*s-kawŋ
1221	1.2.1	Head/Headed	head	*k-lu
383	1.2.1	Head/Headed	crown of head	*d-kyil
392	1.2.1	Head/Headed	head / forehead	*p-laŋ
388	1.2.1	Head/Headed	head	*(p/b)wa(ŋ)
1722	1.2.1	Head/Headed	upper surface / top / above / climb / lift / ascend / palate	*l-t(y)ak
391	1.2.1	Head/Headed	head	*s-tak
692	1.2.1	Head/Headed	pillow / block / bench / bedstead	*m-k(u/i)m
5794	1.2.1	Head/Headed	pillow / cushion	*s-mwan
1242	1.2.1	Head/Headed	head	*pil
2002	1.2.1.1	Skull	forehead / skull	*twat
2004	1.2.1.1	Skull	skull	*kwam
2005	1.2.1.1	Skull	skull	*grap
1197	1.2.1.3	Fontanel	fontanelle / skull	*s/l-ŋwa-y
1196	1.2.1.3	Fontanel	fontanelle / pate	*(d/t)ip
1198	1.2.1.3	Fontanel	fontanelle	*(r/w)a-y
2007	1.2.1.3	Fontanel	fontanelle	*m-tswak
814	1.2.2	Horn(ed)/Antler	horn / angle / corner	*m/g-(r)wa-ŋ/k/t
2009	1.2.2	Horn(ed)/Antler	horn	*nu-(ŋ/k) ~ *nwa-(ŋ/k)
819	1.2.2	Horn(ed)/Antler	horn	*d-krəw
2012	1.2.2	Horn(ed)/Antler	horn	*r-ki
2010	1.2.2	Horn(ed)/Antler	antler	*bak
1144	1.2.2.1	Comb/Crest	cockscomb	*tsywak
1148	1.2.2.1	Comb/Crest	cockscomb / crest	*l-mawk
1471	1.2.2.1	Comb/Crest	cockscomb	*m-tsywaŋ
2016	1.2.2.1	Comb/Crest	cockscomb	*prya(p/m)
2014	1.2.2.1	Comb/Crest	summit / crest / cockscomb	*r-tsey
1472	1.2.2.1	Comb/Crest	cockscomb	*tsyar
1220	1.2.2.2	Comb (Hair)	comb (for hair)	*ʔ-gʷəy-s
1219	1.2.2.2	Comb (Hair)	comb / rake	*m-si-t
5892	1.2.2.2	Comb (Hair)	comb / brush (v.)	*g-s-y(w)at
1232	1.2.3	Hair of Head	hair (head)	*n-dzi-k
368	1.2.3	Hair of Head	hair of head	*r-(n/m)ey
367	1.2.3	Hair of Head	hair of head / head	*s-kra
372	1.2.3	Hair of Head	hair (head) / thread / sinew / tendon	*kriŋ
366	1.2.3	Hair of Head	hair (head)	*(t)sam
1473	1.2.3.1	Cowlick/Flexure	cowlick	*boy
2021	1.2.3.1	Cowlick/Flexure	cowlick / tuft of hair	*kwan OR kwa(l/r)
2018	1.2.3.2	Queue/Braid	braid / plait / interweave	*(p/b)(r)a(n/t)
2019	1.2.3.2	Queue/Braid	braid / queue	*m-tsywak
2023	1.2.3.2	Queue/Braid	braid	*s-n(y)ak
1436	1.2.3.4	Bald	bald	*(d/t)u-k
243	1.2.4	Brain	brain	*s-nəw-k
463	1.2.4	Brain	brain / marrow	**g-ts(y)u(k/ŋ) ~ **g-ts(y)i-k
1133	1.2.4	Brain	brain / marrow	*t(w)a(k/ŋ)
249	1.2.4	Brain	brain	*s-nip
247	1.2.4	Brain	brain	*s/k-lwak
464	1.2.4	Brain	brain / marrow	*(s/h)la
465	1.2.4	Brain	brain / marrow	*(k/g)lat
252	1.2.4	Brain	brain	*p(u/i)-k
1187	1.2.5	Face	face / cheek / front / ahead / first	*s-ma-y
1190	1.2.5	Face	face / mouth	*zyal
1192	1.2.5	Face	face / front	*r-ŋwa-l
2017	1.2.5	Face	topknot / forepart / front side	*ŋar
2525	1.2.5	Face	before / front	*s-ŋa
1188	1.2.5	Face	face	*s-myal
1184	1.2.5	Face	face	*s-li
1186	1.2.5	Face	face	*pluŋ
2031	1.2.5	Face	face / front part	*g-dwaŋ
2037	1.2.5	Face	face / cheek	*(t)si
2032	1.2.5	Face	face	*kul
2039	1.2.5	Face	face	*b-ram
2034	1.2.5	Face	face	*ts(y/w)ak
6151	1.2.5	Face	blush / red	*n(y)a-n
358	1.2.5.1	Forehead/Temples	forehead	*ta-y
354	1.2.5.1	Forehead/Temples	forehead	*s-mawŋ
371	1.2.5.1	Forehead/Temples	forehead / head / hair (of head) / horn	*m-twaŋ
384	1.2.5.1	Forehead/Temples	forehead / face	*d-(p)ral
2025	1.2.5.1	Forehead/Temples	forehead	*g(w/r)aŋ
356	1.2.5.1	Forehead/Temples	forehead / cockscomb	*s-ŋa-k
353	1.2.5.1	Forehead/Temples	forehead	*kup
2027	1.2.5.1	Forehead/Temples	forehead / face	*haŋ
268	1.2.5.2	Jaw/Cheek	cheek / jaw / chin	*m/s-ba
263	1.2.5.2	Jaw/Cheek	cheek	*bwaŋ
264	1.2.5.2	Jaw/Cheek	cheek	*m-b(y/r)aŋ
277	1.2.5.2	Jaw/Cheek	cheek	*pow
284	1.2.5.2	Jaw/Cheek	cheek / buttock / chin	*(t)s-wa(s/r)
2053	1.2.5.2	Jaw/Cheek	cheek / chin / jaw	*g(y/w)ar
2051	1.2.5.2	Jaw/Cheek	cheek / chin	*tsyi(p/m)
2052	1.2.5.2	Jaw/Cheek	cheek / chin	*ney
2046	1.2.5.2	Jaw/Cheek	cheek / face	*wam
266	1.2.5.2	Jaw/Cheek	cheek / jaw	*gra
278	1.2.5.2	Jaw/Cheek	jaw / cheek / chin	*kap
2049	1.2.5.2	Jaw/Cheek	jaw	*tsyaŋ
2047	1.2.5.2	Jaw/Cheek	cheek / jaw	*b-rup
267	1.2.5.2	Jaw/Cheek	cheek / jaw / chin / face	*k(w)aŋ
2055	1.2.5.2	Jaw/Cheek	jaw / chin	*tri
281	1.2.5.2	Jaw/Cheek	lower jaw	*kyit ~ *krik
274	1.2.5.2	Jaw/Cheek	jaw	*m-gal
271	1.2.5.2	Jaw/Cheek	chin / cheek	*s-bi ~ *s-bay
630	1.2.5.2	Jaw/Cheek	jaw / chin / molar	*gam
262	1.2.5.2	Jaw/Cheek	cheek / face / jaw	*s-gram
286	1.2.5.3	Chin	chin / cheek	*l/m-da(n/ŋ)
280	1.2.5.3	Chin	chin / cheek	*s-tu(n/m)
273	1.2.5.3	Chin	mouth / opening / spread / door / face / jaw	*m/s-k(w)a-y
2057	1.2.5.3	Chin	chin	*s-kow
287	1.2.5.3	Chin	chin / dimple	*li
2059	1.2.5.3	Chin	chin / cheek / jaw	*ŋam
1265	1.2.5.5	Beard/Moustache/Facial Hair	moustache / beard / chin	*ra
1114	1.2.5.5	Beard/Moustache/Facial Hair	beard / moustache	*s-ma-ŋ
370	1.2.5.5	Beard/Moustache/Facial Hair	hair / mane / beard	*(t)su-ŋ
1112	1.2.5.5	Beard/Moustache/Facial Hair	chin / jaw / beard	*siŋ ~ *syaŋ
1111	1.2.5.5	Beard/Moustache/Facial Hair	beard / moustache	*(t)sya-y
1266	1.2.5.5	Beard/Moustache/Facial Hair	moustache / beard	*kway
1115	1.2.5.5	Beard/Moustache/Facial Hair	mouth / moustache / beard	*yar
2064	1.2.5.5	Beard/Moustache/Facial Hair	beard	*r-gya-n
2065	1.2.5.5	Beard/Moustache/Facial Hair	beard	*g-wu
33	1.2.6	Eye	eye	*s-myak ~ *s-mik
682	1.2.6	Eye	eye	*s-mik
681	1.2.6	Eye	eye	*s-myak
1261	1.2.6	Eye	eye	*dzyuŋ ~ *tsyuŋ
2068	1.2.6	Eye	eye / eyeball	*m-du
2072	1.2.6	Eye	eyeball / eyebrow / eyelash	*s-kywar
2045	1.2.6	Eye	rounded part	*s-ruŋ
1019	1.2.6	Eye	fruit / rose / round object	*sey
2071	1.2.6	Eye	rice / fruit / bear fruit / round object	*b-ras
2067	1.2.6	Eye	bean / eye	*s-nuk
2075	1.2.6	Eye	eyebrow / eyelash	*(k/g)um
2076	1.2.6	Eye	eyelash / eyelid	*ba OR pa
2078	1.2.6	Eye	eyelash / eyelid	*s-(b)r(i/u)m
2080	1.2.6	Eye	water / rain	*r/s/g-wa
189	1.2.6	Eye	water	*si
2073	1.2.6.1	Eyeball	eyeball	*g-(d/r)a
187	1.2.6.7	Tears	tears	*b-ləy-k
1227	1.2.6.10	See/Look	see	*mraŋ
1229	1.2.6.10	See/Look	see / know	*m-kya(ŋ/n)
1402	1.2.6.10	See/Look	see / show	*m/s-twaŋ
5554	1.2.6.10	See/Look	think / brain	*s-nyam
1405	1.2.6.10	See/Look	know / see	*ka(n/ŋ)
5419	1.2.6.10	See/Look	look / try to	*ney
5852	1.2.6.12	Blink/Wink	wink / blink / eyelash	*C-(t)(s)-(y/r)ap
1239	1.2.6.14.2	Blind	blind	*p-law(ŋ/k)
1253	1.2.6.14.2	Blind	blind	*dwa(ŋ/k)
1401	1.2.6.14.2	Blind	blind / tightly closed	*tsy(w)at
811	1.2.7	Ear	ear / hear / listen	*r/g-na
825	1.2.7	Ear	ear	*nam
1423	1.2.7	Ear	hole	*puŋ
816	1.2.7	Ear	ear	*m-tsywa-(k/ŋ)
817	1.2.7	Ear	ear	*l-kwaŋ
2083	1.2.7	Ear	ear	*s-ri
818	1.2.7	Ear	ear / earlobe / flat thing	*byaŋ
812	1.2.7	Ear	ear / lobelike part	*b(r)aŋ
2084	1.2.7	Ear	ear	*myaŋ
2082	1.2.7	Ear	ear	*tsy(u/i)(l/r)
823	1.2.7	Ear	ear	*kyap
2070	1.2.7	Ear	hole / orifice / ear	*ruŋ
822	1.2.7	Ear	hole / orifice / cave / pit / well (for water)	*dwa(ː)ŋ
815	1.2.7.3	Earwax	earwax	*s-p(w)a-(p/k)
2089	1.2.7.3	Earwax	earwax	*tsyu
2088	1.2.7.3	Earwax	dirt / filth	*ku
1408	1.2.7.4	Hear/Listen	hear	*s-ta-s ~ *ta-n
1410	1.2.7.4	Hear/Listen	hear / listen	*s-nyan
1411	1.2.7.4	Hear/Listen	hear / listen / sound	*(k/g)ra
1409	1.2.7.5	Deaf	deaf	*(b/p)aːŋ
1412	1.2.7.5	Deaf	deaf	*tawŋ
1413	1.2.7.5	Deaf	deaf	*l-ywa(ŋ/n)
803	1.2.8	Nose	nose	*s-na ~ *s-naːr
806	1.2.8	Nose	nose / nostril	*bu(k/ŋ)
807	1.2.8	Nose	nose	*l-di
810	1.2.8	Nose	nose	*bi
809	1.2.8	Nose	nose	*(k/g)ywaŋ
808	1.2.8	Nose	nose	*t(w)a(ŋ/n)
2091	1.2.8	Nose	nose	*-ts(y)a
2093	1.2.8	Nose	nose	*ka ~ *ŋa
2132	1.2.8.3	Snout	snout	*tun
1420	1.2.8.5	Smell	smell / fragrant	*s-mu(y/r)
5756	1.2.8.5	Smell	stink / smell bad	*bu
1422	1.2.8.5	Smell	smell	*(d/t)um
1421	1.2.8.5	Smell	smell / odor	*bat
1417	1.2.8.5	Smell	smell / scent / fragrant	*b-s(u/a)ŋ
1418	1.2.8.5	Smell	smell	*s-ŋu
1416	1.2.8.5	Smell	smell	*s-rim
1415	1.2.8.5	Smell	smell	*m/s-nam
467	1.3.1	Mouth	mouth / lip / hold in mouth / chew / face / gills	*s-muːr
468	1.3.1	Mouth	mouth	*ku(w)
470	1.3.1	Mouth	mouth	*nap
474	1.3.1	Mouth	crack open / mouth / chin	*ak
687	1.3.1	Mouth	mouth	*s-muk
453	1.3.1	Mouth	mouth / lip	*ban
2096	1.3.1	Mouth	mouth	*(b/p)i
476	1.3.1	Mouth	mouth	*m-p(r)(w)aŋ
2095	1.3.1	Mouth	mouth / beak / food / stomach	*l-tywa
2097	1.3.1	Mouth	mouth / beak	*tsywaŋ
473	1.3.1	Mouth	mouth	*kwaŋ
2099	1.3.1	Mouth	mouth	*s-ŋyar
2100	1.3.1	Mouth	mouth	*nwaŋ
1719	1.3.1.1	Palate	palate / top part	*(t/d)a(ŋ/k)
1721	1.3.1.1	Palate	palate	*kur
636	1.3.1.1	Palate	palate / gums	*d/r-kan
1735	1.3.1.1	Palate	palate	*ha(m/p)
1716	1.3.1.3	Yawn/Gape	yawn	*ha-y
1715	1.3.1.3	Yawn/Gape	yawn	*m-ha(ː)m ~ *kam
1732	1.3.1.4	Blow	blow	*mu(r/l)
75	1.3.1.4	Blow	blow	*pu
1743	1.3.1.4	Blow	blow	*pur
1739	1.3.1.4	Blow	blow	*tsuy
1740	1.3.1.4	Blow	blow	*hywan
1744	1.3.1.4	Blow	blow	*s-la
1745	1.3.1.4	Blow	blow / blow nose / breathe / lung	*swar
503	1.3.1.4	Blow	blow (with mouth)	*k/s-mut
442	1.3.2	Lip	nose and mouth / lip / lower part of face	*m-ts(y)ul
441	1.3.2	Lip	lip	*s-nyas
454	1.3.2	Lip	lip / mouth / edge / bank	*r-ka(ː)m
452	1.3.2	Lip	lip / lobe / lid	*b(i/u)l ~ *byal
456	1.3.2	Lip	lip	*b-lu
621	1.3.3	Tongue	tongue	*m/s-lay ~ *s-ley
623	1.3.3	Tongue	tongue	*s/m-l(y)a-t
625	1.3.3	Tongue	tongue / lick / flame	*s-lyam
628	1.3.3	Tongue	lick / tongue	*s-lyaːw
629	1.3.3	Tongue	lick / tongue	*m/s/g-lyak
632	1.3.4	Tooth	tooth	*s/p-wa
635	1.3.4	Tooth	tooth / tusk	*m-dzyway
1322	1.3.4	Tooth	tooth	*s-k-lu
1176	1.3.4	Tooth	tooth (molar) / wisdom tooth	*bu(k/p)
1728	1.3.4	Tooth	tooth	*b/k-(l)aŋ
631	1.3.4	Tooth	tusk / fang / canine tooth	*s-wik
2813	1.3.4	Tooth	tooth	*d-yu(ŋ/k)
3316	1.3.4	Tooth	tooth / molar	*twaŋ
634	1.3.4.1	Eyetooth/Tusk/Canine Tooth	tusk / tooth	*s-ŋya
637	1.3.4.1	Eyetooth/Tusk/Canine Tooth	tusk / molar	*k(w/y)aŋ
1622	1.3.4.2	Molar	female / mother / big / molar	*pwi(y)-n
504	1.3.4.3	Gums	gums	*r/m-nil
3321	1.3.4.3	Gums	gums	*(r/n)iŋ
1723	1.3.4.3	Gums	palate / gums	*kwaŋ
688	1.3.4.4	Bite/Hold in Mouth	bite / chew	*g-wa-t
744	1.3.4.4	Bite/Hold in Mouth	bite down on	*C-tsat
755	1.3.4.4	Bite/Hold in Mouth	bite / chew	*k(w)ak ~ *k(y)ak
1774	1.3.4.4	Bite/Hold in Mouth	hold in mouth / bite	*par
743	1.3.4.4	Bite/Hold in Mouth	bite / snap at / mouthful	*hap
2333	1.3.4.4	Bite/Hold in Mouth	grind	*kriːt
2231	1.3.4.4	Bite/Hold in Mouth	put into mouth, seize with mouth	*gam
1147	1.3.4.5	Chew	chew	*g-(r/l)(y)at
1759	1.3.4.5	Chew	chew	*nak
1760	1.3.4.5	Chew	chew / bite	*b-ruk
1761	1.3.4.5	Chew	chew / gnaw	*ŋyat
1762	1.3.4.5	Chew	chew	*m-gwya
1763	1.3.4.5	Chew	chew (noisily) / munch	*k(r/w)ap
1770	1.3.4.5	Chew	chew	*k(r/l)uŋ
1771	1.3.4.5	Chew	chew (cud, betel)	*wal ~ *m-yal
1772	1.3.4.5	Chew	chew / hold in the mouth	*ŋam
1775	1.3.4.5	Chew	chew	*tya(p/m)
1777	1.3.4.5	Chew	chew	*m-k(r)a-y
1778	1.3.4.5	Chew	chew	*m-dzyak
5851	1.3.4.5	Chew	chew / taste	*b-l-t(y/w)at
495	1.3.5	Throat/Pharynx	throat / neck	*kwa
499	1.3.5	Throat/Pharynx	throat	*lwam
489	1.3.5	Throat/Pharynx	throat	*k/s-raw(k/ŋ) ~ *k-rwa(k/ŋ)
488	1.3.5	Throat/Pharynx	throat / palate	*k-(r/l)aw
486	1.3.5	Throat/Pharynx	throat / neck	*l-kwak
496	1.3.5	Throat/Pharynx	throat	*m-g(u/i)l
490	1.3.5	Throat/Pharynx	throat	*wa(l/r)
498	1.3.5	Throat/Pharynx	throat	*s(y)a(m/ŋ)
500	1.3.5	Throat/Pharynx	nape / neck / throat	*sit
491	1.3.5	Throat/Pharynx	throat	*grey-k
493	1.3.5	Throat/Pharynx	throat	*kak
494	1.3.5	Throat/Pharynx	throat / neck	*ka
3363	1.3.5	Throat/Pharynx	throat	*m-tsywa(ŋ)
3401	1.3.5	Throat/Pharynx	throat	*ywa(p/m)
