No.	Gloss	Proto-Katuic
887	year	*kmɔɔ
888	pine tree	*sŋɔɔ
889	paddy rice	*sarɔɔ
890	set trap	*tɔɔ
891	spear trap	*tahɔɔ
892	older sister	*ʔamɔɔʔ
893	ivory	*balɔɔʔ
894	pen for animals	*gɔɔʔ
895	go	*pɔɔʔ
896	squirrel	*prɔɔʔ
897	feed someone	*-rɔɔʔ
898	thin (person)	*ʔɔɔc
899	itch(y)	*ʔnsɔɔc
900	sharpen (whittle)	*kɔɔc
901	use up, wear down	*klɔɔc
902	hunt by stalking	*mɔɔc
903	drink (v)	*ŋɔɔc
904	intestines	*rɔɔc
905	salt	*bɔɔh
906	clap	*tmprɔɔh
907	funeral singing	*ʔarɔɔj
908	housefly	*ʔarɔɔj
909	finger	*ʔnɗɔɔj
910	salt	*ɓɔɔj
911	seek, track	*ɓɔɔj
