No.	Gloss	Proto-Palaungic
342.	carry	*kɔk
343.	together	*kɔm
344.	hold	*kɔŋ
345.	cover	*kɔp
346.	strong	*kɔr
347.	thorn	*kɤ/at
348.	ten	*kɤːl
349.	dig	*kɤːŋ
350.	porcupine	*-ŋkɤːs
351.	wake, get up	*kɤh
352.	muddy	*cəkɤl
353.	fell (trees)	*kɤl
354.	vulva	*kiɛl
355.	cucumber	*təkiɛl
356.	finger	*-kiɛn
357.	snip	*kiɛp
358.	moon	*kiɛr
359.	mountain goat	*kiɛs
360.	head	*kiŋ
361.	throat	*koː/ɔk
362.	cut off	*koːh
363.	lizard	*-koːj
364.	peacock	*koːŋ
365.	husked rice	*rəŋkoːʔ
366.	settled area	*kuːŋ
367.	bend	*kuːn
368.	father	*kuːɲ
369.	wind, air	*kuːr
370.	body	*kuːʔ
371.	pigeon, dove	*-kuːʔ
372.	sleep, to laze	*laːc
373.	each, other	*-laːj
374.	squirrel	*-laj
375.	fruit-bat	*-laːk
376.	go (on foot)	*lan
377.	planet	*kərlaːŋ
378.	burn (tr.)	*laːs
379.	slice	*lah
380.	trade	*laj
381.	good	*lak
382.	hoe, hammer	*lak
383.	sharp	*lam
384.	black	*laŋ
385.	beat	*las
386.	pass by/through	*-lɔːn
387.	boat	*-lɔːŋ
388.	earthworm	*lɔːr
389.	draw out	*lɔːt
390.	snail	*-lɔːʔ
391.	flash	*lak-lɔk
392.	exit	*le/ih
393.	pig	*-leːk
394.	wheel	*-leːŋ
395.	take, hold	*leːʔ
396.	boil	*rəla/ɤk
397.	swallow	*-lə/at
398.	on, above	*lɤːŋ
399.	froth	*-lɤk
400.	wrap	*lɤm
401.	waist	*liɛm
402.	young	*liɛŋ
403.	lick	*liɛt
404.	muddy	*-loːɁ
405.	eggplant/gourd	*-luŋ
406.	jump	*-luŋ
407.	take off	*luːc
408.	tadpole	*luːl
409.	rest	*rəluːʔ
410.	firefly	*lVŋ
411.	enter	*lVp
412.	tasteless	*bleʔ
413.	exchange	*blɤk
414.	spear	*bliɛs
415.	thigh	*bluːʔ
416.	thorn	*claːʔ
417.	rain	*cleːʔ
418.	return	*glaːj
419.	blind	*ʰlɛp
420.	flow	*ʰlaj
421.	leaf	*ʰlaʔ
422.	pass	*-ʰlɔːh
423.	slip, be unfastened	*ʰlɔːr
424.	long, high	*ʰlɤːŋ
425.	dive	*ʰlɤm
426.	arrive, obtain	*ʰloːh
427.	inundate	*ʰluːp
428.	deaf	*ʰluːt
429.	shut	*kəʰlap
430.	thread	*kəʰlɔr
431.	hawk, kite, eagle	*klaːŋ
432.	carry on shoulder	*klam
433.	testicles	*klaw
434.	banana	*klɔːj
