No.	Gloss	Proto-Pakanic	Pre-Pakanic	Bolyu	Bugan (Nala)	Bugan (Manlong)
203	deep	*kau		ɣau2	kou³¹	kau³¹
204	straight (not crooked)	*pjoʔ		pjai3	pio³¹	pjo̱³¹
205	gray	*luːk		luːk8		lu³¹
206	raw (meat)	*ʔɔ		ʔau5	ɔ³³; ɲu³³	o⁴⁴
207	stinky	*tseŋʔ	< *ceŋʔ	tsan5	tsa̱n³³	tse̱ŋ⁴⁴
208	classifier (general)	*buːŋ		puːŋ3		mbou⁴⁴
209	pair	*tsom	< *com	tsɔu4	tsam³³	tsen²⁴
210	double	*caːŋ		tɕjaːŋ2		tɕaŋ⁵⁵
211	just now	*cɯŋ		tɕəŋ5mbaːi5		tɕɯ³¹
212	also, too	*le		le2		lɛ²⁴
213	no, not	*mau		mau4	mə⁵⁵	mɯ⁵⁵
