No.	Gloss	Proto-Khasian
652.	wing	*-niaŋ
653.	oil, oil seed	*pʰniaŋ
654.	to spread	*pʰriaŋ
655.	crosswise	*pnkiaŋ
656.	slope, slanting	*psiaŋ
657.	angry, severe	*riaŋ
658.	in a row, in order	*riaŋ
659.	edge	*rmiaŋ
660.	to spread, cover	*siaŋ
661.	rock	*smaːw-siaŋ
662.	pig	*sniaŋ
663.	ginger	*sɁiaŋ
664.	to stretch out	*tiaŋ
665.	name	*krtiaŋ
666.	branch	*ʧiaŋ
667.	bent, crooked	*ʧaliaŋ
668.	potsherd	*trwiaŋ
669.	to lick, lap	*liap
670.	to insert	*siap
671.	sand	*ʧʔiap
672.	spread wide	*diar
673.	to drain off	*ʤiar
674.	gold	*ksiar
675.	centipede	*ktiar
676.	to fly	*piar
677.	to excrete, expell	*pnhiar
678.	to stretch, extend	*pʔiar
679.	chicken	*sʔiar
680.	to go round	*tǝwiar
681.	to tear, rip	*ʧiar
682.	to disappear	*wiar
683.	to nibble, eat	*biat
684.	tooth, tusk	*bniat
685.	to beat	*kawiat
686.	deer species	*kʰiat
687.	itch, scabies	*-kʰiat
688.	few, little	*kʰndiat
689.	cold	*kʰriat
690.	to slip through	*liat
691.	good, beautiful	*miat
692.	to push	*ŋiat
693.	to shoot	*siat
694.	to grind	*trliat
695.	to draw (bow)	*wiat
696.	to jingle	*kuriaw
697.	to tickle, fondle	*-liaw
698.	cat	*miaw
699.	to whisper	*pasiaw
700.	multitude	*riaw
701.	to lick	*ʤliaʔ
702.	to break, snap	*kdiaʔ
703.	sieve basket	*kriaʔ
704.	bend head back	*lŋiaʔ
705.	tired	*ŋiaɁ
706.	to split	*pʰiaʔ
707.	to sparkle	*pʰliaʔ
708.	broken, cleaved	*piaʔ
709.	to pluck	*riaʔ
710.	to cut	*siaʔ
711.	to lean back	*ʧaniaʔ
712.	to sleep	*tʰiaʔ
713.	chisel	*ʧniaʔ
714.	sky, rain	*briː
715.	forest, wild	*briː
716.	middle, center	*di:
717.	to swim	*ʤŋiː
718.	banyan	*ʤriː
719.	creeper	*ʤrmiː
720.	this (fem.proximal)	*ka-ni
721.	to shave	*kʰiː
722.	vulture	*-kniː
723.	sibling-in-law	*knsiː
724.	louse (head)	*ksiː
725.	hand, arm	*ktiː
726.	dirty	*laː liː
727.	one	*miː
728.	east, sunrise	*miʔ-sŋiː
729.	noisy	*-ri:
730.	behind, following	*rnkiː
731.	west	*sɛp-sŋiː
732.	small bamboo	*snliː
733.	sun/day	*sŋiː
734.	house	*sniː
735.	one set	*ʧiː
736.	solid	*tnliː
737.	one	*wiː
738.	to see	*Ɂjiː
739.	cow	*masi:/u:
740.	uncle	*-ɲiː/uː
741.	to drink	*di:ʔ/c
742.	to forget	*bliːŋ
743.	light (weight)	*sti:ŋ
744.	to suck up	*kʤiːt
745.	to crow	*kaʔiːʔ
746.	to hide	*riːʔ
747.	to dig	*ti:ʔ
748.	narrow	*kʰim
749.	old (thing)	*rim
750.	bird	*sim
751.	fingernail	*trsim
752.	to live	*ʔim
753.	to stir	*kiŋ
754.	black	*priŋ
755.	to pull, drag	*riŋ
756.	side	*-riŋ
757.	slope	*ʧariŋ
758.	to extinguish	*lip
759.	to whisper	*sip-sip
760.	fish trap	*ʧrip
761.	to long for	*hiːr
762.	blue	*lir
763.	to go astray	*wiːr
764.	to stick	*bit
765.	small, few	*-dit
766.	to beat	*kʰrwit
767.	to carry	*kit
768.	round, turn	*krwit
769.	pepper	*mrit
770.	dark	*ŋit
771.	to avoid	*pnklit
772.	small	*rit
773.	mushroom	*tit
774.	turmeric	*ʧrmit
775.	to pinch	*ʧʔit
776.	to lack, avoid (?)	*ʔit
777.	poison	*biʔ
778.	to go	*diʔ
779.	smooth	*ʤliʔ
780.	to do	*kʰiʔ
781.	to jump	*kʰntiʔ
782.	to sieve, winnow	*knriʔ
783.	otter	*ksiʔ
784.	lightning	*-leːʔ/-liʔ
785.	elbow	*bo:c
786.	to itch	*boːc
787.	clean, pure	*kʰoːc
788.	to slip out	*-loːc
789.	loose, free	*-loːc
790.	to swallow	*ŋoːc
791.	many, much	*boːn
792.	bridge	*poːn
793.	many, much	*ʧboːn
794.	spotted	*broːɲ
795.	sharp pointed	*loːɲ
796.	red	*rhoːɲ
797.	flower	*kʰloːr
798.	youngster, virgin	*loːt
799.	liver, heart	*noːt
800.	to rub	*srpoːt
801.	to whine, murmur	*ʔoːt
802.	to call	*kʰo:/ut
803.	early, previous	*doːʔ
804.	to lose	*doːʔ
805.	to bloom	*pʰoːʔ
806.	cubit, armspan	*pro:ʔ
807.	which	*nu
808.	that (mesiodistal)	*tu
809.	he	*ʔu
810.	ear	*ʧku/ɔr
811.	guest, stranger	*ʧmuː(j)
812.	hot	*kʰluc
813.	pus	*ksuc
814.	to bud, bloom	*-lu(ː)c
815.	to pour	*s(ʔ)uc
816.	to ignite	*tʰuc
817.	dust	*puj
818.	to emit smoke	*tʰuj
819.	to suck in	*kʤuk
820.	closed mouth	*-bum
821.	dark blue	*ʤŋum
822.	dark	*dum
823.	wet	*ʤum
824.	to gather up	*lum
825.	many	*parum
826.	under	*rum
827.	rubbish, debris	*snrum
828.	to bathe	*sum
829.	water	*ʔum
830.	to winnow	*ʔum
831.	to bend	*kʰun
832.	to swallow	*klun
833.	tadpole	*lun
834.	right (hand)	*-mun
835.	bowed head	*ŋun
836.	round	*prlun
837.	maternal grandparent	*pun
838.	pregnant	*pun
839.	termite	*kruɲ
840.	to revolve	*sʔuɲ
841.	to stab	*duŋ
842.	to urinate	*ʤuŋ
843.	ribs	*kruŋ
844.	young, tender	*luŋ
845.	to sprout	*-luŋ
846.	winnowing basket	*pduŋ
847.	lake, pool	*puŋ
848.	rice mash	*-spuŋ
849.	to plant	*tʰuŋ
850.	to hold, embrace	*kdup
851.	to seize	*knrup
852.	rain shield	*knup
853.	to wrap	*kup
854.	to cover	*-lup
855.	descent	*ʤur
